,Occupancy,EV,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,0.0,14.5,14.5,14.5,12.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,14.5,14.499870216388773,14.499373266690691,12.0,100.0,0.0,0.0
2024-01-01 00:02:00,2.0,0.0,14.5,14.499803970436508,14.498746924090435,12.0,99.93765944027149,0.0,0.0
2024-01-01 00:03:00,2.0,0.0,14.5,14.499737472850338,14.498121001783508,12.0,99.87059848766192,0.0,0.0
2024-01-01 00:04:00,2.0,0.0,14.5,14.499670723949327,14.497495499348704,12.0,99.80360474132804,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,14.5,14.499603724052186,14.496870416365272,12.0,99.73667812890136,0.0,0.0
2024-01-01 00:06:00,2.0,0.0,14.5,14.499536473477272,14.496245752412916,12.0,99.66981857809239,0.0,0.0
2024-01-01 00:07:00,2.0,0.0,14.5,14.499468972542592,14.49562150707179,12.0,99.60302601668991,0.0,0.0
2024-01-01 00:08:00,2.0,0.0,14.5,14.499401221565797,14.494997679922502,12.0,99.53630037256148,0.0,0.0
2024-01-01 00:09:00,2.0,0.0,14.5,14.499333220864187,14.49437427054611,12.0,99.46964157365292,0.0,0.0
2024-01-01 00:10:00,2.0,0.0,14.5,14.49926497075471,14.493751278524124,12.0,99.40304954798864,0.0,0.0
2024-01-01 00:11:00,2.0,0.0,14.5,14.499196471553965,14.493128703438504,12.0,99.336524223671,0.0,0.0
2024-01-01 00:12:00,2.0,0.0,14.5,14.499127723578196,14.492506544871663,12.0,99.27006552888061,0.0,0.0
2024-01-01 00:13:00,2.0,0.0,14.5,14.4990587271433,14.491884802406458,12.0,99.20367339187653,3000.0,3000.0
2024-01-01 00:14:00,2.0,0.0,14.5,14.498989482564822,14.4912634756262,12.0,99.13734774099521,565.8518518518522,565.8518518518522
2024-01-01 00:15:00,2.0,0.0,14.5,14.498919990157956,14.490642564114646,12.0,99.07108850465134,0.0,0.0
2024-01-01 00:16:00,2.0,0.0,14.5,14.498850250237549,14.490022067456003,12.0,99.00489561133755,0.0,0.0
2024-01-01 00:17:00,2.0,0.0,14.5,14.498780263118098,14.489401985234926,12.0,98.9387689896242,3000.0,3000.0
2024-01-01 00:18:00,2.0,0.0,14.5,14.49871002911375,14.488782317036513,12.0,98.8727085681591,3000.0,3000.0
2024-01-01 00:19:00,2.0,0.0,14.5,14.498639548538307,14.488163062446315,12.0,98.80671427566772,3000.0,3000.0
2024-01-01 00:20:00,2.0,0.0,14.5,14.498568821705218,14.487544221050323,12.0,98.74078604095318,3000.0,3000.0
2024-01-01 00:21:00,2.0,0.0,14.5,14.49849784892759,14.486925792434977,12.0,98.67492379289574,3000.0,3000.0
2024-01-01 00:22:00,2.0,0.0,14.5,14.498426630518178,14.486307776187164,12.0,98.60912746045317,3000.0,3000.0
2024-01-01 00:23:00,2.0,0.0,14.5,14.498355166789393,14.485690171894213,12.0,98.54339697266053,3000.0,3000.0
2024-01-01 00:24:00,2.0,0.0,14.5,14.498283458053299,14.485072979143895,12.0,98.47773225862997,3000.0,3000.0
2024-01-01 00:25:00,2.0,0.0,14.5,14.498211504621613,14.484456197524432,12.0,98.41213324755054,3000.0,3000.0
