,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,,,,,,15.0,14.997806106538425,14.978125553905981,12.0,115.52127487921902,0.0,0.0
2024-01-01 01:00:00,2.0,,,,,,15.0,14.99273005195754,14.934900018710833,12.0,112.51539347937108,0.0,0.0
2024-01-01 02:00:00,2.0,,,,,,15.0,14.984938733655332,14.88619429813084,11.0,146.4110063848588,0.0,0.0
2024-01-01 03:00:00,2.0,,,,,,15.0,14.974243768618225,14.832027675984518,11.0,141.17547522347928,0.0,0.0
2024-01-01 04:00:00,1.0,1,1,,0.7388888888888896,0.6808333333333334,18.5,14.962278519661242,14.78000729953664,11.0,135.65223710388983,0.0,0.0
2024-01-01 05:00:00,1.0,1,,,0.9222222222222249,,18.5,14.947561966621903,14.722695459765458,10.0,169.0589723099073,0.0,0.0
2024-01-01 06:00:00,2.0,1,,,1.1055555555555603,,15.0,14.929914062882622,14.66010173699907,10.0,163.35948794218115,118.86172839506175,118.86172839506175
2024-01-01 07:00:00,2.0,1,,,1.2888888888888956,,15.0,14.911016134216116,14.599824660467693,10.0,157.39213607885623,118.86172839506175,118.86172839506175
2024-01-01 08:00:00,1.0,1,,,1.472222222222231,,18.5,14.893382763911573,14.541744745500164,10.0,151.59968415096347,475.446913580247,475.446913580247
2024-01-01 09:00:00,3.0,1,,,1.6555555555555663,,18.5,14.879266850542882,14.485849454976746,10.0,145.77975907405713,0.0,0.0
2024-01-01 10:00:00,1.0,1,,,1.8388888888889017,,18.5,14.874277784951204,14.439488018274952,11.0,101.02874767129065,0.0,0.0
2024-01-01 11:00:00,1.0,1,,,2.022222222222237,,18.5,14.88386054605138,14.410039913510898,12.0,56.48724923712155,0.0,0.0
2024-01-01 12:00:00,1.0,1,,,2.205555555555572,,18.5,14.896694432329815,14.389775916329178,12.0,52.15652801972873,0.0,0.0
2024-01-01 13:00:00,3.0,1,,,2.3888888888889075,,18.5,14.905904762986928,14.370774329362623,12.0,48.97435469323528,0.0,0.0
2024-01-01 14:00:00,2.0,1,,1,2.489722222222242,,15.0,14.907528494223865,14.352866415614647,12.0,46.55804930402582,0.0,0.0
2024-01-01 15:00:00,1.0,1,1,,0.9130555555555572,0.7725000000000001,18.5,14.894014562433066,14.335596390597745,12.0,45.523745392821375,0.0,0.0
2024-01-01 16:00:00,1.0,1,,,1.0963888888888924,,18.5,14.871651438766918,14.311247713492294,11.0,83.73783329022841,0.0,0.0
2024-01-01 17:00:00,1.0,1,,,1.2797222222222278,,18.5,14.847465385782971,14.27986945208824,11.0,82.5311036227729,0.0,0.0
2024-01-01 18:00:00,1.0,1,,,1.463055555555563,,18.5,14.823142884400008,14.249176867527048,11.0,80.75533388891378,416.01604938271606,416.01604938271606
2024-01-01 19:00:00,1.0,1,,,1.6463888888888984,,18.5,14.798709071725742,14.219134365653535,11.0,79.0709941005441,59.43086419753087,59.43086419753087
2024-01-01 20:00:00,1.0,1,,,1.8297222222222338,,18.5,14.77418717844789,14.189708759629543,11.0,77.47190922838404,1782.925925925926,1782.925925925926
2024-01-01 21:00:00,1.0,1,,,2.013055555555569,,18.5,14.74801086893543,14.153568940304249,10.0,114.52939477903072,237.7234567901235,237.7234567901235
2024-01-01 22:00:00,2.0,1,,,2.1963888888889045,,15.0,14.719920824869096,14.110823567294663,10.0,112.22654529555906,118.86172839506175,118.86172839506175
2024-01-01 23:00:00,2.0,1,,,2.37972222222224,,15.0,14.691483052894439,14.069162830382194,10.0,109.42304212693541,118.86172839506175,118.86172839506175
