,WasherDryer,TumbleDryer,DishWasher,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-01 00:15:00,0.001,0.001,0.0,0.137
2024-01-01 00:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-01 00:45:00,0.001,0.001,0.0,0.027
2024-01-01 01:00:00,0.001,0.001,0.0,0.027
2024-01-01 01:15:00,0.001,0.001,0.0,0.071
2024-01-01 01:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-01 01:45:00,0.001,0.001,0.0,0.027
2024-01-01 02:00:00,0.001,0.001,0.0,0.027
2024-01-01 02:15:00,0.001,0.001,0.0,0.027
2024-01-01 02:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-01 02:45:00,0.001,0.001,0.0,0.093
2024-01-01 03:00:00,0.001,0.001,0.0,0.027
2024-01-01 03:15:00,0.001,0.001,0.0,0.027
2024-01-01 03:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-01 03:45:00,0.001,0.001,0.0,0.137
2024-01-01 04:00:00,0.001,0.001,0.0,0.05633333333333334
2024-01-01 04:15:00,0.001,0.001,0.0,0.027
2024-01-01 04:30:00,0.001,0.001,0.0,0.027
2024-01-01 04:45:00,0.001,0.001,0.0,0.071
2024-01-01 05:00:00,0.001,0.001,0.0,0.12966666666666668
2024-01-01 05:15:00,0.001,0.001,0.0,0.027
2024-01-01 05:30:00,0.001,0.001,0.0,0.03826666666666667
2024-01-01 05:45:00,0.001,0.001,0.0,0.04
2024-01-01 06:00:00,0.001,0.001,0.0,0.12066666666666667
2024-01-01 06:15:00,0.001,0.001,0.0,0.10426666666666667
2024-01-01 06:30:00,0.001,0.001,0.0,0.5600666666666666
2024-01-01 06:45:00,0.001,0.001,0.0,0.027
2024-01-01 07:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-01 07:15:00,0.001,0.001,0.0,0.137
2024-01-01 07:30:00,0.001,0.001,0.0,0.45613333333333334
2024-01-01 07:45:00,0.001,0.001,0.0,0.027
2024-01-01 08:00:00,0.001,0.001,0.0,0.027
2024-01-01 08:15:00,0.001,0.001,0.0,0.071
2024-01-01 08:30:00,0.001,0.001,0.0,0.2184
2024-01-01 08:45:00,0.001,0.001,0.0,0.6810666666666666
2024-01-01 09:00:00,0.001,0.001,0.0,0.148
2024-01-01 09:15:00,0.001,0.001,0.0,0.148
2024-01-01 09:30:00,0.001,0.001,0.0,0.22866666666666668
2024-01-01 09:45:00,0.001,0.001,0.0,0.214
2024-01-01 10:00:00,0.001,0.001,0.0,0.027
2024-01-01 10:15:00,0.001,0.001,0.0,0.027
2024-01-01 10:30:00,0.001,0.001,0.0,0.03866666666666666
2024-01-01 10:45:00,0.001,0.001,0.0,0.15
2024-01-01 11:00:00,0.001,0.001,0.0,0.06933333333333333
2024-01-01 11:15:00,0.001,0.001,0.0,0.04
2024-01-01 11:30:00,0.001,0.001,0.0,0.04
2024-01-01 11:45:00,0.001,0.001,0.0,0.071
2024-01-01 12:00:00,0.001,0.001,0.0,0.5294666666666666
2024-01-01 12:15:00,0.001,0.001,0.0,0.027
2024-01-01 12:30:00,0.001,0.001,0.0,0.027
2024-01-01 12:45:00,0.001,0.001,0.0,0.027
2024-01-01 13:00:00,0.001,0.001,0.0,0.10766666666666667
2024-01-01 13:15:00,0.001,0.001,0.0,0.093
2024-01-01 13:30:00,0.001,0.001,0.0,0.027
2024-01-01 13:45:00,0.001,0.001,0.0,0.027
2024-01-01 14:00:00,0.001,0.001,0.0,0.034333333333333334
2024-01-01 14:15:00,0.001,0.001,0.0,0.137
2024-01-01 14:30:00,0.001,0.001,0.0,0.05633333333333334
2024-01-01 14:45:00,0.001,0.001,0.0,0.027
2024-01-01 15:00:00,0.001,0.001,0.0,0.027
2024-01-01 15:15:00,0.001,0.001,0.0,0.071
2024-01-01 15:30:00,0.001,0.001,0.0,0.12966666666666668
2024-01-01 15:45:00,0.001,0.001,0.0,0.027
2024-01-01 16:00:00,0.001,0.001,0.0,0.027
2024-01-01 16:15:00,0.001,0.001,0.0,0.027
2024-01-01 16:30:00,0.001,0.001,0.0,0.10766666666666667
2024-01-01 16:45:00,0.001,0.001,0.0,0.093
2024-01-01 17:00:00,0.001,0.001,0.0,0.027
2024-01-01 17:15:00,0.001,0.001,0.0,0.027
2024-01-01 17:30:00,0.001,0.001,0.0,0.034333333333333334
2024-01-01 17:45:00,0.001,0.001,0.0,0.137
2024-01-01 18:00:00,0.001,0.001,0.0,0.0626437728039162
2024-01-01 18:15:00,0.001,0.001,0.0,0.058552197352914295
2024-01-01 18:30:00,0.001,0.001,0.0,0.058552197352914295
2024-01-01 18:45:00,0.001,0.001,0.0,0.33955219735291436
2024-01-01 19:00:00,0.001,0.001,0.0,0.5617521973529144
