,DishWasher,BaseLoad,P_EV
2024-01-01 00:00:00,0.0,0.12442374237267351,0.0
2024-01-01 00:15:00,0.0,0.1537021595478286,0.0
2024-01-01 00:30:00,0.0,0.06199999999999999,0.0
2024-01-01 00:45:00,0.0,0.04,0.0
2024-01-01 01:00:00,0.0,0.04,0.0
2024-01-01 01:15:00,0.0,0.04,0.0
2024-01-01 01:30:00,0.0,0.06933333333333333,0.0
2024-01-01 01:45:00,0.0,0.13533333333333333,0.0
2024-01-01 02:00:00,0.0,0.04,0.0
2024-01-01 02:15:00,0.0,0.04,0.0
2024-01-01 02:30:00,0.0,0.04,0.0
2024-01-01 02:45:00,0.0,0.04,0.0
2024-01-01 03:00:00,0.0,0.106,0.0
2024-01-01 03:15:00,0.0,0.6317333333333334,0.0
2024-01-01 03:30:00,0.0,0.04,0.0
2024-01-01 03:45:00,0.0,0.04,0.0
2024-01-01 04:00:00,0.0,0.04,0.0
2024-01-01 04:15:00,0.0,0.04,0.0
2024-01-01 04:30:00,0.0,0.14266666666666666,0.0
2024-01-01 04:45:00,0.0,0.06199999999999999,0.0
2024-01-01 05:00:00,0.0,0.04,0.0
2024-01-01 05:15:00,0.0,0.5730666666666667,0.0
2024-01-01 05:30:00,0.0,0.04,0.0
2024-01-01 05:45:00,0.0,0.06933333333333333,0.0
2024-01-01 06:00:00,0.0,0.13533333333333333,0.0
2024-01-01 06:15:00,0.0,0.04,0.0
2024-01-01 06:30:00,0.0,0.04,0.0
2024-01-01 06:45:00,0.0,0.04,0.0
2024-01-01 07:00:00,0.0,0.04,0.0
2024-01-01 07:15:00,0.0,0.106,0.0
2024-01-01 07:30:00,0.0,0.09866666666666667,0.0
2024-01-01 07:45:00,0.0,0.04,0.0
2024-01-01 08:00:00,0.0,0.04,0.0
2024-01-01 08:15:00,0.0,0.04,0.0
2024-01-01 08:30:00,0.0,0.04,0.0
2024-01-01 08:45:00,0.0,0.14266666666666666,0.0
2024-01-01 09:00:00,0.0,0.06199999999999999,0.0
2024-01-01 09:15:00,0.0,0.04,0.0
2024-01-01 09:30:00,0.0,0.04,0.0
2024-01-01 09:45:00,0.0,0.04,0.0
2024-01-01 10:00:00,0.0,0.06933333333333333,0.0
2024-01-01 10:15:00,0.0,0.13533333333333333,0.0
2024-01-01 10:30:00,0.0,0.046933333333333334,0.0
2024-01-01 10:45:00,0.0,0.053,0.0
2024-01-01 11:00:00,0.0,0.053,0.0
2024-01-01 11:15:00,0.0,0.053,0.0
2024-01-01 11:30:00,0.0,0.1164,0.0
2024-01-01 11:45:00,0.0,0.09866666666666667,0.0
2024-01-01 12:00:00,0.0,0.04,0.0
2024-01-01 12:15:00,0.0,0.4398,0.0
2024-01-01 12:30:00,0.0,0.04,0.0
2024-01-01 12:45:00,0.0,0.04,0.0
2024-01-01 13:00:00,0.0,0.15449040903934017,0.0
2024-01-01 13:15:00,0.0,0.0738237423726735,0.0
2024-01-01 13:30:00,0.0,0.45162374237267344,0.0
2024-01-01 13:45:00,0.0,0.0518237423726735,0.0
2024-01-01 14:00:00,0.0,0.0494589938981388,0.0
2024-01-01 14:15:00,0.0,0.06933333333333333,0.0
2024-01-01 14:30:00,0.0,0.13533333333333333,0.0
2024-01-01 14:45:00,0.0,0.04,0.0
2024-01-01 15:00:00,0.0,0.04,0.0
2024-01-01 15:15:00,0.0,0.04,0.0
2024-01-01 15:30:00,0.0,0.04,0.0
2024-01-01 15:45:00,0.0,0.106,0.0
2024-01-01 16:00:00,0.0,0.09866666666666667,0.0
2024-01-01 16:15:00,0.0,0.161,0.0
2024-01-01 16:30:00,0.0,0.161,2.3333333333333335
2024-01-01 16:45:00,0.0,0.161,7.0
2024-01-01 17:00:00,0.0,0.161,7.0
2024-01-01 17:15:00,0.0,0.26366666666666666,7.0
2024-01-01 17:30:00,0.0,0.07813333333333335,7.0
2024-01-01 17:45:00,0.0,0.04,2.8
2024-01-01 18:00:00,0.0,0.04,0.0
2024-01-01 18:15:00,0.0,0.04,0.0
2024-01-01 18:30:00,0.0,0.0701215828248449,0.0
2024-01-01 18:45:00,0.0,0.14715707570600683,0.0
2024-01-01 19:00:00,0.0,0.0518237423726735,0.0
2024-01-01 19:15:00,0.0,0.0518237423726735,0.0
2024-01-01 19:30:00,0.0,0.0518237423726735,0.0
2024-01-01 19:45:00,0.0,0.045517746440580965,0.0
2024-01-01 20:00:00,0.0,0.106,0.0
2024-01-01 20:15:00,0.0,0.09866666666666667,0.0
2024-01-01 20:30:00,0.0,0.06524175788233146,0.0
2024-01-01 20:45:00,0.0,0.0715521973529143,0.0
2024-01-01 21:00:00,0.0,0.1996464427765184,0.0
2024-01-01 21:15:00,0.0,0.20437593972558782,0.0
2024-01-01 21:30:00,0.0,0.28390432833345064,0.0
2024-01-01 21:45:00,0.0,0.1948237423726735,0.0
2024-01-01 22:00:00,0.0,0.17282374237267348,0.0
