,WasherDryer,DishWasher,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.4005904090393402
2024-01-01 00:15:00,0.001,0.0,0.2898570757060068
2024-01-01 00:30:00,0.001,0.0,0.1945237423726735
2024-01-01 00:45:00,0.001,0.0,0.3424294969490694
2024-01-01 01:00:00,0.001,0.0,0.25503333333333333
2024-01-01 01:15:00,0.001,0.0,0.36003333333333326
2024-01-01 01:30:00,0.001,0.0,0.35869999999999996
2024-01-01 01:45:00,0.001,0.0,0.3587
2024-01-01 02:00:00,0.001,0.0,0.30369999999999997
2024-01-01 02:15:00,0.001,0.0,0.4173666666666666
2024-01-01 02:30:00,0.001,0.0,0.4173666666666666
2024-01-01 02:45:00,0.001,0.0,0.3417
2024-01-01 03:00:00,0.001,0.0,0.2827133333333333
2024-01-01 03:15:00,0.001,0.0,0.23099999999999998
2024-01-01 03:30:00,0.001,0.0,0.047
2024-01-01 03:45:00,0.001,0.0,0.11933333333333333
2024-01-01 04:00:00,0.001,0.0,0.6018000000000001
2024-01-01 04:15:00,0.001,0.0,0.047
2024-01-01 04:30:00,0.001,0.0,0.17233333333333334
2024-01-01 04:45:00,0.001,0.0,0.3323333333333333
2024-01-01 05:00:00,0.001,0.0,0.08499999999999999
2024-01-01 05:15:00,0.001,0.0,0.078
2024-01-01 05:30:00,0.001,0.0,0.202
2024-01-01 05:45:00,0.001,0.0,0.09093333333333334
2024-01-01 06:00:00,0.001,0.0,0.09666666666666666
2024-01-01 06:15:00,0.001,0.0,0.6991961636157361
2024-01-01 06:30:00,0.001,0.0,0.24915707570600684
2024-01-01 06:45:00,0.001,0.0,0.07182374237267351
2024-01-01 07:00:00,0.001,0.0,0.20955707570600685
2024-01-01 07:15:00,0.001,0.0,0.14149040903934018
2024-01-01 07:30:00,0.001,0.0,0.08839616361573606
2024-01-01 07:45:00,0.001,0.0,0.1423333333333333
2024-01-01 08:00:00,0.001,0.0,0.5035333333333334
2024-01-01 08:15:00,0.001,0.0,0.30693333333333334
2024-01-01 08:30:00,0.001,0.0,0.15033333333333332
2024-01-01 08:45:00,0.001,0.0,0.5734
2024-01-01 09:00:00,0.001,0.0,0.6297333333333334
2024-01-01 09:15:00,0.001,0.0,0.6884
2024-01-01 09:30:00,0.001,0.0,0.10719999999999999
2024-01-01 09:45:00,0.001,0.0,0.6367999999999999
2024-01-01 10:00:00,0.001,0.0,0.185
2024-01-01 10:15:00,0.001,0.0,0.202
2024-01-01 10:30:00,0.001,0.0,0.6270666666666666
2024-01-01 10:45:00,0.001,0.0,0.1423333333333333
2024-01-01 11:00:00,0.001,0.0,0.047
2024-01-01 11:15:00,0.001,0.0,0.14833333333333334
2024-01-01 11:30:00,0.001,0.0,0.25766666666666665
2024-01-01 11:45:00,0.001,0.0,0.6271333333333333
2024-01-01 12:00:00,0.001,0.0,0.13533333333333336
2024-01-01 12:15:00,0.001,0.0,0.5421333333333334
2024-01-01 12:30:00,0.001,0.0,0.5800666666666666
2024-01-01 12:45:00,0.001,0.0,0.047
2024-01-01 13:00:00,0.001,0.0,0.19899999999999998
2024-01-01 13:15:00,0.001,0.0,1.2788666666666666
2024-01-01 13:30:00,0.001,0.0,0.1766666666666667
2024-01-01 13:45:00,0.001,0.0,0.4622
2024-01-01 14:00:00,0.001,0.0,2.286066666666667
2024-01-01 14:15:00,0.001,0.0,0.047
2024-01-01 14:30:00,0.001,0.0,0.059666666666666666
2024-01-01 14:45:00,0.001,0.0,0.8630666666666668
2024-01-01 15:00:00,0.001,0.0,0.332
2024-01-01 15:15:00,0.001,0.0,0.1423333333333333
2024-01-01 15:30:00,0.001,0.0,0.5800666666666666
2024-01-01 15:45:00,0.001,0.0,0.4468
2024-01-01 16:00:00,0.001,0.0,0.18026666666666666
2024-01-01 16:15:00,0.001,0.0,0.162
2024-01-01 16:30:00,0.001,0.0,0.42866666666666664
2024-01-01 16:45:00,0.001,0.0,0.22633333333333333
2024-01-01 17:00:00,0.001,0.0,0.047
2024-01-01 17:15:00,0.001,0.0,0.5800666666666666
2024-01-01 17:30:00,0.001,0.0,0.4467999999999999
2024-01-01 17:45:00,0.001,0.0,0.05733333333333333
2024-01-01 18:00:00,0.001,0.0,0.3526666666666667
2024-01-01 18:15:00,0.001,0.0,0.3943333333333333
2024-01-01 18:30:00,0.001,0.0,0.12243932926542586
2024-01-01 18:45:00,0.001,0.0,0.2524237423726735
2024-01-01 19:00:00,0.001,0.0,0.3008237423726735
2024-01-01 19:15:00,0.001,0.0,0.3008237423726735
2024-01-01 19:30:00,0.001,0.0,0.4614904090393402
2024-01-01 19:45:00,0.001,0.0,0.6086628302824028
2024-01-01 20:00:00,0.001,0.0,0.24309040903934018
2024-01-01 20:15:00,0.001,0.0,0.08596374237267351
2024-01-01 20:30:00,0.001,0.0,0.1945237423726735
2024-01-01 20:45:00,0.001,0.0,0.2671237423726735
2024-01-01 21:00:00,0.001,0.0,0.4348570757060068
2024-01-01 21:15:00,0.001,0.0,0.6294412474575579
2024-01-01 21:30:00,0.001,0.0,0.6265237423726735
2024-01-01 21:45:00,0.001,0.0,0.5378570757060068
2024-01-01 22:00:00,0.001,0.0,0.3639237423726735
2024-01-01 22:15:00,0.001,0.0,0.3155237423726735
2024-01-01 22:30:00,0.001,0.0,0.2862923272314722
2024-01-01 22:45:00,0.001,0.0,0.5634923272314721
2024-01-01 23:00:00,0.001,0.0,0.4225237423726735
2024-01-01 23:15:00,0.001,0.0,0.5055237423726735
2024-01-01 23:30:00,0.001,0.0,0.36619040903934014
2024-01-01 23:45:00,0.001,0.0,0.2429237423726735
2024-01-02 00:00:00,0.001,0.0,0.2209431656496898
2024-01-02 00:15:00,0.001,0.0,0.4330333333333333
2024-01-02 00:30:00,0.001,0.0,0.25503333333333333
2024-01-02 00:45:00,0.001,0.0,0.3093666666666666
2024-01-02 01:00:00,0.001,0.0,0.3727
2024-01-02 01:15:00,0.001,0.0,0.17365333333333333
2024-01-02 01:30:00,0.001,0.0,0.08366666666666665
2024-01-02 01:45:00,0.001,0.0,0.256
2024-01-02 02:00:00,0.001,0.0,0.16066666666666668
2024-01-02 02:15:00,0.001,0.0,0.047
2024-01-02 02:30:00,0.001,0.0,0.22433333333333333
2024-01-02 02:45:00,0.001,0.0,0.18633333333333332
2024-01-02 03:00:00,0.001,0.0,0.08366666666666665
2024-01-02 03:15:00,0.001,0.0,0.21466666666666667
2024-01-02 03:30:00,0.001,0.0,0.6018
2024-01-02 03:45:00,0.001,0.0,0.047
2024-01-02 04:00:00,0.001,0.0,0.08499999999999999
2024-01-02 04:15:00,0.001,0.0,0.237
2024-01-02 04:30:00,0.001,0.0,0.17233333333333334
2024-01-02 04:45:00,0.001,0.0,0.17333333333333334
2024-01-02 05:00:00,0.001,0.0,0.7350666666666666
2024-01-02 05:15:00,0.001,0.0,0.48813333333333336
2024-01-02 05:30:00,0.001,0.0,0.5800666666666666
2024-01-02 05:45:00,0.001,0.0,0.13566666666666669
2024-01-02 06:00:00,0.001,0.0,0.2736666666666666
2024-01-02 06:15:00,0.001,0.0,0.18033333333333335
2024-01-02 06:30:00,0.001,0.0,0.7247333333333333
2024-01-02 06:45:00,0.001,0.0,0.12966666666666668
2024-01-02 07:00:00,0.001,0.0,0.4467999999999999
2024-01-02 07:15:00,0.001,0.0,0.053933333333333326
2024-01-02 07:30:00,0.001,0.0,0.23600000000000002
2024-01-02 07:45:00,0.001,0.0,1.7720666666666667
2024-01-02 08:00:00,0.001,0.0,0.963
2024-01-02 08:15:00,0.001,0.0,0.23859999999999998
2024-01-02 08:30:00,0.001,0.0,0.138
2024-01-02 08:45:00,0.001,0.0,0.138
2024-01-02 09:00:00,0.001,0.0,0.17466666666666666
2024-01-02 09:15:00,0.001,0.0,0.36266666666666664
2024-01-02 09:30:00,0.001,0.0,0.23566666666666666
2024-01-02 09:45:00,0.001,0.0,0.202
2024-01-02 10:00:00,0.001,0.0,0.12186666666666666
2024-01-02 10:15:00,0.001,0.0,0.168
2024-01-02 10:30:00,0.001,0.0,0.2046666666666667
2024-01-02 10:45:00,0.001,0.0,0.314
2024-01-02 11:00:00,0.001,0.0,0.3706
2024-01-02 11:15:00,0.001,0.0,0.27799999999999997
2024-01-02 11:30:00,0.001,0.0,0.4984666666666666
2024-01-02 11:45:00,0.001,0.0,0.047
2024-01-02 12:00:00,0.001,0.0,0.08366666666666665
2024-01-02 12:15:00,0.001,0.0,0.6754
2024-01-02 12:30:00,0.001,0.0,0.15786666666666666
2024-01-02 12:45:00,0.001,0.0,0.38433333333333336
2024-01-02 13:00:00,0.001,0.0,0.17833333333333332
2024-01-02 13:15:00,0.001,0.0,1.4746666666666666
2024-01-02 13:30:00,0.001,0.0,2.2108666666666665
2024-01-02 13:45:00,0.001,0.0,0.5667333333333333
2024-01-02 14:00:00,0.001,0.0,0.047
2024-01-02 14:15:00,0.001,0.0,0.292
2024-01-02 14:30:00,0.001,0.0,0.34600000000000003
2024-01-02 14:45:00,0.001,0.0,0.047
2024-01-02 15:00:00,0.001,0.0,0.48346666666666666
2024-01-02 15:15:00,0.001,0.0,0.1423333333333333
2024-01-02 15:30:00,0.001,0.0,0.047
2024-01-02 15:45:00,0.001,0.0,0.11133333333333333
2024-01-02 16:00:00,0.001,0.0,1.7253333333333332
2024-01-02 16:15:00,0.001,0.0,1.9148
2024-01-02 16:30:00,0.001,0.0,0.08366666666666665
2024-01-02 16:45:00,0.001,0.0,0.1423333333333333
2024-01-02 17:00:00,0.001,0.0,0.047
2024-01-02 17:15:00,0.001,0.0,0.05733333333333333
2024-01-02 17:30:00,0.001,0.0,0.26533333333333337
2024-01-02 17:45:00,0.001,0.0,0.5819333333333333
2024-01-02 18:00:00,0.001,0.0,2.2689999999999997
2024-01-02 18:15:00,0.001,0.0,1.9404
2024-01-02 18:30:00,0.001,0.0,0.9353333333333332
2024-01-02 18:45:00,0.001,0.0,0.168
2024-01-02 19:00:00,0.001,0.0,0.292
2024-01-02 19:15:00,0.001,0.0,1.9846666666666666
2024-01-02 19:30:00,0.001,0.0,1.5142
2024-01-02 19:45:00,0.001,0.0,2.2751333333333337
2024-01-02 20:00:00,0.001,0.0,0.8077333333333334
2024-01-02 20:15:00,0.001,0.0,0.168
2024-01-02 20:30:00,0.001,0.0,0.37226666666666663
2024-01-02 20:45:00,0.001,0.0,0.7132000000000001
2024-01-02 21:00:00,0.001,0.0,0.7698666666666667
2024-01-02 21:15:00,0.001,0.0,0.5493333333333333
2024-01-02 21:30:00,0.001,0.0,0.6508824949151157
2024-01-02 21:45:00,0.001,0.0,0.2282237423726735
2024-01-02 22:00:00,0.001,0.0,0.34215707570600684
2024-01-02 22:15:00,0.001,0.0,1.2918904090393402
2024-01-02 22:30:00,0.001,0.0,0.2728237423726735
2024-01-02 22:45:00,0.001,0.0,0.5700237423726734
2024-01-02 23:00:00,0.001,0.0,0.47453040903934013
2024-01-02 23:15:00,0.001,0.0,0.4365237423726735
2024-01-02 23:30:00,0.001,0.0,0.9211904090393401
2024-01-02 23:45:00,0.001,0.0,0.8616529979660463
2024-01-03 00:00:00,0.001,0.0,0.4127
2024-01-03 00:15:00,0.001,0.0,0.47503333333333336
2024-01-03 00:30:00,0.001,0.0,0.49369999999999997
2024-01-03 00:45:00,0.001,0.0,0.25756666666666667
2024-01-03 01:00:00,0.001,0.0,0.1827
2024-01-03 01:15:00,0.001,0.0,0.29636666666666667
2024-01-03 01:30:00,0.001,0.0,0.33303333333333335
2024-01-03 01:45:00,0.001,0.0,0.27803333333333335
2024-01-03 02:00:00,0.001,0.0,0.3093666666666666
2024-01-03 02:15:00,0.001,0.0,0.3727
2024-01-03 02:30:00,0.001,0.0,0.1827
2024-01-03 02:45:00,0.001,0.0,0.25503333333333333
2024-01-03 03:00:00,0.001,0.0,0.3743666666666667
2024-01-03 03:15:00,0.001,0.0,0.27803333333333335
2024-01-03 03:30:00,0.001,0.0,0.1827
2024-01-03 03:45:00,0.001,0.0,0.36003333333333326
2024-01-03 04:00:00,0.001,0.0,0.32203333333333334
2024-01-03 04:15:00,0.001,0.0,0.21369999999999997
2024-01-03 04:30:00,0.001,0.0,0.35627333333333333
2024-01-03 04:45:00,0.001,0.0,0.3169333333333333
2024-01-03 05:00:00,0.001,0.0,0.3135333333333333
2024-01-03 05:15:00,0.001,0.0,0.08499999999999999
2024-01-03 05:30:00,0.001,0.0,0.237
2024-01-03 05:45:00,0.001,0.0,0.1391333333333333
2024-01-03 06:00:00,0.001,0.0,0.24133333333333334
2024-01-03 06:15:00,0.001,0.0,0.23800000000000002
2024-01-03 06:30:00,0.001,0.0,0.05999999999999999
2024-01-03 06:45:00,0.001,0.0,0.059133333333333336
2024-01-03 07:00:00,0.001,0.0,0.14866666666666667
2024-01-03 07:15:00,0.001,0.0,0.25
2024-01-03 07:30:00,0.001,0.0,0.23800000000000002
2024-01-03 07:45:00,0.001,0.0,0.2784666666666667
2024-01-03 08:00:00,0.001,0.0,0.047
2024-01-03 08:15:00,0.001,0.0,0.047
2024-01-03 08:30:00,0.001,0.0,0.047
2024-01-03 08:45:00,0.001,0.0,0.18719999999999998
2024-01-03 09:00:00,0.001,0.0,0.336
2024-01-03 09:15:00,0.001,0.0,0.31033333333333335
2024-01-03 09:30:00,0.001,0.0,0.07033333333333333
2024-01-03 09:45:00,0.001,0.0,0.05999999999999999
2024-01-03 10:00:00,0.001,0.0,0.19326666666666667
2024-01-03 10:15:00,0.001,0.0,0.32929424542360414
2024-01-03 10:30:00,0.001,0.0,0.3061570757060068
2024-01-03 10:45:00,0.001,0.0,0.4358237423726735
2024-01-03 11:00:00,0.001,0.0,0.5102904090393402
2024-01-03 11:15:00,0.001,0.0,0.0588237423726735
2024-01-03 11:30:00,0.001,0.0,0.05330599593209253
2024-01-03 11:45:00,0.001,0.0,0.047
2024-01-03 12:00:00,0.001,0.0,0.5341333333333332
2024-01-03 12:15:00,0.001,0.0,0.4666666666666667
2024-01-03 12:30:00,0.001,0.0,0.21600000000000003
2024-01-03 12:45:00,0.001,0.0,0.047
2024-01-03 13:00:00,0.001,0.0,0.047
2024-01-03 13:15:00,0.001,0.0,0.047
2024-01-03 13:30:00,0.001,0.0,0.08366666666666665
2024-01-03 13:45:00,0.001,0.0,0.8697333333333334
2024-01-03 14:00:00,0.001,0.0,0.37133333333333335
2024-01-03 14:15:00,0.001,0.0,0.07233333333333333
2024-01-03 14:30:00,0.001,0.0,0.047
2024-01-03 14:45:00,0.001,0.0,0.047
2024-01-03 15:00:00,0.001,0.0,0.08366666666666665
2024-01-03 15:15:00,0.001,0.0,0.194
2024-01-03 15:30:00,0.001,0.0,0.35400000000000004
2024-01-03 15:45:00,0.001,0.0,0.23233333333333334
2024-01-03 16:00:00,0.001,0.0,0.047
2024-01-03 16:15:00,0.001,0.0,0.047
2024-01-03 16:30:00,0.001,0.0,0.08366666666666665
2024-01-03 16:45:00,0.001,0.0,0.15266666666666667
2024-01-03 17:00:00,0.001,0.0,0.21466666666666667
2024-01-03 17:15:00,0.001,0.0,0.29900000000000004
2024-01-03 17:30:00,0.001,0.0,0.9610000000000001
2024-01-03 17:45:00,0.001,0.0,1.812202830282403
2024-01-03 18:00:00,0.001,0.0,1.3629237423726734
2024-01-03 18:15:00,0.001,0.0,2.411857075706007
2024-01-03 18:30:00,0.001,0.0,1.4502570757060067
2024-01-03 18:45:00,0.001,0.0,0.35724916158178227
2024-01-03 19:00:00,0.001,0.0,1.0124333333333333
2024-01-03 19:15:00,0.001,0.0,2.0102647484745346
2024-01-03 19:30:00,0.001,0.0,0.30065707570600686
2024-01-03 19:45:00,0.001,0.0,0.5206570757060068
2024-01-03 20:00:00,0.001,0.0,0.5321904090393402
2024-01-03 20:15:00,0.001,0.0,0.5915904090393401
2024-01-03 20:30:00,0.001,0.0,0.5569040777399606
2024-01-03 20:45:00,0.001,0.0,0.5067
2024-01-03 21:00:00,0.001,0.0,0.24660983231635647
2024-01-03 21:15:00,0.001,0.0,0.3109237423726735
2024-01-03 21:30:00,0.001,0.0,0.3637904090393402
2024-01-03 21:45:00,0.001,0.0,0.49472374237267347
2024-01-03 22:00:00,0.001,0.0,0.4222904090393402
