,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.7
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,1.5
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.054,0.0,1.2
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.5
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,1.5
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,1.5
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.10466666666666667,0.0,0.4
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.24400000000000002,2.3333333333333335,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.10466666666666667,5.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.054,3.0,1.4
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.06666666666666667,0.0,1.5
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.24400000000000002,0.0,1.5
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.14266666666666666,0.0,0.8
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.21866666666666665,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.18066666666666667,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.054,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.054,0.0,1.5
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.18239999999999998,0.0,1.5
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.23166666666666666,0.0,0.3
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.067,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.067,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.06266666666666668,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,1.7541333333333333,2.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,1.0566666666666669,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.07966666666666668,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.0836337114293139,0.067,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.35241852509254945,0.058333333333333334,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.759159940451665,0.10466666666666667,0.0,0.4
