,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.0538237423726735,0.0,0.4
2024-01-01 00:15:00,0.001,0.09049040903934016,0.0,1.4
2024-01-01 00:30:00,0.001,0.13449040903934018,0.0,0.2
2024-01-01 00:45:00,0.001,0.045152997966046264,0.0,0.0
2024-01-01 01:00:00,0.001,0.042,0.0,0.2
2024-01-01 01:15:00,0.001,0.042,0.0,1.0
2024-01-01 01:30:00,0.001,0.042,1.6,0.2
2024-01-01 01:45:00,0.001,0.14466666666666667,0.4,1.0
2024-01-01 02:00:00,0.001,0.056666666666666664,0.0,0.6
2024-01-01 02:15:00,0.001,0.042,0.0,0.2
2024-01-01 02:30:00,0.001,0.042,0.0,0.0
2024-01-01 02:45:00,0.001,0.042,0.0,0.2
2024-01-01 03:00:00,0.001,0.10066666666666667,0.0,0.0
2024-01-01 03:15:00,0.001,0.10066666666666667,0.0,0.0
2024-01-01 03:30:00,0.001,0.042,0.0,0.2
2024-01-01 03:45:00,0.001,0.042,0.0,0.0
2024-01-01 04:00:00,0.001,0.042,0.0,0.0
2024-01-01 04:15:00,0.001,0.05666666666666667,2.2,0.2
2024-01-01 04:30:00,0.001,0.14466666666666667,0.2,0.0
2024-01-01 04:45:00,0.001,0.042,0.0,0.2
2024-01-01 05:00:00,0.001,0.042,0.0,0.0
2024-01-01 05:15:00,0.001,0.042,0.0,0.0
2024-01-01 05:30:00,0.001,0.042,0.0,0.2
2024-01-01 05:45:00,0.001,0.12266666666666666,0.0,0.0
2024-01-01 06:00:00,0.001,0.07866666666666666,0.0,0.4
2024-01-01 06:15:00,0.001,0.042,0.0,0.2
2024-01-01 06:30:00,0.001,0.042,0.0,0.0
2024-01-01 06:45:00,0.001,0.042,0.0,1.0
2024-01-01 07:00:00,0.001,0.08906666666666667,0.0,0.8
2024-01-01 07:15:00,0.001,0.13566666666666669,0.0,0.4
2024-01-01 07:30:00,0.001,0.055,1.4,0.4
2024-01-01 07:45:00,0.001,0.055,0.6,1.6
2024-01-01 08:00:00,0.001,0.042,0.0,0.4
2024-01-01 08:15:00,0.001,0.042,0.0,0.0
2024-01-01 08:30:00,0.001,0.14986666666666668,0.0,0.2
2024-01-01 08:45:00,0.001,0.06966666666666667,0.0,0.0
2024-01-01 09:00:00,0.001,0.055,0.0,0.0
2024-01-01 09:15:00,0.001,0.055,0.0,0.2
2024-01-01 09:30:00,0.001,0.04633333333333334,0.0,0.2
2024-01-01 09:45:00,0.001,0.1024,0.0,0.2
2024-01-01 10:00:00,0.001,0.11366666666666667,0.0,0.2
2024-01-01 10:15:00,0.001,0.055,0.0,0.4
2024-01-01 10:30:00,0.001,0.055,0.0,0.0
2024-01-01 10:45:00,0.001,0.048933333333333336,0.0,0.2
2024-01-01 11:00:00,0.001,0.05666666666666667,0.0,0.2
2024-01-01 11:15:00,0.001,0.14466666666666667,2.0,0.2
2024-01-01 11:30:00,0.001,0.042,0.0,0.0
2024-01-01 11:45:00,0.001,0.04357649898302314,0.0,0.2
2024-01-01 12:00:00,0.001,0.0538237423726735,0.0,0.2
2024-01-01 12:15:00,0.001,0.0538237423726735,0.0,0.0
2024-01-01 12:30:00,0.001,0.23362374237267353,0.0,0.0
2024-01-01 12:45:00,0.001,0.23711128798050587,0.0,0.4
2024-01-01 13:00:00,0.001,0.21070519531896056,0.0,0.0
2024-01-01 13:15:00,0.001,0.20148553068624764,0.0,1.2
2024-01-01 13:30:00,0.001,0.14615219735291432,0.0,0.8
2024-01-01 13:45:00,0.001,0.11021886401958098,0.0,0.4
2024-01-01 14:00:00,0.001,0.154218864019581,0.0,1.0
2024-01-01 14:15:00,0.001,0.07355219735291431,0.0,0.2
2024-01-01 14:30:00,0.001,0.04410347982352762,0.0,0.0
2024-01-01 14:45:00,0.001,0.042,0.0,0.2
2024-01-01 15:00:00,0.001,0.13419999999999999,0.0,0.6
2024-01-01 15:15:00,0.001,0.2786666666666667,1.4,1.0
2024-01-01 15:30:00,0.001,0.19066666666666665,0.6,0.6
2024-01-01 15:45:00,0.001,0.176,0.0,0.2
2024-01-01 16:00:00,0.001,0.11012949694906939,0.0,2.4
2024-01-01 16:15:00,0.001,0.0538237423726735,0.0,0.2
2024-01-01 16:30:00,0.001,0.11249040903934017,0.0,0.0
2024-01-01 16:45:00,0.001,1.179157075706007,0.0,0.4
2024-01-01 17:00:00,0.001,1.92049040903934,0.0,0.2
2024-01-01 17:15:00,0.001,0.0514589938981388,0.0,0.2
2024-01-01 17:30:00,0.001,0.042,0.0,1.0
2024-01-01 17:45:00,0.001,0.18332,0.0,0.2
2024-01-01 18:00:00,0.001,0.28036666666666665,0.0,0.2
2024-01-01 18:15:00,0.001,0.1824294969490694,0.0,0.2
2024-01-01 18:30:00,0.001,0.2811585406079497,0.0,0.0
2024-01-01 18:45:00,0.001,0.3550759397255879,0.0,0.0
2024-01-01 19:00:00,0.001,0.3550759397255879,0.0,0.2
2024-01-01 19:15:00,0.001,0.7685426063922545,2.0,0.2
2024-01-01 19:30:00,0.001,1.6293426063922545,0.0,0.0
2024-01-01 19:45:00,0.001,1.506875939725588,0.0,0.0
2024-01-01 20:00:00,0.001,0.3420759397255878,0.0,1.8
2024-01-01 20:15:00,0.001,0.3420759397255878,0.0,0.4
2024-01-01 20:30:00,0.001,0.3787426063922545,0.0,0.2
2024-01-01 20:45:00,0.001,0.42274260639225447,0.0,0.4
2024-01-01 21:00:00,0.001,0.3420759397255878,0.0,0.4
2024-01-01 21:15:00,0.001,0.3420759397255878,0.0,0.0
2024-01-01 21:30:00,0.001,0.3429426063922545,0.0,1.2
2024-01-01 21:45:00,0.001,0.3550759397255879,0.0,0.8
2024-01-01 22:00:00,0.001,0.45774260639225445,0.0,0.6
2024-01-01 22:15:00,0.001,0.3697426063922545,0.0,0.8
2024-01-01 22:30:00,0.001,0.33898839411775544,0.0,0.0
2024-01-01 22:45:00,0.001,0.3420759397255878,0.0,0.2
2024-01-01 23:00:00,0.001,0.3420759397255878,0.0,0.0
2024-01-01 23:15:00,0.001,0.4007426063922545,0.0,1.8
2024-01-01 23:30:00,0.001,0.4007426063922545,0.0,0.2
2024-01-01 23:45:00,0.001,0.32940927305892115,0.0,0.0
