,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.2721521973529143,1.0666666666666667,0.0
2024-01-01 00:15:00,0.001,0.1995521973529143,4.0,0.0
2024-01-01 00:30:00,0.001,0.3410347982352762,1.3333333333333333,0.0
2024-01-01 00:45:00,0.001,0.37266666666666665,0.0,0.6
2024-01-01 01:00:00,0.001,0.19,0.0,0.0
2024-01-01 01:15:00,0.001,0.047,0.0,0.2
2024-01-01 01:30:00,0.001,0.047,0.0,0.2
2024-01-01 01:45:00,0.001,0.047,0.0,1.6
2024-01-01 02:00:00,0.001,0.20320695964705524,0.0,0.0
2024-01-01 02:15:00,0.001,0.2685521973529143,0.0,0.2
2024-01-01 02:30:00,0.001,0.17388553068624765,0.0,0.4
2024-01-01 02:45:00,0.001,0.10055219735291429,0.0,0.4
2024-01-01 03:00:00,0.001,0.07855219735291431,0.0,1.6
2024-01-01 03:15:00,0.001,0.06382783858822096,0.0,1.6
2024-01-01 03:30:00,0.001,0.19899999999999998,0.0,0.0
2024-01-01 03:45:00,0.001,0.237,0.0,0.8
2024-01-01 04:00:00,0.001,0.113,0.0,0.4
2024-01-01 04:15:00,0.001,0.09833333333333334,2.933333333333333,2.4
2024-01-01 04:30:00,0.001,0.4468,0.8,1.8
2024-01-01 04:45:00,0.001,0.047,0.8,0.0
2024-01-01 05:00:00,0.001,0.19899999999999998,0.0,0.4
2024-01-01 05:15:00,0.001,0.237,3.7333333333333334,0.2
2024-01-01 05:30:00,0.001,0.08366666666666665,2.1333333333333333,0.4
2024-01-01 05:45:00,0.001,0.6607333333333334,0.0,0.2
2024-01-01 06:00:00,0.001,0.047,0.0,0.0
2024-01-01 06:15:00,0.001,0.047,3.2,1.2
2024-01-01 06:30:00,0.001,0.19899999999999998,1.6,0.8
2024-01-01 06:45:00,0.001,0.24133333333333334,0.0,1.8
2024-01-01 07:00:00,0.001,0.06733333333333333,0.0,0.2
