,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.339,0.0
2024-01-01 00:15:00,0.001,0.001,0.21233333333333335,0.0
2024-01-01 00:30:00,0.001,0.001,0.035,0.0
2024-01-01 00:45:00,0.001,0.001,0.035,0.0
2024-01-01 01:00:00,0.001,0.001,0.035,0.0
2024-01-01 01:15:00,0.001,0.001,0.111,0.0
2024-01-01 01:30:00,0.001,0.001,0.38966666666666666,0.0
2024-01-01 01:45:00,0.001,0.001,0.08566666666666668,0.4
2024-01-01 02:00:00,0.001,0.001,0.035,1.2
2024-01-01 02:15:00,0.001,0.001,0.035,0.5
2024-01-01 02:30:00,0.001,0.001,0.035,1.5
2024-01-01 02:45:00,0.001,0.001,0.263,1.3
2024-01-01 03:00:00,0.001,0.001,0.28833333333333333,0.5
2024-01-01 03:15:00,0.001,0.001,0.035,0.3
2024-01-01 03:30:00,0.001,0.001,0.035,0.2
2024-01-01 03:45:00,0.001,0.001,0.035,1.1
2024-01-01 04:00:00,0.001,0.001,0.035,1.3
2024-01-01 04:15:00,0.001,0.001,0.415,0.1
2024-01-01 04:30:00,0.001,0.001,0.5361333333333334,0.4
2024-01-01 04:45:00,0.001,0.001,0.035,0.2
2024-01-01 05:00:00,0.001,0.001,0.035,0.7
2024-01-01 05:15:00,0.001,0.001,0.035,0.3
2024-01-01 05:30:00,0.001,0.001,0.18699999999999997,0.1
2024-01-01 05:45:00,0.001,0.001,0.3516666666666666,0.1
2024-01-01 06:00:00,0.001,0.001,0.04766666666666667,0.0
2024-01-01 06:15:00,0.001,0.001,0.04106666666666667,0.1
2024-01-01 06:30:00,0.001,0.001,0.048,0.3
2024-01-01 06:45:00,0.001,0.001,0.048,0.2
2024-01-01 07:00:00,0.001,0.001,0.35200000000000004,0.8
2024-01-01 07:15:00,0.001,0.001,0.221,0.9
2024-01-01 07:30:00,0.001,0.001,0.04713333333333334,0.1
2024-01-01 07:45:00,0.001,0.001,0.048,0.3
2024-01-01 08:00:00,0.001,0.001,0.048,0.5
2024-01-01 08:15:00,0.001,0.001,0.12313333333333333,0.1
2024-01-01 08:30:00,0.001,0.001,0.38966666666666666,0.0
2024-01-01 08:45:00,0.001,0.001,0.08566666666666668,1.0
2024-01-01 09:00:00,0.001,0.001,0.035,0.9
