,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.0,0.001,0.041,0.0
2024-01-01 00:15:00,0.0,0.001,0.041,0.0
2024-01-01 00:30:00,0.0,0.001,0.079,0.0
2024-01-01 00:45:00,0.0,0.001,0.269,0.0
2024-01-01 01:00:00,0.0,0.001,0.24366666666666667,0.0
2024-01-01 01:15:00,0.0,0.001,0.041,0.0
2024-01-01 01:30:00,0.0,0.001,0.041,0.0
2024-01-01 01:45:00,0.0,0.001,0.041,0.0
2024-01-01 02:00:00,0.0,0.001,0.12966666666666668,0.0
2024-01-01 02:15:00,0.0,0.001,0.2816666666666666,0.0
2024-01-01 02:30:00,0.0,0.001,0.18033333333333335,0.0
2024-01-01 02:45:00,0.0,0.001,0.041,0.0
2024-01-01 03:00:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 03:15:00,0.0,0.001,0.041,0.0
2024-01-01 03:30:00,0.0,0.001,0.18033333333333335,0.0
2024-01-01 03:45:00,0.0,0.001,0.269,0.3333333333333333
2024-01-01 04:00:00,0.0,0.001,0.5421333333333334,1.0
2024-01-01 04:15:00,0.0,0.001,0.041,0.0
2024-01-01 04:30:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 04:45:00,0.0,0.001,0.4408,0.3333333333333333
2024-01-01 05:00:00,0.0,0.001,0.231,1.0
2024-01-01 05:15:00,0.0,0.001,0.25633333333333336,0.0
2024-01-01 05:30:00,0.0,0.001,0.10433333333333335,0.3333333333333333
2024-01-01 05:45:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 06:00:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 06:15:00,0.0,0.001,0.09166666666666666,0.3333333333333333
2024-01-01 06:30:00,0.0,0.001,0.231,0.0
2024-01-01 06:45:00,0.0,0.001,0.24366666666666667,0.0
2024-01-01 07:00:00,0.0,0.001,0.06633333333333333,0.3333333333333333
2024-01-01 07:15:00,0.0,0.001,0.041,0.0
2024-01-01 07:30:00,0.0,0.001,0.041,0.0
2024-01-01 07:45:00,0.0,0.001,0.14233333333333334,0.0
2024-01-01 08:00:00,0.0,0.001,0.231,0.0
2024-01-01 08:15:00,0.0,0.001,0.21833333333333335,0.3333333333333333
2024-01-01 08:30:00,0.0,0.001,0.041,0.0
2024-01-01 08:45:00,0.0,0.001,0.041,0.0
2024-01-01 09:00:00,0.0,0.001,0.041,0.0
2024-01-01 09:15:00,0.0,0.001,0.193,0.3333333333333333
2024-01-01 09:30:00,0.0,0.001,0.21833333333333335,0.0
2024-01-01 09:45:00,0.0,0.001,0.18033333333333335,0.0
2024-01-01 10:00:00,0.0,0.001,0.041,0.0
2024-01-01 10:15:00,0.0,0.001,0.041,0.0
2024-01-01 10:30:00,0.0,0.001,0.05366666666666667,0.3333333333333333
2024-01-01 10:45:00,0.0,0.001,0.231,0.0
2024-01-01 11:00:00,0.0,0.001,0.20566666666666666,0.0
2024-01-01 11:15:00,0.0,0.001,0.14233333333333334,0.0
2024-01-01 11:30:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 11:45:00,0.0,0.001,0.041,0.0
2024-01-01 12:00:00,0.0,0.001,0.10433333333333333,0.0
2024-01-01 12:15:00,0.0,0.001,0.231,0.0
2024-01-01 12:30:00,0.0,0.001,0.193,0.0
2024-01-01 12:45:00,0.0,0.001,0.10433333333333335,0.3333333333333333
2024-01-01 13:00:00,0.0,0.001,0.041,0.0
2024-01-01 13:15:00,0.0,0.001,0.041,0.0
2024-01-01 13:30:00,0.0,0.001,0.155,0.0
2024-01-01 13:45:00,0.0,0.001,0.18033333333333335,0.3333333333333333
2024-01-01 14:00:00,0.0,0.001,0.231,0.0
2024-01-01 14:15:00,0.0,0.001,0.06633333333333333,0.0
2024-01-01 14:30:00,0.0,0.001,0.041,0.0
2024-01-01 14:45:00,0.0,0.001,0.041,0.0
2024-01-01 15:00:00,0.0,0.001,0.20566666666666666,0.3333333333333333
2024-01-01 15:15:00,0.0,0.001,0.16766666666666669,0.0
2024-01-01 15:30:00,0.0,0.001,0.21833333333333335,0.0
2024-01-01 15:45:00,0.0,0.001,0.041,0.0
2024-01-01 16:00:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 16:15:00,0.0,0.001,0.06633333333333334,0.0
2024-01-01 16:30:00,0.0,0.001,0.231,0.0
2024-01-01 16:45:00,0.0,0.001,0.155,0.0
2024-01-01 17:00:00,0.0,0.001,0.18033333333333335,0.3333333333333333
2024-01-01 17:15:00,0.0,0.001,0.041,0.0
2024-01-01 17:30:00,0.0,0.001,0.041,0.0
2024-01-01 17:45:00,0.0,0.001,0.117,0.0
2024-01-01 18:00:00,0.0,0.001,0.21833333333333335,0.0
2024-01-01 18:15:00,0.0,0.001,0.155,0.3333333333333333
2024-01-01 18:30:00,0.0,0.001,0.14233333333333334,0.0
2024-01-01 18:45:00,0.0,0.001,0.041,0.0
2024-01-01 19:00:00,0.0,0.001,0.041,0.0
2024-01-01 19:15:00,0.0,0.001,0.16766666666666669,0.3333333333333333
2024-01-01 19:30:00,0.0,0.001,0.16766666666666669,0.0
2024-01-01 19:45:00,0.0,0.001,0.193,0.0
2024-01-01 20:00:00,0.0,0.001,0.10433333333333335,0.0
2024-01-01 20:15:00,0.0,0.001,0.041,0.0
2024-01-01 20:30:00,0.0,0.001,0.041,0.3333333333333333
2024-01-01 20:45:00,0.0,0.001,0.21833333333333335,0.0
2024-01-01 21:00:00,0.0,0.001,0.117,0.0
2024-01-01 21:15:00,0.0,0.001,0.231,0.0
2024-01-01 21:30:00,0.0,0.001,0.06633333333333333,0.3333333333333333
2024-01-01 21:45:00,0.0,0.001,0.041,0.0
2024-01-01 22:00:00,0.0,0.001,0.079,0.0
2024-01-01 22:15:00,0.0,0.001,0.231,0.0
2024-01-01 22:30:00,0.0,0.001,0.10433333333333333,0.0
2024-01-01 22:45:00,0.0,0.001,0.21833333333333335,0.3333333333333333
2024-01-01 23:00:00,0.0,0.001,0.041,0.0
2024-01-01 23:15:00,0.0,0.001,0.041,0.0
2024-01-01 23:30:00,0.0,0.001,0.12966666666666668,0.0
2024-01-01 23:45:00,0.0,0.001,0.20566666666666666,0.3333333333333333
