,Occupancy,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB
2024-01-01 00:00:00,2.0,60.0,0.0,0.07593902695731437,60.0
2024-01-01 00:15:00,2.0,59.934691711169066,0.0,0.07580851517031256,60.0
2024-01-01 00:30:00,2.0,59.86949566372208,0.0,0.07567822768598131,60.0
2024-01-01 00:45:00,2.0,59.804411664756586,0.0,0.07554816411882527,60.0
2024-01-01 01:00:00,2.0,59.73943952170169,0.0,0.07541832408401157,60.0
2024-01-01 01:15:00,2.0,59.67457904231743,0.0,0.07528870719736878,60.0
2024-01-01 01:30:00,2.0,59.60983003469427,0.12837066666666666,0.0751151581389285,60.0
2024-01-01 01:45:00,2.0,59.43483028091975,1.7971893333333335,0.07424552101090423,60.0
2024-01-01 02:00:00,2.0,58.16938224564999,0.12837066666666666,0.07340062858426064,60.0
2024-01-01 02:15:00,2.0,59.027868470470025,1.5404480000000003,0.0735272103335638,60.0
2024-01-01 02:30:00,2.0,58.06983914481288,1.5404480000000003,0.07196091375044156,60.0
2024-01-01 02:45:00,2.0,57.973166404845955,0.0,0.07308056045255024,60.0
2024-01-01 03:00:00,2.0,59.02832884688388,0.5134826666666666,0.07395513877135265,60.0
2024-01-01 03:15:00,2.0,58.9531314986811,0.12837066666666666,0.07404690347450034,60.0
2024-01-01 03:30:00,1.0,59.0370533208244,0.12837066666666666,0.07405419694329424,60.0
2024-01-01 03:45:00,1.0,59.03496791494866,1.9255600000000002,0.07264008742305114,60.0
2024-01-01 04:00:00,1.0,58.26250725686863,0.385112,0.0733628311941693,60.0
2024-01-01 04:15:00,1.0,58.9862269433715,0.0,0.0740735230158398,60.0
2024-01-01 04:30:00,1.0,59.0085239613225,0.2567413333333333,0.07405292725766996,60.0
2024-01-01 04:45:00,2.0,59.06804155852088,0.12837066666666666,0.07407352909168828,60.0
2024-01-01 05:00:00,2.0,59.06593952681279,0.7702240000000001,0.07369513405774564,60.0
2024-01-01 05:15:00,1.0,58.94216769628056,0.12837066666666666,0.07402499346170956,60.0
2024-01-01 05:30:00,1.0,59.02610836124421,0.0,0.0740730462927466,60.0
2024-01-01 05:45:00,1.0,59.04840578918165,0.0,0.07406029769301908,60.0
2024-01-01 06:00:00,1.0,59.07071418103667,0.0,0.0740819464084379,60.0
2024-01-01 06:15:00,1.0,59.0070029992234,0.0,0.07409214105323313,60.0
2024-01-01 06:30:00,3.0,59.029284005484364,0.2567413333333333,0.07398477704332831,60.0
2024-01-01 06:45:00,1.0,59.002859256952135,0.12837066666666666,0.07404484504436538,60.0
2024-01-01 07:00:00,3.0,59.00078189379884,1.5404480000000003,0.07318412103545097,60.0
2024-01-01 07:15:00,3.0,58.301050494915025,0.0,0.07357529370319543,60.0
2024-01-01 07:30:00,3.0,59.01178363936522,0.0,0.07409024232396776,60.0
2024-01-01 07:45:00,3.0,59.03406627855148,0.2567413333333333,0.0740042574083313,60.0
2024-01-01 08:00:00,3.0,59.007624776719176,0.385112,0.07402186394387894,60.0
2024-01-01 08:15:00,3.0,59.0427700442304,0.0,0.07406049941045124,60.0
2024-01-01 08:30:00,1.0,59.065078262606505,0.0,0.07407068361471164,60.0
2024-01-01 08:45:00,1.0,59.001376766903455,0.8985946666666668,0.07366700225834526,60.0
2024-01-01 09:00:00,1.0,59.02523199668605,1.5404480000000003,0.07325601442634051,60.0
2024-01-01 09:15:00,1.0,58.411439724365266,0.7702240000000001,0.07282050026338543,60.0
2024-01-01 09:30:00,1.0,58.97642773178329,0.12837066666666666,0.07403596879801273,60.0
2024-01-01 09:45:00,1.0,59.06035895785284,0.0,0.07406125257758248,60.0
2024-01-01 10:00:00,1.0,58.996665572931846,0.0,0.07409438352561826,60.0
2024-01-01 10:15:00,3.0,59.018944650645125,1.668818666666667,0.07395431300545723,60.0
2024-01-01 10:30:00,3.0,57.77814610147655,0.5134826666666666,0.07217266471387467,60.0
2024-01-01 10:45:00,1.0,58.56449125365765,0.0,0.07386103397541742,60.0
2024-01-01 11:00:00,1.0,59.01697579204478,0.0,0.07407770968047829,60.0
2024-01-01 11:15:00,1.0,59.039269209424205,0.6418533333333334,0.07394431607624764,60.0
2024-01-01 11:30:00,1.0,58.939682124408804,1.0269653333333335,0.0736087065760795,60.0
2024-01-01 11:45:00,1.0,58.93918844460138,0.0,0.07407121903868288,60.0
2024-01-01 12:00:00,1.0,59.04748839956095,0.0,0.07405846438577865,60.0
2024-01-01 12:15:00,2.0,59.069798368077734,1.7971893333333335,0.07317780021012973,60.0
2024-01-01 12:30:00,2.0,57.97727049403176,1.0269653333333335,0.07276172115923435,60.0
2024-01-01 12:45:00,1.0,58.32150905204102,0.0,0.07361617799059278,60.0
2024-01-01 13:00:00,3.0,59.032207035613375,0.5134826666666666,0.0740007072532065,60.0
2024-01-01 13:15:00,3.0,58.95697049808076,1.5404480000000003,0.07270254882918799,60.0
2024-01-01 13:30:00,3.0,58.77365898929312,1.5404480000000003,0.07284711092275381,60.0
2024-01-01 13:45:00,3.0,58.41822124459126,0.0,0.07374066615141835,60.0
2024-01-01 14:00:00,1.0,59.042811211589566,0.2567413333333333,0.07400684715072385,60.0
2024-01-01 14:15:00,1.0,59.01636748255407,1.5404480000000003,0.07266083197406231,60.0
2024-01-01 14:30:00,1.0,58.747090895094296,0.2567413333333333,0.07396284829107264,60.0
2024-01-01 14:45:00,1.0,59.06468882776323,0.0,0.0740699053698942,60.0
2024-01-01 15:00:00,1.0,59.000988001358145,0.2567413333333333,0.07400385337552233,60.0
2024-01-01 15:15:00,1.0,59.06054780256411,0.385112,0.07403270713820054,60.0
2024-01-01 15:30:00,1.0,59.009682789258434,0.0,0.07408604399468113,60.0
2024-01-01 15:45:00,1.0,59.03196903904801,0.12837066666666666,0.07405857933748683,60.0
2024-01-01 16:00:00,1.0,59.029879864271386,0.2567413333333333,0.07405627871241971,60.0
2024-01-01 16:15:00,3.0,58.9173926680543,0.2567413333333333,0.07402490551924316,60.0
2024-01-01 16:30:00,3.0,59.06293531978165,1.668818666666667,0.07365924074361051,60.0
2024-01-01 16:45:00,1.0,57.822390535577874,0.12837066666666666,0.07258479096564698,60.0
2024-01-01 17:00:00,1.0,58.93958125524429,0.0,0.07406054643655742,60.0
2024-01-01 17:15:00,1.0,59.047890388743674,0.0,0.07405926771913084,60.0
2024-01-01 17:30:00,1.0,59.07019966638609,0.0,0.07408091820470313,60.0
2024-01-01 17:45:00,1.0,59.00648936883784,0.0,0.07409111461660958,60.0
2024-01-01 18:00:00,1.0,59.028771257844106,0.0,0.07407836781318564,60.0
2024-01-01 18:15:00,1.0,59.05106410922311,0.2567413333333333,0.0740084484897574,60.0
2024-01-01 18:30:00,1.0,59.02461900302074,0.385112,0.07400810986173165,60.0
2024-01-01 18:45:00,1.0,59.05977609917405,0.12837066666666666,0.0740636950008108,60.0
2024-01-01 19:00:00,1.0,59.05768252487808,0.0,0.07405590400611352,60.0
2024-01-01 19:15:00,1.0,59.07999469534582,0.12837066666666666,0.07407601911042669,60.0
2024-01-01 19:30:00,1.0,59.07789052219781,0.0,0.074096287575935,60.0
2024-01-01 19:45:00,1.0,59.014167006843444,0.2567413333333333,0.07404435740136898,60.0
2024-01-01 20:00:00,1.0,59.07369197420014,0.12837066666666666,0.07405386882552772,60.0
2024-01-01 20:15:00,1.0,59.071606850508815,0.0,0.07408373031504602,60.0
2024-01-01 20:30:00,1.0,59.00789413451881,0.2567413333333333,0.0740566227628281,60.0
2024-01-01 20:45:00,1.0,59.06740855354742,0.8985946666666668,0.07360586950790657,60.0
2024-01-01 21:00:00,1.0,59.005315402513375,0.2567413333333333,0.07406446730821664,60.0
2024-01-01 21:15:00,1.0,59.06482307515801,0.0,0.07407017364927662,60.0
2024-01-01 21:30:00,1.0,59.0011220180301,0.0,0.07409183955273578,60.0
2024-01-01 21:45:00,2.0,59.02340328358438,0.0,0.07407909807099491,60.0
2024-01-01 22:00:00,2.0,59.04569550693469,0.0,0.07406634564179765,60.0
2024-01-01 22:15:00,2.0,59.06799869749597,1.5404480000000003,0.07327722856639333,60.0
2024-01-01 22:30:00,1.0,58.19618531411349,0.0,0.07342305242656043,60.0
2024-01-01 22:45:00,2.0,59.07905129864869,0.0,0.07409860726630856,60.0
2024-01-01 23:00:00,2.0,59.01532578833844,0.2567413333333333,0.07403213670200236,60.0
2024-01-01 23:15:00,2.0,59.07486126561335,0.0,0.07409023392337112,60.0
2024-01-01 23:30:00,2.0,59.01114295645804,0.7702240000000001,0.07370714063396763,60.0
2024-01-01 23:45:00,2.0,59.05936271128788,0.0,0.07405926168298373,60.0
