,TumbleDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.4156446213138392,0.0
2024-01-01 00:15:00,0.001,0.001,0.3098237423726735,0.0
2024-01-01 00:30:00,0.001,0.001,0.3098237423726735,0.0
2024-01-01 00:45:00,0.001,0.001,0.3098237423726735,0.0
2024-01-01 01:00:00,0.001,0.001,0.41838374237267345,0.3333333333333333
2024-01-01 01:15:00,0.001,0.001,0.45518633129937963,1.0
2024-01-01 01:30:00,0.001,0.001,0.4773666666666667,0.3333333333333333
2024-01-01 01:45:00,0.001,0.001,0.31270000000000003,0.0
2024-01-01 02:00:00,0.001,0.001,0.7247666666666664,0.0
2024-01-01 02:15:00,0.001,0.001,0.19169999999999998,0.3333333333333333
2024-01-01 02:30:00,0.001,0.001,0.19169999999999998,0.0
2024-01-01 02:45:00,0.001,0.001,0.3563666666666666,1.6666666666666667
2024-01-01 03:00:00,0.001,0.001,0.5975666666666667,0.0
2024-01-01 03:15:00,0.001,0.001,0.33629999999999993,1.0
2024-01-01 03:30:00,0.001,0.001,0.22569999999999998,0.3333333333333333
2024-01-01 03:45:00,0.001,0.001,0.22569999999999998,0.6666666666666666
2024-01-01 04:00:00,0.001,0.001,0.5937666666666666,0.0
2024-01-01 04:15:00,0.001,0.001,0.3817,0.3333333333333333
2024-01-01 04:30:00,0.001,0.001,0.30569999999999997,0.6666666666666666
2024-01-01 04:45:00,0.001,0.001,0.19169999999999998,0.3333333333333333
2024-01-01 05:00:00,0.001,0.001,0.19169999999999998,0.3333333333333333
2024-01-01 05:15:00,0.001,0.001,0.7247666666666664,1.6666666666666667
2024-01-01 05:30:00,0.001,0.001,0.2170333333333333,0.0
2024-01-01 05:45:00,0.001,0.001,0.246,0.0
2024-01-01 06:00:00,0.001,0.001,0.14466666666666667,0.3333333333333333
2024-01-01 06:15:00,0.001,0.001,0.056,0.0
2024-01-01 06:30:00,0.001,0.001,0.056,0.0
2024-01-01 06:45:00,0.001,0.001,0.056,0.0
2024-01-01 07:00:00,0.001,0.001,0.10666666666666667,0.3333333333333333
2024-01-01 07:15:00,0.001,0.001,0.25553333333333333,0.3333333333333333
2024-01-01 07:30:00,0.001,0.001,0.13233333333333333,1.0
2024-01-01 07:45:00,0.001,0.001,0.069,0.0
2024-01-01 08:00:00,0.001,0.001,0.06553333333333335,0.3333333333333333
2024-01-01 08:15:00,0.001,0.001,0.056,1.6666666666666667
