T_set,T_in,T_wall,P_loss,Power,Power_limited,Flex_EV
20.0,20.0,20.0,0.0,,,0.0
20.0,19.99958469244407,19.99799445341021,320.0,,,0.0
20.0,19.999228961649692,19.99599061305941,319.7277567730699,,,0.0
20.0,19.998872040915046,19.99398852231513,319.4485939300996,,,0.0
20.0,19.998513932457207,19.99198817851417,319.1698560216656,,,0.0
20.0,19.998154638489556,19.989989578997683,318.89154235194496,,,0.0
20.0,19.997794161221783,19.987992721111176,318.61365222626364,,,0.0
20.0,19.9974325028599,19.985997602204506,318.33618495109124,,,0.0
20.0,19.99706966560625,19.984004219631867,318.0591398340413,,,0.0
20.0,19.996705651659497,19.982012570751785,317.78251618386787,,,0.0
20.0,19.996340463214644,19.98002265292711,317.50631331046515,,,0.0
20.0,19.99597410246304,19.978034463525017,317.23053052486495,,,0.0
20.0,19.995606571592383,19.97604799991698,316.9551671392342,,,0.0
20.0,19.995237872786724,19.974063259478786,316.6802224668741,,,0.0
20.0,19.99486800822648,19.972080239590518,316.4056958222179,,,0.0
20.0,19.994496980088424,19.970098937636546,316.1315865208284,,,0.0
20.0,19.99412479054572,19.968119351005523,315.8578938793976,,,0.0
20.0,19.99375144176789,19.96614147709038,315.5846172157423,,,0.0
20.0,19.99337693592086,19.96416531328831,315.31175584880543,,,0.0
20.0,19.993001275166936,19.96219085700077,315.0393090986517,,,0.0
20.0,19.992624461664825,19.96021810563348,314.7672762864663,,,0.0
20.0,19.992246497569635,19.958247056596395,314.4956567345543,,,0.0
20.0,19.991867385032887,19.95627770730372,314.22444976633705,,,0.0
20.0,19.991487126202507,19.954310055173885,313.95365470635187,,,0.0
20.0,19.991105723222855,19.95234409762955,313.6832708802492,,,0.0
20.0,19.99072317823471,19.950379832097596,313.4132976147902,,,0.0
20.0,19.990339493375284,19.948417256009115,313.14373423784735,,,0.0
20.0,19.989954670778232,19.946456366799406,312.87458007839973,,,0.0
20.0,19.989568712573647,19.94449716190796,312.60583446653305,,,0.0
20.0,19.989181620888072,19.942539638778474,312.3374967334369,,,0.0
20.0,19.988793397844514,19.940583794858814,312.06956621140495,,,0.0
20.0,19.988404045562437,19.93862962760103,311.8020422338292,,,0.0
20.0,19.98801356615777,19.93667713446135,311.53492413520155,,,0.0
20.0,19.987621961742917,19.93472631290015,311.2682112511112,,,0.0
20.0,19.98722923442677,19.932777160381978,311.00190291824185,,,0.0
20.0,19.986835386314695,19.930829674375527,310.7359984743703,,,0.0
20.0,19.98644041950855,19.928883852353632,310.4704972583666,,,0.0
20.0,19.986044336106698,19.92693969179327,310.2053986101889,,,0.0
20.0,19.985647138203998,19.92499719017554,309.9407018708842,,,0.0
20.0,19.98524882789182,19.92305634498567,309.6764063825851,,,0.0
20.0,19.984849407258046,19.921117153713006,309.4125114885094,,,0.0
20.0,19.98444887838708,19.919179613850993,309.1490165329565,,,0.0
20.0,19.984047243359853,19.91724372289719,308.8859208613071,,,0.0
20.0,19.98364450425382,19.915309478353247,308.623223820021,,,0.0
20.0,19.983240663142983,19.913376877724907,308.36092475663565,,,0.0
20.0,19.98283572209788,19.911445918521988,308.0990230197637,,,0.0
20.0,19.982429683185604,19.90951659825839,307.83751795909035,,,0.0
20.0,19.982022548469793,19.907588914452077,307.5764089253743,,,0.0
20.0,19.98161432001065,19.905662864625086,307.31569527044394,,,0.0
20.0,19.981204999864946,19.903738446303496,307.0553763471966,,,0.0
20.0,19.98079459008602,19.90181565701744,306.79545150959467,,,0.0
20.0,19.98038309272379,19.899894494301098,306.5359201126666,,,0.0
20.0,19.979970509824756,19.897974955692682,306.27678151250365,,,0.0
20.0,19.979556843432004,19.89605703873443,306.0180350662593,,,0.0
20.0,19.979142095585214,19.894140740972606,305.7596801321451,,,0.0
20.0,19.97872626832067,19.89222605995749,305.50171606943184,,,0.0
20.0,19.978309363671258,19.89031299324337,305.24414223844565,,,0.0
20.0,19.977891383666474,19.888401538388532,304.9869580005673,,,0.0
20.0,19.977472330332432,19.886491692955268,304.7301627182298,,,0.0
20.0,19.977052205691866,19.884583454509848,304.4737557549181,,,0.0
20.0,19.97663101176414,19.88267682062253,304.2177364751652,,,0.0
20.0,19.976208750565252,19.880771788867555,303.962104244552,,,0.0
20.0,19.975785424107833,19.878868356823123,303.70685842970533,,,0.0
20.0,19.97536103440116,19.8769665220714,303.4519983982961,,,0.0
20.0,19.974935583451163,19.875066282198507,303.19752351903725,,,0.0
20.0,19.97450907326043,19.87316763479452,302.943433161682,,,0.0
20.0,19.974081505828195,19.871270577453455,302.6897266970223,,,0.0
20.0,19.973652883150375,19.869375107773266,302.4364034968883,,,0.0
20.0,19.973223207219554,19.867481223355835,302.18346293414464,,,0.0
20.0,19.97279248002499,19.86558892180697,301.9309043826893,,,0.0
20.0,19.97236070355262,19.8636982007364,301.67872721745323,,,0.0
20.0,19.97192787978508,19.86180905775776,301.4269308143975,,,0.0
20.0,19.971494010701694,19.859921490488592,301.1755145505114,,,0.0
20.0,19.971059098278484,19.858035496550333,300.9244778038116,,,0.0
20.0,19.970623144488176,19.856151073568313,300.6738199533389,,,0.0
20.0,19.97018615130021,19.854268219171754,300.4235403791591,,,0.0
20.0,19.96974812068074,19.852386930993745,300.17363846235895,,,0.0
20.0,19.96930905459264,19.85050720667126,299.92411358504506,,,0.0
20.0,19.968868954995507,19.84862904384513,299.67496513034394,,,0.0
20.0,19.968427823845676,19.84675244016005,299.426192482397,,,0.0
20.0,19.96798566309622,19.844877393264564,299.1777950263625,,,0.0
20.0,19.967542474696945,19.84300390081107,298.9297721484104,,,0.0
20.0,19.967098260594415,19.8411319604558,298.6821232357234,,,0.0
