,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited,Flex_EV
2024-01-01 00:00:00,21.5,21.5,21.5,12.0,0.0,0.0,0.0,1.0
2024-01-01 00:01:00,21.5,21.499506822277336,21.49761841342463,12.0,380.0,0.0,0.0,1.0
2024-01-01 00:02:00,21.5,21.499073322300127,21.495238527300945,12.0,379.72868017964726,0.0,0.0,1.0
2024-01-01 00:03:00,21.5,21.498638742971306,21.49286037507899,12.0,379.452023154264,0.0,0.0,1.0
2024-01-01 00:04:00,21.5,21.498203085939497,21.490483954680297,12.0,379.17569776455906,0.0,0.0,1.0
2024-01-01 00:05:00,21.5,21.49776635285113,21.48810926402909,12.0,378.8997035799166,0.0,0.0,1.0
2024-01-01 00:06:00,21.5,21.497328545350445,21.485736301052295,12.0,378.624040170285,0.0,0.0,1.0
2024-01-01 00:07:00,21.5,21.496889665079486,21.48336506367952,12.0,378.3487071061753,0.0,0.0,1.0
2024-01-01 00:08:00,21.5,21.496449713678118,21.480995549843076,12.0,378.0737039586621,0.0,0.0,1.0
2024-01-01 00:09:00,21.5,21.496008692784013,21.478627757477945,12.0,377.7990302993821,0.0,0.0,1.0
2024-01-01 00:10:00,21.5,21.49556660403267,21.4762616845218,12.0,377.52468570053304,0.0,0.0,1.0
2024-01-01 00:11:00,21.5,21.495123449057406,21.47389732891498,12.0,377.25066973487327,0.0,0.0,1.0
2024-01-01 00:12:00,21.5,21.494679229489364,21.47153468860051,12.0,376.9769819757208,0.0,0.0,1.0
2024-01-01 00:13:00,21.5,21.49423394695751,21.469173761524083,12.0,376.70362199695256,0.0,0.0,1.0
2024-01-01 00:14:00,21.5,21.49378760308865,21.466814545634055,12.0,376.43058937300475,0.0,0.0,1.0
2024-01-01 00:15:00,21.5,21.493340199507408,21.46445703888145,12.0,376.15788367887035,0.0,0.0,1.0
2024-01-01 00:16:00,21.5,21.49289173783626,21.462101239219948,12.0,375.8855044900998,0.0,0.0,1.0
2024-01-01 00:17:00,21.5,21.492442219695512,21.45974714460589,12.0,375.6134513827991,0.0,0.0,1.0
2024-01-01 00:18:00,21.5,21.491991646703312,21.457394752998262,12.0,375.34172393362985,0.0,0.0,1.0
2024-01-01 00:19:00,21.5,21.491540020475657,21.455044062358713,12.0,375.07032171980865,0.0,0.0,1.0
2024-01-01 00:20:00,21.5,21.491087342626386,21.45269507065153,12.0,374.79924431910575,0.0,0.0,1.0
2024-01-01 00:21:00,21.5,21.49063361476719,21.45034777584364,12.0,374.52849130984526,0.0,0.0,1.0
2024-01-01 00:22:00,21.5,21.490178838507617,21.448002175904616,12.0,374.2580622709028,0.0,0.0,1.0
2024-01-01 00:23:00,21.5,21.489723015455066,21.445658268806664,12.0,373.9879567817068,0.0,0.0,1.0
2024-01-01 00:24:00,21.5,21.489266147214796,21.44331605252462,12.0,373.718174422236,0.0,0.0,1.0
