,WasherDryer,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.1905237423726735,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.25385707570600685,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.36785707570600684,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.2215237423726735,0.0,0.3333333333333333
2024-01-01 01:00:00,0.001,0.001,0.33527649898302314,0.0,1.0
2024-01-01 01:15:00,0.001,0.001,0.3326333333333333,0.0,0.3333333333333333
2024-01-01 01:30:00,0.001,0.001,0.4452333333333333,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.21669999999999998,0.0,0.3333333333333333
2024-01-01 02:00:00,0.001,0.001,0.6508933333333334,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.45546666666666663,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.9046,0.0,1.0
2024-01-01 02:45:00,0.001,0.001,0.18766666666666668,0.0,1.0
2024-01-01 03:00:00,0.001,0.001,0.043,0.0,0.6666666666666666
2024-01-01 03:15:00,0.001,0.001,0.45546666666666663,0.0,0.3333333333333333
2024-01-01 03:30:00,0.001,0.001,0.7660666666666668,0.0,1.3333333333333333
2024-01-01 03:45:00,0.001,0.001,0.081,0.0,0.3333333333333333
2024-01-01 04:00:00,0.001,0.001,0.043,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.136,3.3333333333333335,0.3333333333333333
2024-01-01 04:30:00,0.001,0.001,0.15666666666666668,5.0,1.0
2024-01-01 04:45:00,0.001,0.001,0.043,5.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.22033333333333335,5.0,0.3333333333333333
2024-01-01 05:15:00,0.001,0.001,0.13157509121566477,0.6666666666666666,0.3333333333333333
2024-01-01 05:30:00,0.001,0.001,0.07455219735291431,0.0,1.3333333333333333
2024-01-01 05:45:00,0.001,0.001,0.4743521973529143,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.20643469226802996,0.0,1.6666666666666667
2024-01-01 06:15:00,0.001,0.001,0.17077593972558783,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.24927245990206018,0.0,0.3333333333333333
2024-01-01 06:45:00,0.001,0.001,0.15649040903934017,0.0,0.3333333333333333
2024-01-01 07:00:00,0.001,0.001,0.06388249491511568,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.056,0.0,0.3333333333333333
2024-01-01 07:30:00,0.001,0.001,0.0482,0.0,0.3333333333333333
2024-01-01 07:45:00,0.001,0.001,0.198,0.0,1.0
2024-01-01 08:00:00,0.001,0.001,0.22133333333333335,0.0,1.6666666666666667
2024-01-01 08:15:00,0.001,0.001,0.157,0.0,0.3333333333333333
2024-01-01 08:30:00,0.001,0.001,0.043,0.0,0.3333333333333333
2024-01-01 08:45:00,0.001,0.001,0.043,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.043,1.3333333333333333,0.0
2024-01-01 09:15:00,0.001,0.001,0.13694666666666666,2.0,0.3333333333333333
2024-01-01 09:30:00,0.001,0.001,0.44803333333333334,0.0,0.3333333333333333
2024-01-01 09:45:00,0.001,0.001,0.3517,0.0,0.3333333333333333
2024-01-01 10:00:00,0.001,0.001,0.19169999999999998,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.18303333333333333,0.0,0.3333333333333333
2024-01-01 10:30:00,0.001,0.001,0.1787,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.1787,0.0,2.6666666666666665
2024-01-01 11:00:00,0.001,0.001,0.31670000000000004,0.0,0.3333333333333333
2024-01-01 11:15:00,0.001,0.001,0.4880333333333334,0.0,0.3333333333333333
2024-01-01 11:30:00,0.001,0.001,0.1787,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.1787,0.0,2.0
2024-01-01 12:00:00,0.001,0.001,0.5784999999999999,0.0,0.6666666666666666
2024-01-01 12:15:00,0.001,0.001,0.19342435876469333,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.260918864019581,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.5416521973529143,0.0,1.3333333333333333
2024-01-01 13:00:00,0.001,0.001,0.444918864019581,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.33125219735291433,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.3123208789411657,0.0,0.6666666666666666
2024-01-01 13:45:00,0.001,0.001,0.29969999999999997,0.0,0.0
