,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.3217,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.3217,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.43570000000000003,0.0,1.6666666666666667
2024-01-01 00:45:00,0.001,0.001,0.001,0.3795,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.18769999999999998,0.0,0.6666666666666666
2024-01-01 01:15:00,0.001,0.001,0.001,0.18769999999999998,0.0,0.3333333333333333
2024-01-01 01:30:00,0.001,0.001,0.001,0.07009333333333333,0.0,0.3333333333333333
2024-01-01 01:45:00,0.001,0.001,0.001,0.12459999999999999,0.0,0.3333333333333333
2024-01-01 02:00:00,0.001,0.001,0.001,0.38839999999999997,0.0,1.3333333333333333
2024-01-01 02:15:00,0.001,0.001,0.001,0.40800000000000003,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.294,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.294,0.0,0.3333333333333333
2024-01-01 03:00:00,0.001,0.001,0.001,0.2698,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.16493333333333332,0.6666666666666666,0.3333333333333333
2024-01-01 03:30:00,0.001,0.001,0.001,0.19133333333333333,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.15333333333333332,0.0,0.3333333333333333
2024-01-01 04:00:00,0.001,0.001,0.001,0.052,0.0,3.3333333333333335
2024-01-01 04:15:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.20400000000000001,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.14066666666666666,0.8,0.3333333333333333
2024-01-01 05:30:00,0.001,0.001,0.001,0.052,0.0,0.3333333333333333
2024-01-01 05:45:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.21666666666666667,0.0,0.3333333333333333
2024-01-01 06:45:00,0.001,0.001,0.001,0.128,0.0,0.3333333333333333
2024-01-01 07:00:00,0.001,0.001,0.001,0.052,0.0,0.3333333333333333
2024-01-01 07:15:00,0.001,0.001,0.001,0.052,0.0,0.3333333333333333
2024-01-01 07:30:00,0.001,0.001,0.001,0.052,1.2,1.6666666666666667
2024-01-01 07:45:00,0.001,0.001,0.001,0.052,1.3333333333333333,2.3333333333333335
2024-01-01 08:00:00,0.001,0.001,0.001,0.23713333333333333,0.0,1.0
2024-01-01 08:15:00,0.001,0.001,0.001,0.12833333333333333,0.0,1.6666666666666667
2024-01-01 08:30:00,0.001,0.001,0.001,0.065,0.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.065,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.0598,0.0,0.6666666666666666
2024-01-01 09:15:00,0.001,0.001,0.001,0.052,0.0,1.0
2024-01-01 09:30:00,0.001,0.001,0.001,0.242,0.0,0.6666666666666666
2024-01-01 09:45:00,0.001,0.001,0.001,0.10266666666666667,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.001,0.052,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.001,0.052,0.0,2.0
2024-01-01 10:30:00,0.001,0.001,0.001,0.09723333333333332,0.0,1.0
2024-01-01 10:45:00,0.001,0.001,0.001,0.20036666666666664,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.001,0.3777,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.001,0.22569999999999996,0.0,2.0
2024-01-01 11:30:00,0.001,0.001,0.001,0.18769999999999998,0.0,0.3333333333333333
2024-01-01 11:45:00,0.001,0.001,0.001,0.5874999999999999,0.0,1.6666666666666667
2024-01-01 12:00:00,0.001,0.001,0.001,0.2038333333333333,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.001,0.3340333333333333,0.0,2.0
2024-01-01 12:30:00,0.001,0.001,0.001,0.5193472433896503,0.0,0.6666666666666666
2024-01-01 12:45:00,0.001,0.001,0.001,0.3588570757060069,0.0,1.6666666666666667
2024-01-01 13:00:00,0.001,0.001,0.001,0.3335237423726735,0.0,0.3333333333333333
2024-01-01 13:15:00,0.001,0.001,0.001,0.2795078081569783,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.001,0.23722102356740957,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.001,0.2572521973529143,0.0,0.3333333333333333
2024-01-01 14:00:00,0.001,0.001,0.001,0.465718864019581,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.001,0.352918864019581,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.001,0.34025219735291434,0.0,1.0
2024-01-01 14:45:00,0.001,0.001,0.001,0.4339069596470552,0.0,1.0
2024-01-01 15:00:00,0.001,0.001,0.001,0.4296999999999999,0.0,1.3333333333333333
2024-01-01 15:15:00,0.001,0.001,0.001,0.39460215954782857,0.0,0.3333333333333333
2024-01-01 15:30:00,0.001,0.001,0.001,0.5105237423726735,0.0,2.0
2024-01-01 15:45:00,0.001,0.001,0.001,0.7041904090393402,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.001,0.1995237423726735,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.001,0.09764566056480548,0.0,0.3333333333333333
2024-01-01 16:30:00,0.001,0.001,0.001,0.052,0.0,0.3333333333333333
2024-01-01 16:45:00,0.001,0.001,0.001,0.11533333333333333,0.0,0.3333333333333333
2024-01-01 17:00:00,0.001,0.001,0.001,0.2377472526274438,0.0,0.6666666666666666
2024-01-01 17:15:00,0.001,0.001,0.001,0.0835521973529143,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.001,0.09968553068624764,0.0,0.6666666666666666
2024-01-01 17:45:00,0.001,0.001,0.001,0.20455219735291433,0.9333333333333333,0.0
2024-01-01 18:00:00,0.001,0.001,0.001,0.20455219735291433,1.6,0.3333333333333333
2024-01-01 18:15:00,0.001,0.001,0.001,0.25531043947058285,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.001,0.3650119043725257,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.001,1.9837092730589214,0.0,0.0
