,WasherDryer,TumbleDryer,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.082,0.0
2024-01-01 00:15:00,0.001,0.001,0.051,0.0
2024-01-01 00:30:00,0.001,0.001,0.051,0.0
2024-01-01 00:45:00,0.001,0.001,0.06133333333333333,0.0
2024-01-01 01:00:00,0.001,0.001,0.2946666666666667,0.0
2024-01-01 01:15:00,0.001,0.001,0.24433333333333335,0.0
2024-01-01 01:30:00,0.001,0.001,0.051,0.0
2024-01-01 01:45:00,0.001,0.001,0.051,0.0
2024-01-01 02:00:00,0.001,0.001,0.051,0.0
2024-01-01 02:15:00,0.001,0.001,0.206,0.0
2024-01-01 02:30:00,0.001,0.001,0.20400000000000001,0.0
2024-01-01 02:45:00,0.001,0.001,0.19033333333333333,0.0
2024-01-01 03:00:00,0.001,0.001,0.051,0.3333333333333333
2024-01-01 03:15:00,0.001,0.001,0.051,0.0
2024-01-01 03:30:00,0.001,0.001,0.19566666666666663,0.0
2024-01-01 03:45:00,0.001,0.001,0.11299999999999999,0.0
2024-01-01 04:00:00,0.001,0.001,0.165,0.3333333333333333
2024-01-01 04:15:00,0.001,0.001,0.17766666666666667,0.0
2024-01-01 04:30:00,0.001,0.001,0.051,0.0
2024-01-01 04:45:00,0.001,0.001,0.18533333333333332,0.0
2024-01-01 05:00:00,0.001,0.001,0.12333333333333332,0.0
2024-01-01 05:15:00,0.001,0.001,0.051,0.3333333333333333
2024-01-01 05:30:00,0.001,0.001,0.17766666666666667,0.0
2024-01-01 05:45:00,0.001,0.001,0.165,0.0
2024-01-01 06:00:00,0.001,0.001,0.175,0.0
2024-01-01 06:15:00,0.001,0.001,0.13366666666666666,0.3333333333333333
2024-01-01 06:30:00,0.001,0.001,0.051,0.0
2024-01-01 06:45:00,0.001,0.001,0.051,0.0
2024-01-01 07:00:00,0.001,0.001,0.19033333333333333,0.0
2024-01-01 07:15:00,0.001,0.001,0.26599999999999996,0.0
2024-01-01 07:30:00,0.001,0.001,0.144,0.3333333333333333
2024-01-01 07:45:00,0.001,0.001,0.051,0.0
2024-01-01 08:00:00,0.001,0.001,0.051,0.0
2024-01-01 08:15:00,0.001,0.001,0.051,0.0
2024-01-01 08:30:00,0.001,0.001,0.3063333333333334,0.3333333333333333
2024-01-01 08:45:00,0.001,0.001,0.243,0.0
2024-01-01 09:00:00,0.001,0.001,0.051,0.0
2024-01-01 09:15:00,0.001,0.001,0.051,0.0
2024-01-01 09:30:00,0.001,0.001,0.051,0.0
2024-01-01 09:45:00,0.001,0.001,0.144,0.3333333333333333
2024-01-01 10:00:00,0.001,0.001,0.32933333333333337,0.0
2024-01-01 10:15:00,0.001,0.001,0.127,0.0
2024-01-01 10:30:00,0.001,0.001,0.051,0.0
2024-01-01 10:45:00,0.001,0.001,0.051,0.3333333333333333
2024-01-01 11:00:00,0.001,0.001,0.13366666666666666,0.0
2024-01-01 11:15:00,0.001,0.001,0.175,0.0
2024-01-01 11:30:00,0.001,0.001,0.22833333333333333,0.0
2024-01-01 11:45:00,0.001,0.001,0.11433333333333333,0.0
2024-01-01 12:00:00,0.001,0.001,0.051,0.3333333333333333
2024-01-01 12:15:00,0.001,0.001,0.12333333333333332,0.0
2024-01-01 12:30:00,0.001,0.001,0.18533333333333332,0.0
2024-01-01 12:45:00,0.001,0.001,0.051,0.0
2024-01-01 13:00:00,0.001,0.001,0.241,0.3333333333333333
2024-01-01 13:15:00,0.001,0.001,0.10166666666666666,0.0
2024-01-01 13:30:00,0.001,0.001,0.11299999999999999,0.0
2024-01-01 13:45:00,0.001,0.001,0.19566666666666668,0.0
2024-01-01 14:00:00,0.001,0.001,0.051,0.0
2024-01-01 14:15:00,0.001,0.001,0.06366666666666666,0.3333333333333333
2024-01-01 14:30:00,0.001,0.001,0.241,0.0
2024-01-01 14:45:00,0.001,0.001,0.14066666666666666,0.0
2024-01-01 15:00:00,0.001,0.001,0.206,0.0
2024-01-01 15:15:00,0.001,0.001,0.051,0.3333333333333333
2024-01-01 15:30:00,0.001,0.001,0.051,0.0
2024-01-01 15:45:00,0.001,0.001,0.07633333333333334,0.0
2024-01-01 16:00:00,0.001,0.001,0.2823333333333334,0.0
2024-01-01 16:15:00,0.001,0.001,0.2313333333333333,1.0
2024-01-01 16:30:00,0.001,0.001,0.07158057672298371,0.0
2024-01-01 16:45:00,0.001,0.001,0.0832237423726735,0.0
2024-01-01 17:00:00,0.001,0.001,0.26235707570600686,1.6666666666666667
2024-01-01 17:15:00,0.31741391442306527,0.001,0.6548904090393403,0.3333333333333333
2024-01-01 17:30:00,0.7920347860576631,0.001,0.6171437423726736,0.0
2024-01-01 17:45:00,0.7920347860576631,0.001,0.23371932926542585,0.0
2024-01-01 18:00:00,0.7920347860576631,0.001,0.172,0.3333333333333333
2024-01-01 18:15:00,0.7920347860576631,0.001,0.18085491615817822,0.0
2024-01-01 18:30:00,0.7920347860576631,0.001,0.3254904090393402,0.0
2024-01-01 18:45:00,0.7920347860576631,0.001,0.6356147678040335,0.0
2024-01-01 19:00:00,0.7920347860576631,0.001,0.5573759397255877,2.6666666666666665
2024-01-01 19:15:00,0.7920347860576631,0.001,0.33637593972558777,0.6666666666666666
2024-01-01 19:30:00,0.7920347860576631,0.001,0.3347994407425646,0.3333333333333333
2024-01-01 19:45:00,0.7920347860576631,0.001,0.35624260639225447,0.0
2024-01-01 20:00:00,0.7920347860576631,0.001,0.44664260639225445,0.3333333333333333
2024-01-01 20:15:00,0.7920347860576631,0.001,0.3607321669216716,0.0
2024-01-01 20:30:00,0.7920347860576631,0.001,0.43009040903934015,0.0
2024-01-01 20:45:00,0.1064713048076884,0.001,0.3046932909464349,0.3333333333333333
2024-01-01 21:00:00,0.001,0.001,0.2509797761098517,0.6666666666666666
2024-01-01 21:15:00,0.001,0.001,0.4913759397255878,1.3333333333333333
2024-01-01 21:30:00,0.001,0.001,0.3880426063922544,5.0
2024-01-01 21:45:00,0.001,0.001,0.9454426063922544,0.3333333333333333
2024-01-01 22:00:00,0.001,0.001,0.40424260639225446,0.0
2024-01-01 22:15:00,0.001,0.001,0.23897186198562723,0.6666666666666666
2024-01-01 22:30:00,0.001,0.001,0.4692188640195809,0.0
2024-01-01 22:45:00,0.001,0.001,1.4526855306862478,0.0
2024-01-01 23:00:00,0.001,0.001,0.3245521973529143,0.3333333333333333
2024-01-01 23:15:00,0.001,0.001,0.4132188640195809,0.0
2024-01-01 23:30:00,0.001,0.001,0.40115421227449904,0.0
2024-01-01 23:45:00,0.001,0.001,0.20953333333333332,0.0
