,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.7920347860576631,0.0,0.001,0.3431666666666666,0.2
2024-01-01 00:15:00,0.7920347860576631,0.0,0.001,0.6914084245489981,0.0
2024-01-01 00:30:00,0.7920347860576631,0.0,0.001,0.33825219735291434,0.0
2024-01-01 00:45:00,0.7920347860576631,0.0,0.001,0.9726521973529143,0.4
2024-01-01 01:00:00,0.7920347860576631,0.0,0.001,0.6675855306862476,1.6
2024-01-01 01:15:00,0.7920347860576631,0.0,0.001,0.28058553068624764,0.2
2024-01-01 01:30:00,0.7920347860576631,0.0,0.001,0.21304523770585906,1.6
2024-01-01 01:45:00,0.31741391442306527,0.0,0.001,0.1857,0.8
2024-01-01 02:00:00,0.001,0.0,0.001,0.19696666666666665,0.4
2024-01-01 02:15:00,0.001,0.0,0.001,0.1987,1.6
2024-01-01 02:30:00,0.001,0.0,0.001,0.4393666666666666,0.4
2024-01-01 02:45:00,0.001,0.0,0.001,0.33985333333333334,0.8
2024-01-01 03:00:00,0.001,0.0,0.001,0.067,1.4
2024-01-01 03:15:00,0.001,0.0,0.001,0.05,0.4
2024-01-01 03:30:00,0.001,0.0,0.001,0.05,0.2
2024-01-01 03:45:00,0.001,0.0,0.001,0.05,0.2
2024-01-01 04:00:00,0.001,0.0,0.001,0.09005769209802668,0.2
2024-01-01 04:15:00,0.001,0.0,0.001,0.39821886401958095,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.2335521973529143,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.0815521973529143,0.2
2024-01-01 05:00:00,0.001,0.0,0.001,0.0815521973529143,0.2
2024-01-01 05:15:00,0.001,0.0,0.001,0.4708347982352762,0.4
2024-01-01 05:30:00,0.001,0.0,0.001,0.18326666666666666,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.18933333333333333,0.2
2024-01-01 06:00:00,0.001,0.0,0.001,0.30333333333333334,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.15133333333333335,0.6
2024-01-01 06:30:00,0.001,0.0,0.001,0.05,0.4
2024-01-01 06:45:00,0.001,0.0,0.001,0.06213333333333334,0.2
2024-01-01 07:00:00,0.001,0.0,0.001,0.063,0.2
2024-01-01 07:15:00,0.001,0.0,0.001,0.15633333333333332,0.2
2024-01-01 07:30:00,0.001,0.0,0.1481101721312174,1.3558,0.0
2024-01-01 07:45:00,0.001,0.0,0.4300445279238899,0.49426666666666663,0.4
2024-01-01 08:00:00,0.001,0.0,0.663232898700175,0.24480494472547049,0.0
2024-01-01 08:15:00,0.001,0.0,0.14419002230744984,0.2712855306862476,0.0
2024-01-01 08:30:00,0.001,0.0,0.29652354140320536,0.8811521973529144,1.6
2024-01-01 08:45:00,0.001,0.0,1.296082042536148,0.0815521973529143,3.0
2024-01-01 09:00:00,0.001,0.0,0.3347254971841325,0.17398406578430475,3.0
2024-01-01 09:15:00,0.001,0.0,0.10695473016285469,0.26566666666666666,3.0
2024-01-01 09:30:00,0.001,0.0,0.306670447376543,0.253,3.0
2024-01-01 09:45:00,0.001,0.0,0.8915701374107773,0.46279999999999993,3.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.063,3.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.05173333333333333,3.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.055200000000000006,3.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.24979232723147218,0.8
2024-01-01 11:00:00,0.001,0.0,0.001,0.7852237423726736,0.0
2024-01-01 11:15:00,0.001,0.0,0.001,0.30247707570600685,0.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.6965037423726735,0.2
2024-01-01 11:45:00,0.001,0.0,0.001,0.18352949694906942,0.2
2024-01-01 12:00:00,0.001,0.0,0.001,0.20082783858822095,0.2
2024-01-01 12:15:00,0.001,0.0,0.001,0.8372855306862477,0.2
2024-01-01 12:30:00,0.001,0.0,0.001,0.34221886401958096,0.0
2024-01-01 12:45:00,0.001,0.0,0.08198752458236763,0.3098855306862476,0.2
2024-01-01 13:00:00,0.001,0.0,0.22577821760524625,0.38428553068624766,0.0
2024-01-01 13:15:00,0.001,0.0,1.1005373010781025,2.3292816943019834,0.0
2024-01-01 13:30:00,0.001,0.0,0.1826653497677094,2.1529559397255875,0.4
2024-01-01 13:45:00,0.001,0.0,0.137110304242186,0.6166092730589212,0.2
2024-01-01 14:00:00,0.001,0.0,0.2502079141020956,0.6261292730589212,0.4
2024-01-01 14:15:00,0.001,0.0,0.6559089073405496,0.45174260639225444,0.6
2024-01-01 14:30:00,0.001,0.0,0.12951676761525008,0.5491346922680299,0.8
2024-01-01 14:45:00,0.001,0.0,0.2676745865142295,0.38925219735291433,0.0
2024-01-01 15:00:00,0.001,0.0,1.5054608076497178,0.3486521973529143,0.4
2024-01-01 15:15:00,0.001,0.0,0.5942696089072896,0.871318864019581,0.0
2024-01-01 15:30:00,0.001,0.0,0.061160328061810584,0.349718864019581,0.4
2024-01-01 15:45:00,0.001,0.0,0.001,0.3122750912156648,0.0
2024-01-01 16:00:00,0.001,0.0,0.001,0.3795,0.8
2024-01-01 16:15:00,0.001,0.0,0.001,1.0595487175293867,1.0
2024-01-01 16:30:00,0.001,0.0,0.001,0.3512521973529143,0.4
2024-01-01 16:45:00,0.001,0.0,0.001,0.3512521973529143,0.4
2024-01-01 17:00:00,0.4756208716345978,0.0,0.001,0.3512521973529143,0.4
2024-01-01 17:15:00,0.7920347860576631,0.0,0.001,1.6905855306862478,0.0
2024-01-01 17:30:00,0.7920347860576631,0.0,0.001,2.3308840657843044,0.2
2024-01-01 17:45:00,0.7920347860576631,0.0,0.001,1.2662994407425645,1.6
2024-01-01 18:00:00,0.7920347860576631,0.0,0.001,0.6222759397255878,0.0
2024-01-01 18:15:00,0.7920347860576631,0.0,0.001,0.49560927305892116,0.0
2024-01-01 18:30:00,0.7920347860576631,0.0,0.001,2.209609273058921,0.4
2024-01-01 18:45:00,0.7920347860576631,0.0,0.001,2.090262020431477,1.0
2024-01-01 19:00:00,0.7920347860576631,0.0,0.001,0.305217746440581,1.8
2024-01-01 19:15:00,0.7920347860576631,1.0503333333333333,0.001,0.32716751517658965,0.8
