,TumbleDryer,DishWasher,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.0,0.7133237423726736,1.0
2024-01-01 00:15:00,0.001,0.0,0.4781904090393401,0.6
2024-01-01 00:30:00,0.001,0.0,0.4148570757060069,0.4
2024-01-01 00:45:00,0.001,0.0,0.1925237423726735,0.2
2024-01-01 01:00:00,0.001,0.0,0.1877942454236041,0.2
2024-01-01 01:15:00,0.001,0.0,0.1807,0.2
2024-01-01 01:30:00,0.001,0.0,0.20603333333333335,0.6
2024-01-01 01:45:00,0.001,0.0,0.3707,1.6
2024-01-01 02:00:00,0.001,0.0,0.6311666666666667,0.4
2024-01-01 02:15:00,0.001,0.0,0.31396666666666667,0.0
2024-01-01 02:30:00,0.001,0.0,0.1807,0.2
2024-01-01 02:45:00,0.001,0.0,0.1807,0.2
2024-01-01 03:00:00,0.001,0.0,0.2567,0.0
2024-01-01 03:15:00,0.001,0.0,0.6372333333333332,0.4
2024-01-01 03:30:00,0.001,0.0,0.21445333333333333,0.4
2024-01-01 03:45:00,0.001,0.0,0.4448,0.0
2024-01-01 04:00:00,0.001,0.0,0.045,0.2
2024-01-01 04:15:00,0.001,0.0,0.045,1.8
2024-01-01 04:30:00,0.001,0.0,0.17166666666666666,0.0
2024-01-01 04:45:00,0.001,0.0,0.18433333333333332,0.4
2024-01-01 05:00:00,0.001,0.0,0.045,1.4
2024-01-01 05:15:00,0.001,0.0,0.045,1.0
2024-01-01 05:30:00,0.001,0.0,0.045,0.2
2024-01-01 05:45:00,0.001,0.0,0.045,0.0
2024-01-01 06:00:00,0.001,0.0,0.8886666666666667,0.0
2024-01-01 06:15:00,0.001,0.0,0.9332666666666667,2.0
2024-01-01 06:30:00,0.001,0.0,0.045,3.0
2024-01-01 06:45:00,0.001,0.0,0.045,3.0
2024-01-01 07:00:00,0.001,0.0,0.045,2.0
2024-01-01 07:15:00,0.001,0.0,0.08299999999999999,0.2
2024-01-01 07:30:00,0.001,0.0,0.235,0.0
2024-01-01 07:45:00,0.001,0.0,0.08299999999999999,0.2
2024-01-01 08:00:00,0.001,0.0,0.045,0.4
2024-01-01 08:15:00,0.001,0.0,0.045,0.0
2024-01-01 08:30:00,0.001,0.0,0.045,0.2
2024-01-01 08:45:00,0.001,0.0,0.13366666666666666,0.0
2024-01-01 09:00:00,0.001,0.0,0.22233333333333333,0.0
2024-01-01 09:15:00,0.001,0.0,0.045,0.2
2024-01-01 09:30:00,0.001,0.0,0.045,0.0
2024-01-01 09:45:00,0.001,0.0,0.5780666666666666,0.2
2024-01-01 10:00:00,0.001,0.0,0.045,0.2
2024-01-01 10:15:00,0.001,0.0,0.18433333333333332,0.2
2024-01-01 10:30:00,0.001,0.0,0.17166666666666666,0.2
2024-01-01 10:45:00,0.001,0.0,0.045,0.2
2024-01-01 11:00:00,0.001,0.0,0.045,0.2
2024-01-01 11:15:00,0.001,0.0,0.045,0.0
2024-01-01 11:30:00,0.001,0.0,0.045,0.2
2024-01-01 11:45:00,0.001,0.0,0.235,0.0
2024-01-01 12:00:00,0.001,0.0,0.121,0.2
2024-01-01 12:15:00,0.001,0.0,0.045,0.2
2024-01-01 12:30:00,0.001,0.0,0.045,0.4
2024-01-01 12:45:00,0.001,0.0,0.045,1.6
2024-01-01 13:00:00,0.001,0.0,0.09566666666666666,0.2
2024-01-01 13:15:00,0.001,0.0,0.235,0.0
2024-01-01 13:30:00,0.001,0.0,0.07033333333333333,0.4
2024-01-01 13:45:00,0.001,0.0,0.5780666666666666,0.2
2024-01-01 14:00:00,0.001,0.0,0.045,0.2
2024-01-01 14:15:00,0.001,0.0,0.045,0.0
2024-01-01 14:30:00,0.001,0.0,0.14633333333333332,0.4
2024-01-01 14:45:00,0.001,0.0,0.20966666666666667,0.0
2024-01-01 15:00:00,0.001,0.0,0.045,0.0
2024-01-01 15:15:00,0.001,0.0,0.045,0.2
2024-01-01 15:30:00,0.001,0.0,0.045,0.0
2024-01-01 15:45:00,0.001,0.0,0.045,0.0
2024-01-01 16:00:00,0.001,0.0,0.31799999999999995,0.4
2024-01-01 16:15:00,0.001,0.0,0.28,0.0
2024-01-01 16:30:00,0.001,0.0,0.166,0.2
2024-01-01 16:45:00,0.001,0.0,0.166,0.2
2024-01-01 17:00:00,0.001,0.0,0.0934,1.6
