,WasherDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.43486802560136334,0.0
2024-01-01 00:15:00,0.001,0.001,0.45925219735291434,0.0
2024-01-01 00:30:00,0.001,0.001,1.6073855306862477,0.0
2024-01-01 00:45:00,0.001,0.001,1.28689102543136,2.0
2024-01-01 01:00:00,0.001,0.001,0.5797000000000001,2.0
2024-01-01 01:15:00,0.001,0.001,0.4226021595478286,0.2
2024-01-01 01:30:00,0.001,0.001,0.2943237423726735,0.0
2024-01-01 01:45:00,0.001,0.001,0.16353040903934019,0.4
2024-01-01 02:00:00,0.001,0.001,0.25891391005631703,2.0
2024-01-01 02:15:00,0.001,0.001,0.3486666666666666,0.2
2024-01-01 02:30:00,0.001,0.001,0.20199999999999999,0.2
2024-01-01 02:45:00,0.001,0.001,0.05,1.6
2024-01-01 03:00:00,0.001,0.001,0.16146666666666668,0.2
2024-01-01 03:15:00,0.001,0.001,0.3063333333333334,0.8
2024-01-01 03:30:00,0.001,0.001,0.3576666666666667,0.8
2024-01-01 03:45:00,0.001,0.001,0.323,0.0
2024-01-01 04:00:00,0.001,0.001,0.2642,0.2
2024-01-01 04:15:00,0.001,0.001,0.05,0.0
2024-01-01 04:30:00,0.001,0.001,0.16,0.2
2024-01-01 04:45:00,0.001,0.001,0.23866666666666667,0.0
2024-01-01 05:00:00,0.001,0.001,0.08800000000000001,0.0
2024-01-01 05:15:00,0.001,0.001,0.164,0.2
2024-01-01 05:30:00,0.001,0.001,0.23999999999999996,0.0
2024-01-01 05:45:00,0.001,0.001,0.18333333333333332,0.0
2024-01-01 06:00:00,0.001,0.001,0.19,0.2
2024-01-01 06:15:00,0.001,0.001,0.15133333333333335,0.0
2024-01-01 06:30:00,0.001,0.001,0.05,0.2
2024-01-01 06:45:00,0.001,0.001,0.126,0.0
2024-01-01 07:00:00,0.001,0.001,0.32066666666666666,0.0
2024-01-01 07:15:00,0.001,0.001,0.21733333333333332,0.2
2024-01-01 07:30:00,0.001,0.001,0.21466666666666664,0.0
2024-01-01 07:45:00,0.001,0.001,0.059533333333333334,0.2
2024-01-01 08:00:00,0.001,0.001,0.063,0.0
2024-01-01 08:15:00,0.001,0.001,0.16699999999999998,0.2
2024-01-01 08:30:00,0.001,0.001,0.33366666666666667,0.0
2024-01-01 08:45:00,0.001,0.001,0.32466666666666666,0.2
2024-01-01 09:00:00,0.001,0.001,0.08800000000000001,0.0
2024-01-01 09:15:00,0.001,0.001,0.05,0.2
2024-01-01 09:30:00,0.001,0.001,0.10133333333333333,2.2
2024-01-01 09:45:00,0.001,0.001,0.14533333333333334,0.2
2024-01-01 10:00:00,0.001,0.001,0.32866666666666666,0.2
2024-01-01 10:15:00,0.001,0.001,0.30333333333333334,0.2
2024-01-01 10:30:00,0.001,0.001,0.19676429518434563,0.4
2024-01-01 10:45:00,0.001,0.001,0.25104260639225445,0.2
2024-01-01 11:00:00,0.1592069572115326,0.001,0.3334226063922544,1.0
2024-01-01 11:15:00,0.7920347860576631,0.001,0.7752092730589212,0.6
2024-01-01 11:30:00,0.7920347860576631,0.001,0.6667426063922545,0.2
2024-01-01 11:45:00,0.7920347860576631,0.001,0.6388953630026041,0.0
2024-01-01 12:00:00,0.7920347860576631,0.001,0.5057855306862477,0.2
2024-01-01 12:15:00,0.7920347860576631,0.001,0.7270521973529144,0.2
2024-01-01 12:30:00,0.7920347860576631,0.001,0.23191886401958098,1.6
2024-01-01 12:45:00,0.7920347860576631,0.11920751533575101,0.3692521973529143,0.4
2024-01-01 13:00:00,0.7920347860576631,0.3770993350918567,1.1541278385882208,0.0
2024-01-01 13:15:00,0.7920347860576631,0.7261964883268495,0.5163,0.6
2024-01-01 13:30:00,0.7920347860576631,0.13009393002600678,0.3337,0.0
2024-01-01 13:45:00,0.7920347860576631,0.20773299504554338,0.2150333333333333,1.4
2024-01-01 14:00:00,0.7920347860576631,1.216813004506753,0.27830791412422445,0.2
2024-01-01 14:15:00,0.7920347860576631,0.5173311925843554,0.29885707570600684,1.0
2024-01-01 14:30:00,0.6338278288461304,0.11589228021551379,0.31359040903934016,0.2
2024-01-01 14:45:00,0.001,0.2885587116668161,0.6241904090393402,0.2
2024-01-01 15:00:00,0.001,0.9191785643369471,0.4515237423726735,0.2
2024-01-01 15:15:00,0.001,0.001,0.352915828248449,1.6
2024-01-01 15:30:00,0.001,0.001,0.48436666666666667,0.0
2024-01-01 15:45:00,0.001,0.001,0.23802,0.0
2024-01-01 16:00:00,0.001,0.001,0.17600000000000002,0.2
2024-01-01 16:15:00,0.001,0.001,0.29866666666666664,0.0
2024-01-01 16:30:00,0.001,0.001,0.164,0.0
2024-01-01 16:45:00,0.001,0.001,0.20199999999999999,0.6
2024-01-01 17:00:00,0.001,0.001,0.08800000000000001,0.0
2024-01-01 17:15:00,0.001,0.001,0.12333333333333334,0.6
2024-01-01 17:30:00,0.001,0.001,0.12333333333333334,0.0
2024-01-01 17:45:00,0.001,0.001,0.23999999999999996,0.2
2024-01-01 18:00:00,0.001,0.001,0.29066666666666663,0.0
2024-01-01 18:15:00,0.001,0.001,0.15133333333333335,0.2
2024-01-01 18:30:00,0.001,0.001,0.10866666666666668,0.0
2024-01-01 18:45:00,0.001,0.001,0.13799999999999998,0.0
2024-01-01 19:00:00,0.001,0.001,0.05,0.2
2024-01-01 19:15:00,0.001,0.001,0.22733333333333333,0.0
2024-01-01 19:30:00,0.001,0.001,0.4046666666666667,0.0
2024-01-01 19:45:00,0.001,0.001,0.09400000000000001,0.2
2024-01-01 20:00:00,0.001,0.001,0.15266666666666667,0.0
2024-01-01 20:15:00,0.001,0.001,0.05,0.2
2024-01-01 20:30:00,0.001,0.001,0.05,0.0
2024-01-01 20:45:00,0.001,0.001,0.316,0.0
2024-01-01 21:00:00,0.001,0.001,0.3073333333333333,0.2
2024-01-01 21:15:00,0.001,0.001,0.19799999999999998,0.0
2024-01-01 21:30:00,0.001,0.001,0.05733333333333334,0.0
2024-01-01 21:45:00,0.001,0.001,0.05,0.2
2024-01-01 22:00:00,0.001,0.001,0.13866666666666666,0.0
2024-01-01 22:15:00,0.001,0.001,0.242,0.2
2024-01-01 22:30:00,0.001,0.001,0.35,0.0
2024-01-01 22:45:00,0.001,0.001,0.148,0.0
2024-01-01 23:00:00,0.001,0.001,0.05,0.2
2024-01-01 23:15:00,0.001,0.001,0.07533333333333332,0.0
2024-01-01 23:30:00,0.001,0.001,0.21466666666666664,0.0
2024-01-01 23:45:00,0.001,0.001,0.19799999999999998,0.2
