,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,P_use_WB,P_loss_WB,T_set_WB
2024-01-01 00:00:00,2.0,20.5,0.498159045053393,20.5,16.25,12.0,60.0,1.7971893333333335,0.07473687028782017,60.0
2024-01-01 00:15:00,2.0,20.5,0.5253928632427919,20.451412250859967,16.277306441978634,12.0,58.6326641384866,1.5404480000000003,0.07311239882012091,60.0
2024-01-01 00:30:00,2.0,20.5,0.5169383240165736,20.40361040194324,16.303739329469057,12.0,59.04809132561261,0.12837066666666666,0.07409585844063962,60.0
2024-01-01 00:45:00,2.0,20.5,0.5086661611538273,20.356577488278024,16.329318797028,12.0,59.04543978166067,0.2567413333333333,0.07413375927109936,60.0
2024-01-01 01:00:00,2.0,20.5,0.5005723028030892,20.310296923689958,16.354064526812444,12.0,59.119749882778706,0.7702240000000001,0.07393857658692074,60.0
2024-01-01 01:15:00,2.0,20.5,0.49265276832913535,20.264752492316333,16.377995758720324,12.0,59.07227458544447,0.6418533333333334,0.07408556467065694,60.0
2024-01-01 01:30:00,2.0,20.5,0.48490366626893683,20.219928340310542,16.40113130030385,12.0,59.16264127416449,0.12837066666666666,0.07430635497096016,60.0
2024-01-01 01:45:00,2.0,20.5,0.47732119233341197,20.17580896773235,16.423489536460764,12.0,59.15976344392814,0.12837066666666666,0.07424714286945742,60.0
2024-01-01 02:00:00,2.0,20.5,0.47800945867035705,20.13237922061994,16.44508843890839,11.0,59.15694926740818,0.2567413333333333,0.07421285200953263,60.0
2024-01-01 02:15:00,2.0,20.5,0.47163005105358696,20.088832103944664,16.46220595805687,11.0,59.01617195397223,0.7702240000000001,0.07383766908166753,60.0
2024-01-01 02:30:00,2.0,20.5,0.4648297381700696,20.045916912940736,16.47864282868063,11.0,59.18380752232686,0.0,0.0742930450341164,60.0
2024-01-01 02:45:00,2.0,20.5,0.5052229004966614,20.003620220709497,16.49441493801852,11.0,59.10394161151618,0.0,0.07413347337903546,60.0
2024-01-01 03:00:00,2.0,20.5,0.5783979840202041,21.04984790978453,16.514378621619777,11.0,59.024247242140724,0.0,0.07423209945568178,60.0
2024-01-01 03:15:00,2.0,20.5,0.569482242000046,20.997221086548244,16.539858470304814,11.0,59.159449237470255,0.385112,0.07415929159458028,60.0
2024-01-01 03:30:00,2.0,20.5,0.5607576604364389,20.94540515183428,16.564449106140884,11.0,59.095731891035555,0.385112,0.07407301609424863,60.0
2024-01-01 03:45:00,2.0,20.5,0.5522199739417928,20.894382720585163,16.5881711354006,11.0,59.032107291794254,1.668818666666667,0.07311176740172994,60.0
2024-01-01 04:00:00,2.0,20.5,0.5438650126747585,20.84413679565616,16.611044701127913,11.0,59.09453276878714,0.2567413333333333,0.07421132667540559,60.0
2024-01-01 04:15:00,1.0,20.866666666666667,0.5356887001991545,20.794650759125844,16.633089493522014,11.0,59.16875948401903,0.12837066666666666,0.07424457913548546,60.0
2024-01-01 04:30:00,1.0,21.0,0.5276870513908815,20.74590836380148,16.65432476008851,11.0,59.16594806354371,0.0,0.07425736193267864,60.0
