,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.0,0.001,0.21733333333333332,0.0
2024-01-01 00:15:00,0.0,0.001,0.048,0.0
2024-01-01 00:30:00,0.0,0.001,0.048,0.0
2024-01-01 00:45:00,0.0,0.001,0.048,0.0
2024-01-01 01:00:00,0.0,0.001,0.09866666666666667,0.0
2024-01-01 01:15:00,0.0,0.001,0.32599999999999996,0.0
2024-01-01 01:30:00,0.0,0.001,0.18266666666666664,0.0
2024-01-01 01:45:00,0.0,0.001,0.048,0.0
2024-01-01 02:00:00,0.0,0.001,0.048,0.0
2024-01-01 02:15:00,0.0,0.001,0.048,0.0
2024-01-01 02:30:00,0.0,0.001,0.11133333333333333,0.0
2024-01-01 02:45:00,0.0,0.001,0.348,0.0
2024-01-01 03:00:00,0.0,0.001,0.148,0.0
2024-01-01 03:15:00,0.0,0.001,0.048,0.0
2024-01-01 03:30:00,0.0,0.001,0.048,0.0
2024-01-01 03:45:00,0.0,0.001,0.048,0.0
2024-01-01 04:00:00,0.0,0.001,0.146,0.0
2024-01-01 04:15:00,0.0,0.001,0.348,0.0
2024-01-01 04:30:00,0.0,0.001,0.11333333333333333,0.0
2024-01-01 04:45:00,0.0,0.001,0.048,0.0
2024-01-01 05:00:00,0.0,0.001,0.048,0.0
2024-01-01 05:15:00,0.0,0.001,0.048,0.0
2024-01-01 05:30:00,0.0,0.001,0.18066666666666667,0.0
2024-01-01 05:45:00,0.0,0.001,0.3406666666666666,0.0
2024-01-01 06:00:00,0.0,0.001,0.08600000000000001,0.0
2024-01-01 06:15:00,0.0,0.001,0.048,2.0
2024-01-01 06:30:00,0.0,0.001,0.048,15.0
2024-01-01 06:45:00,0.0,0.001,0.048,12.0
2024-01-01 07:00:00,0.0,0.001,0.21533333333333332,0.0
2024-01-01 07:15:00,0.0,0.001,0.3186666666666666,0.0
2024-01-01 07:30:00,0.0,0.001,0.07333333333333333,0.0
2024-01-01 07:45:00,0.0,0.001,0.048,0.0
2024-01-01 08:00:00,0.0,0.001,0.048,0.0
2024-01-01 08:15:00,0.0,0.001,0.048,0.0
2024-01-01 08:30:00,0.0,0.001,0.25,0.0
2024-01-01 08:45:00,0.0,0.001,0.29666666666666663,0.0
2024-01-01 09:00:00,0.0,0.001,0.06066666666666667,0.0
2024-01-01 09:15:00,0.0,0.001,0.048,0.0
2024-01-01 09:30:00,0.0,0.001,0.048,0.0
2024-01-01 09:45:00,0.0,0.001,0.048,0.0
2024-01-01 10:00:00,0.0,0.001,0.2846666666666666,0.0
2024-01-01 10:15:00,0.0,0.001,0.27466666666666667,0.0
2024-01-01 10:30:00,0.0,0.001,0.048,0.0
2024-01-01 10:45:00,0.0,0.001,0.048,0.0
2024-01-01 11:00:00,0.0,0.001,0.048,0.0
2024-01-01 11:15:00,0.0,0.001,0.07,0.0
2024-01-01 11:30:00,0.0,0.001,0.29733333333333334,2.0
2024-01-01 11:45:00,0.0,0.001,0.23999999999999996,3.0
2024-01-01 12:00:00,0.0,0.001,0.048,0.0
2024-01-01 12:15:00,0.0,0.001,0.048,0.0
2024-01-01 12:30:00,0.0,0.001,0.048,0.0
2024-01-01 12:45:00,0.0,0.001,0.09200000000000001,0.0
2024-01-01 13:00:00,0.0,0.001,0.3026666666666667,0.0
2024-01-01 13:15:00,0.0,0.001,0.21266666666666667,0.0
2024-01-01 13:30:00,0.0,0.001,0.048,0.0
2024-01-01 13:45:00,0.0,0.001,0.048,0.0
2024-01-01 14:00:00,0.0,0.001,0.048,0.0
2024-01-01 14:15:00,0.0,0.001,0.114,0.0
2024-01-01 14:30:00,0.0,0.001,0.2933333333333333,0.0
2024-01-01 14:45:00,0.0,0.001,0.2,9.0
2024-01-01 15:00:00,0.0,0.001,0.048,0.0
2024-01-01 15:15:00,0.0,0.001,0.048,0.0
2024-01-01 15:30:00,0.0,0.001,0.048,0.0
2024-01-01 15:45:00,0.0,0.001,0.136,0.0
2024-01-01 16:00:00,0.0,0.001,0.284,0.0
2024-01-01 16:15:00,0.0,0.001,0.18733333333333332,0.0
