,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.001,0.11233333333333334
2024-01-01 00:15:00,0.001,0.0,0.001,0.21133333333333332
2024-01-01 00:30:00,0.001,0.0,0.001,0.204
2024-01-01 00:45:00,0.001,0.0,0.001,0.142
2024-01-01 01:00:00,0.001,0.0,0.001,0.09072566056480547
2024-01-01 01:15:00,0.001,0.0,0.001,0.2704904090393402
2024-01-01 01:30:00,0.001,0.0,0.001,0.30849040903934016
2024-01-01 01:45:00,0.001,0.0,0.001,0.1818237423726735
2024-01-01 02:00:00,0.001,0.0,0.001,0.28918441310724763
2024-01-01 02:15:00,0.001,0.0,0.001,0.2743333333333334
2024-01-01 02:30:00,0.001,0.0,0.001,0.16299999999999998
2024-01-01 02:45:00,0.001,0.0,0.001,0.15033333333333332
2024-01-01 03:00:00,0.001,0.0,0.001,0.049
2024-01-01 03:15:00,0.001,0.0,0.001,0.049
2024-01-01 03:30:00,0.001,0.0,0.001,0.24426666666666666
2024-01-01 03:45:00,0.001,0.0,0.001,0.6098666666666667
2024-01-01 04:00:00,0.001,0.0,0.001,0.16633333333333333
2024-01-01 04:15:00,0.001,0.0,0.001,0.44880000000000003
2024-01-01 04:30:00,0.001,0.0,0.001,0.049
2024-01-01 04:45:00,0.001,0.0,0.001,0.049
2024-01-01 05:00:00,0.001,0.0,0.001,0.224
2024-01-01 05:15:00,0.001,0.0,0.001,0.25466666666666665
2024-01-01 05:30:00,0.001,0.0,0.001,0.142
2024-01-01 05:45:00,0.001,0.0,0.001,0.049
2024-01-01 06:00:00,0.001,0.0,0.001,0.3155333333333334
2024-01-01 06:15:00,0.001,0.0,0.001,0.5055333333333334
2024-01-01 06:30:00,0.001,0.0,0.001,0.07433333333333333
2024-01-01 06:45:00,0.001,0.0,0.001,0.16266666666666665
2024-01-01 07:00:00,0.001,0.0,0.001,0.19713333333333333
2024-01-01 07:15:00,0.001,0.0,0.001,0.08733333333333333
2024-01-01 07:30:00,0.001,0.0,0.001,0.252
2024-01-01 07:45:00,0.001,0.001,0.001,0.5950666666666666
2024-01-01 08:00:00,0.001,1.2004666666666668,0.001,0.14086666666666667
2024-01-01 08:15:00,0.001,0.001,0.001,0.215
2024-01-01 08:30:00,0.001,0.001,0.001,0.35866666666666663
2024-01-01 08:45:00,0.001,0.00013333333333333334,0.001,0.2922666666666667
2024-01-01 09:00:00,0.001,0.0,0.001,0.06199999999999999
2024-01-01 09:15:00,0.001,0.0,0.001,0.06199999999999999
2024-01-01 09:30:00,0.001,0.0,0.001,0.057666666666666665
2024-01-01 09:45:00,0.001,0.0,0.001,0.13533333333333333
2024-01-01 10:00:00,0.001,0.0,0.001,0.3433333333333334
2024-01-01 10:15:00,0.001,0.0,0.001,0.142
2024-01-01 10:30:00,0.001,0.0,0.001,0.049
2024-01-01 10:45:00,0.001,0.0,0.001,0.049
2024-01-01 11:00:00,0.001,0.0,0.001,0.15033333333333332
2024-01-01 11:15:00,0.001,0.0,0.001,0.16299999999999998
2024-01-01 11:30:00,0.001,0.0,0.001,0.16266666666666665
2024-01-01 11:45:00,0.001,0.0,0.001,0.19366666666666665
2024-01-01 12:00:00,0.001,0.0,0.001,0.049
2024-01-01 12:15:00,0.001,0.0,0.001,0.17566666666666667
2024-01-01 12:30:00,0.001,0.0,0.001,0.13766666666666666
2024-01-01 12:45:00,0.001,0.0,0.001,0.049
2024-01-01 13:00:00,0.001,0.0,0.001,0.111
2024-01-01 13:15:00,0.001,0.0,0.001,0.204
2024-01-01 13:30:00,0.001,0.0,0.001,0.24233333333333332
2024-01-01 13:45:00,0.001,0.0,0.001,0.11233333333333334
2024-01-01 14:00:00,0.001,0.0,0.001,0.049
