,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB,SoC_ref_EV,SoC_arr_EV,EV_plugged,EV_arrival,EV_departure
2024-01-01 00:00:00,2.0,15.5,1.6739255155785904,15.481318991307194,13.76052195326385,12.0,59.917958367980944,60.0,0.012837066666666666,0.1895897918399047,0.0,0.0,0,0,0
2024-01-01 00:15:00,2.0,15.5,1.6739255155785904,15.442154096606329,13.782068076641082,12.0,59.750100339983796,60.0,0.0,0.18875050169991903,0.0,0.0,0,0,0
2024-01-01 00:30:00,2.0,15.5,1.6739255155785904,15.404287581135154,13.802116975147166,12.0,59.577813618859594,60.0,0.012837066666666666,0.18788906809429798,0.0,0.0,0,0,0
2024-01-01 00:45:00,2.0,15.5,1.6739255155785904,15.367660160927182,13.820742042459859,12.0,59.41581802442253,60.0,0.0,0.18707909012211268,0.0,0.0,0,0,0
2024-01-01 01:00:00,2.0,15.5,1.6739255155785904,15.332215363267618,13.8380131684546,12.0,59.25451467433094,60.0,0.02567413333333333,0.1862725733716547,0.0,0.0,0,0,0
2024-01-01 01:15:00,2.0,15.5,1.6739255155785904,15.297899392896756,13.853996906067293,12.0,59.073339798914304,60.0,0.0,0.18536669899457153,0.0,0.0,0,0,0
2024-01-01 01:30:00,2.0,15.5,1.6739255155785904,15.264661004583344,13.868756630212296,12.0,59.59176985220726,60.0,0.02567413333333333,0.18795884926103631,0.0,0.0,0,0,0
2024-01-01 01:45:00,2.0,15.5,1.6739255155785904,15.232451381764719,13.882352689133976,12.0,60.67497170280706,60.0,0.038511199999999995,0.19337485851403532,0.0,0.0,0,0,0
2024-01-01 02:00:00,2.0,15.5,1.6739255155785904,15.200772597383141,13.89071018923405,11.0,60.93506003996429,60.0,0.0,0.19467530019982146,0.0,0.0,0,0,0
2024-01-01 02:15:00,2.0,15.5,1.6739255155785904,15.169410531318261,13.893453904126313,11.0,60.76797296967244,60.0,0.0,0.19383986484836221,0.0,0.0,0,0,0
2024-01-01 02:30:00,2.0,15.5,1.6739255155785904,15.138787189010733,13.895438986724008,11.0,60.601602941784776,60.0,0.0,0.19300801470892387,0.0,0.0,0,0,0
2024-01-01 02:45:00,2.0,15.5,1.6739255155785904,15.108870774163911,13.896704366014236,11.0,60.43521087916429,60.0,0.02567413333333333,0.19217605439582147,0.0,0.0,0,0,0
2024-01-01 03:00:00,2.0,15.5,1.6739255155785904,15.07963098924362,13.897287104955627,11.0,60.19606060093119,60.0,0.07702239999999999,0.19098030300465593,0.0,0.0,0,0,0
2024-01-01 03:15:00,2.0,15.5,1.6739255155785904,15.051038964187683,13.897222489378606,11.0,60.01894618096468,60.0,0.0,0.19009473090482343,0.0,0.0,0,0,0
2024-01-01 03:30:00,2.0,15.5,1.6739255155785904,15.023067188509394,13.89654411265273,11.0,59.855790548831564,60.0,0.0,0.1892789527441578,0.0,0.0,0,0,0
2024-01-01 03:45:00,2.0,15.5,1.6739255155785904,15.281181111611295,13.89640181132907,11.0,59.69333508761243,60.0,0.0,0.18846667543806214,0.0,0.0,0,0,0
2024-01-01 04:00:00,1.0,16.7,1.6739255155785904,16.01573806212053,13.91012921246531,11.0,59.53157679257309,60.0,0.0,0.18765788396286545,0.0,0.0,0,0,0
2024-01-01 04:15:00,2.0,16.7,1.6739255155785904,16.408839155304335,13.933873393284353,11.0,59.370512671873946,60.0,0.0,0.18685256335936973,0.0,0.0,0,0,0
2024-01-01 04:30:00,2.0,15.5,1.6739255155785904,16.46484503803829,13.963217311921708,11.0,59.21013974651466,60.0,0.0,0.18605069873257335,0.0,0.0,0,0,0
2024-01-01 04:45:00,2.0,15.5,1.6739255155785904,16.407506107632727,13.990982267334344,11.0,59.06765359780023,60.0,0.0,0.18533826798900113,0.0,0.0,0,0,0
2024-01-01 05:00:00,2.0,15.5,1.6739255155785904,16.35153823434334,14.012537554387023,10.0,59.75012709841561,60.0,0.0,0.18875063549207802,0.7245277777777777,0.7071111111111111,1,1,0
2024-01-01 05:15:00,1.0,21.1,1.6739255155785904,16.8728891890481,14.030934371873961,10.0,60.78958588259411,60.0,0.0,0.19394792941297057,0.7999999999999993,0.0,1,0,0
2024-01-01 05:30:00,2.0,20.7,1.6739255155785904,18.212908485268773,14.07103146217823,10.0,60.88028903125278,60.0,0.0,0.19440144515626387,0.7999999999999993,0.0,1,0,0
2024-01-01 05:45:00,1.0,17.9,1.6739255155785904,18.78531012940295,14.132925671452742,10.0,60.71343700689055,60.0,0.0,0.19356718503445275,0.7999999999999993,0.0,1,0,1
2024-01-01 06:00:00,1.0,21.5,1.6739255155785904,19.816591712495242,14.206549361943262,10.0,60.54730101624946,60.0,0.0,0.19273650508124732,0.0,0.0,0,0,0
2024-01-01 06:15:00,2.0,19.5,1.6739255155785904,21.045268459507145,14.304743952621951,10.0,60.38187798652119,60.0,0.0,0.19190938993260595,0.0,0.0,0,0,0
2024-01-01 06:30:00,2.0,15.5,1.6739255155785904,21.239134999148323,14.417539184564196,10.0,60.21716485808414,60.0,0.0,0.19108582429042067,0.0,0.0,0,0,0
2024-01-01 06:45:00,1.0,19.9,1.6739255155785904,21.086430487107926,14.52552047129353,10.0,60.05315858444685,60.0,0.0,0.19026579292223425,0.0,0.0,0,0,0
2024-01-01 07:00:00,1.0,21.5,1.6739255155785904,21.509122391179222,14.630315503417389,10.0,59.889856132191724,60.0,0.0,0.18944928066095862,0.0,0.0,0,0,0
2024-01-01 07:15:00,1.0,21.5,1.6739255155785904,21.91988734397625,14.745906223397364,10.0,59.72725448091881,60.0,0.0,0.18863627240459407,0.0,0.0,0,0,0
2024-01-01 07:30:00,3.0,21.5,1.6739255155785904,21.75920684037372,14.85858313618665,10.0,59.56535062319002,60.0,0.0,0.18782675311595012,0.0,0.0,0,0,0
2024-01-01 07:45:00,3.0,21.5,1.6739255155785904,21.6043568061694,14.964380645218048,10.0,59.404141564473456,60.0,0.0,0.1870207078223673,0.0,0.0,0,0,0
2024-01-01 08:00:00,3.0,21.5,1.6739255155785904,21.455603706943943,15.063636467442258,10.0,59.24362432308806,60.0,0.0,0.1862181216154403,0.0,0.0,0,0,0
2024-01-01 08:15:00,1.0,21.5,1.6739255155785904,21.312751386956464,15.15668532532703,10.0,59.08379593014843,60.0,0.0,0.18541897965074217,0.0,0.0,0,0,0
2024-01-01 08:30:00,3.0,21.5,1.6739255155785904,21.17493480344418,15.243834319784373,10.0,59.52591292681623,60.0,0.0,0.18762956463408115,0.0,0.0,0,0,0
2024-01-01 08:45:00,3.0,21.5,1.6739255155785904,21.061020428987128,15.325380299350098,10.0,60.61966853527675,60.0,0.02567413333333333,0.19309834267638376,0.0,0.0,0,0,0
2024-01-01 09:00:00,1.0,21.5,1.6739255155785904,21.766480307286937,15.408923933936082,10.0,60.8932162778161,60.0,0.0,0.19446608138908053,0.0,0.0,0,0,0
2024-01-01 09:15:00,1.0,21.5,1.6739255155785904,21.907081945889647,15.50289178994239,10.0,60.72630877708495,60.0,0.0,0.19363154388542478,0.0,0.0,0,0,0
2024-01-01 09:30:00,1.0,21.5,1.6739255155785904,21.764689655605352,15.592345802440265,10.0,60.551286814081934,60.0,0.07702239999999999,0.19275643407040968,0.0,0.0,0,0,0
2024-01-01 09:45:00,1.0,21.5,1.6739255155785904,21.62724853214786,15.67601894401773,10.0,60.32857017174569,60.0,0.0,0.19164285085872843,0.0,0.0,0,0,0
2024-01-01 10:00:00,1.0,21.5,1.6739255155785904,21.49727136942604,15.758340152231742,11.0,60.16408581004445,60.0,0.0,0.19082042905022226,0.0,0.0,0,0,0
2024-01-01 10:15:00,1.0,21.5,1.6739255155785904,21.374969657146675,15.840077815427632,11.0,60.00030732140665,60.0,0.0,0.19000153660703326,0.0,0.0,0,0,0
2024-01-01 10:30:00,1.0,21.5,1.6739255155785904,21.257022281348878,15.916701406407377,11.0,59.837231676627695,60.0,0.0,0.1891861583831385,0.0,0.0,0,0,0
2024-01-01 10:45:00,1.0,21.5,1.6739255155785904,21.14322849664459,15.988459881639866,11.0,59.67485585950264,60.0,0.0,0.18837427929751321,0.0,0.0,0,0,0
2024-01-01 11:00:00,1.0,21.5,1.6739255155785904,21.042423163137965,16.05973668406376,12.0,59.51317686677036,60.0,0.0,0.1875658843338518,0.7245277777777777,0.7071111111111111,1,1,0
2024-01-01 11:15:00,1.0,21.5,1.6739255155785904,21.725644814273668,16.137456743016703,12.0,59.352191708057994,60.0,0.0,0.18676095854028998,0.7999999999999993,0.0,1,0,0
2024-01-01 11:30:00,1.0,21.5,1.6739255155785904,21.956642717224142,16.2270326663666,12.0,59.19189740582568,60.0,0.0,0.1859594870291284,0.7999999999999993,0.0,1,0,0
2024-01-01 11:45:00,1.0,21.5,1.6739255155785904,21.83978069094579,16.313298850744708,12.0,59.16282825527965,60.0,0.16688186666666666,0.18581414127639823,0.7999999999999993,0.0,1,0,0
2024-01-01 12:00:00,1.0,21.5,1.6739255155785904,21.726333242867515,16.394424873589312,12.0,60.10329380621718,60.0,0.0,0.19051646903108593,0.7999999999999993,0.0,1,0,0
2024-01-01 12:15:00,1.0,21.5,1.6739255155785904,21.615996380977496,16.47063184403183,12.0,60.94734929124168,60.0,0.038511199999999995,0.19473674645620836,0.7999999999999993,0.0,1,0,1
2024-01-01 12:30:00,1.0,21.5,1.6739255155785904,21.50963901580612,16.542150231574105,12.0,60.85489512708183,60.0,0.0,0.19427447563540917,0.0,0.0,0,0,0
2024-01-01 12:45:00,1.0,21.5,1.6739255155785904,21.407077376982215,16.609208009097962,12.0,60.67344620661125,60.0,0.038511199999999995,0.19336723103305625,0.0,0.0,0,0,0
2024-01-01 13:00:00,1.0,18.7,1.6739255155785904,21.308471936089642,16.672024404787695,12.0,60.39284036255433,60.0,0.1797189333333333,0.19196420181277166,0.0,0.0,0,0,0
2024-01-01 13:15:00,1.0,21.5,1.6739255155785904,21.213693836353524,16.730816398710314,12.0,60.1627731684267,60.0,0.012837066666666666,0.1908138658421335,0.0,0.0,0,0,0
2024-01-01 13:30:00,1.0,21.5,1.6739255155785904,21.122195743903298,16.785783322605347,12.0,59.98357634098662,60.0,0.02567413333333333,0.18991788170493312,0.0,0.0,0,0,0
2024-01-01 13:45:00,3.0,21.5,1.6739255155785904,21.04019625742284,16.837111882658665,12.0,59.81029335974169,60.0,0.0,0.18905146679870846,0.0,0.0,0,0,0
2024-01-01 14:00:00,3.0,21.5,1.6739255155785904,21.73587800694903,16.891166061145384,12.0,59.64803314650792,60.0,0.0,0.1882401657325396,0.0,0.0,0,0,0
2024-01-01 14:15:00,2.0,16.7,1.6739255155785904,21.975765481057966,16.958024129401654,12.0,59.486469261560934,60.0,0.0,0.18743234630780464,0.7883888888888885,0.7361388888888889,1,1,0
2024-01-01 14:30:00,1.0,21.1,1.6739255155785904,21.86712852580356,17.022453268540332,12.0,59.30208444380013,60.0,0.038511199999999995,0.1865104222190007,0.7999999999999995,0.0,1,0,0
2024-01-01 14:45:00,1.0,21.5,1.6739255155785904,21.762189801374348,17.082587831112736,12.0,59.13246582527161,60.0,0.0,0.18566232912635802,0.7999999999999995,0.0,1,0,0
2024-01-01 15:00:00,1.0,21.5,1.6739255155785904,21.658338465565905,17.13862227373057,12.0,59.21989052872268,60.0,0.02567413333333333,0.1860994526436134,0.7999999999999995,0.0,1,0,0
