,BaseLoad
2024-01-01 00:00:00,0.16299999999999998
2024-01-01 00:15:00,0.049
2024-01-01 00:30:00,0.12966666666666668
2024-01-01 00:45:00,0.17
2024-01-01 01:00:00,0.25866666666666666
2024-01-01 01:15:00,0.322
2024-01-01 01:30:00,0.17
2024-01-01 01:45:00,0.08126666666666667
2024-01-01 02:00:00,0.049
2024-01-01 02:15:00,0.09966666666666667
2024-01-01 02:30:00,0.239
2024-01-01 02:45:00,0.049
2024-01-01 03:00:00,0.049
2024-01-01 03:15:00,0.049
2024-01-01 03:30:00,0.06166666666666667
2024-01-01 03:45:00,0.239
2024-01-01 04:00:00,0.087
2024-01-01 04:15:00,0.049
2024-01-01 04:30:00,0.049
2024-01-01 04:45:00,0.049
2024-01-01 05:00:00,0.21366666666666667
2024-01-01 05:15:00,0.125
2024-01-01 05:30:00,0.049
2024-01-01 05:45:00,0.049
2024-01-01 06:00:00,0.049
2024-01-01 06:15:00,0.17566666666666667
2024-01-01 06:30:00,0.16299999999999998
2024-01-01 06:45:00,0.049
2024-01-01 07:00:00,0.049
2024-01-01 07:15:00,0.049
2024-01-01 07:30:00,0.13766666666666666
2024-01-01 07:45:00,0.20099999999999998
2024-01-01 08:00:00,0.049
2024-01-01 08:15:00,0.049
2024-01-01 08:30:00,0.049
2024-01-01 08:45:00,0.09966666666666667
2024-01-01 09:00:00,0.239
2024-01-01 09:15:00,0.049
2024-01-01 09:30:00,0.049
2024-01-01 09:45:00,0.049
2024-01-01 10:00:00,0.06166666666666667
2024-01-01 10:15:00,0.239
2024-01-01 10:30:00,0.087
2024-01-01 10:45:00,0.049
2024-01-01 11:00:00,0.049
2024-01-01 11:15:00,0.049
2024-01-01 11:30:00,0.21366666666666667
2024-01-01 11:45:00,0.125
2024-01-01 12:00:00,0.049
2024-01-01 12:15:00,0.15386666666666668
2024-01-01 12:30:00,0.17
2024-01-01 12:45:00,0.2966666666666667
2024-01-01 13:00:00,0.31626666666666664
2024-01-01 13:15:00,0.21033333333333334
2024-01-01 13:30:00,0.21839999999999998
2024-01-01 13:45:00,0.4242666666666667
2024-01-01 14:00:00,0.9127333333333334
