,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.4752188640195809
2024-01-01 00:15:00,0.001,0.22635219735291429
2024-01-01 00:30:00,0.001,0.06013827805880382
2024-01-01 00:45:00,0.001,0.5803139100563169
2024-01-01 01:00:00,0.001,0.0488237423726735
2024-01-01 01:15:00,0.001,0.06955707570600683
2024-01-01 01:30:00,0.001,0.3598237423726735
2024-01-01 01:45:00,0.001,0.2315805767229837
2024-01-01 02:00:00,0.001,0.158
2024-01-01 02:15:00,0.001,0.5578000000000001
2024-01-01 02:30:00,0.001,0.158
2024-01-01 02:45:00,0.001,0.13606666666666667
2024-01-01 03:00:00,0.001,0.227
2024-01-01 03:15:00,0.001,0.06233333333333333
2024-01-01 03:30:00,0.001,0.037
2024-01-01 03:45:00,0.001,0.037
2024-01-01 04:00:00,0.001,0.037
2024-01-01 04:15:00,0.001,0.12566666666666668
2024-01-01 04:30:00,0.001,0.21433333333333335
2024-01-01 04:45:00,0.001,0.43679999999999997
2024-01-01 05:00:00,0.001,0.17026666666666665
2024-01-01 05:15:00,0.001,0.037
2024-01-01 05:30:00,0.001,0.037
2024-01-01 05:45:00,0.001,0.16366666666666668
2024-01-01 06:00:00,0.001,0.17633333333333334
2024-01-01 06:15:00,0.001,0.037
2024-01-01 06:30:00,0.001,0.35686666666666667
2024-01-01 06:45:00,0.001,2.436
2024-01-01 07:00:00,0.001,0.19693333333333332
2024-01-01 07:15:00,0.001,0.6014666666666667
2024-01-01 07:30:00,0.001,0.13833333333333334
2024-01-01 07:45:00,0.001,0.17026666666666668
2024-01-01 08:00:00,0.001,0.3035333333333333
2024-01-01 08:15:00,0.001,0.037
2024-01-01 08:30:00,0.001,0.049666666666666665
2024-01-01 08:45:00,0.001,0.23724724338965036
2024-01-01 09:00:00,0.001,0.11215707570600683
2024-01-01 09:15:00,0.001,0.0488237423726735
2024-01-01 09:30:00,0.001,0.0488237423726735
2024-01-01 09:45:00,0.001,0.16175707570600684
2024-01-01 10:00:00,0.001,0.21733741107329388
2024-01-01 10:15:00,0.001,0.348
2024-01-01 10:30:00,0.001,0.18333333333333332
2024-01-01 10:45:00,0.001,0.158
2024-01-01 11:00:00,0.001,0.045066666666666665
2024-01-01 11:15:00,0.001,0.037
2024-01-01 11:30:00,0.001,0.12566666666666668
2024-01-01 11:45:00,0.001,0.21433333333333335
2024-01-01 12:00:00,0.001,0.037
2024-01-01 12:15:00,0.001,0.037
2024-01-01 12:30:00,0.001,0.037
2024-01-01 12:45:00,0.001,0.04330599593209253
2024-01-01 13:00:00,0.001,0.17549040903934016
2024-01-01 13:15:00,0.001,0.18815707570600684
2024-01-01 13:30:00,0.001,0.0488237423726735
2024-01-01 13:45:00,0.001,0.0488237423726735
2024-01-01 14:00:00,0.001,0.04015299796604626
2024-01-01 14:15:00,0.001,0.43679999999999997
2024-01-01 14:30:00,0.21009531541237417,0.20166666666666666
2024-01-01 14:45:00,0.6512177418389324,0.13833333333333334
2024-01-01 15:00:00,0.4137072442888054,0.037
2024-01-01 15:15:00,0.16964365321084549,0.037
2024-01-01 15:30:00,0.6030308412973945,0.158
2024-01-01 15:45:00,1.1911661941981222,0.17066666666666666
2024-01-01 16:00:00,0.09525598664950095,0.348
2024-01-01 16:15:00,0.1389822423506404,0.22133333333333333
2024-01-01 16:30:00,0.4027552660211879,0.5497333333333334
2024-01-01 16:45:00,0.7422495318685893,0.17026666666666665
2024-01-01 17:00:00,0.001,0.037
2024-01-01 17:15:00,0.001,0.08766666666666666
2024-01-01 17:30:00,0.001,0.6267999999999999
2024-01-01 17:45:00,0.001,0.6281999999999999
2024-01-01 18:00:00,0.001,2.159
2024-01-01 18:15:00,0.001,1.8839491615817823
2024-01-01 18:30:00,0.001,0.0488237423726735
2024-01-01 18:45:00,0.001,0.13749040903934018
2024-01-01 19:00:00,0.001,0.3215481011373668
2024-01-01 19:15:00,0.001,0.20137593972558782
2024-01-01 19:30:00,0.001,0.1903404468444259
2024-01-01 19:45:00,0.001,0.22181886401958098
2024-01-01 20:00:00,0.001,0.3105521973529143
2024-01-01 20:15:00,0.001,0.43721886401958093
2024-01-01 20:30:00,0.001,0.4569797761098517
2024-01-01 20:45:00,0.001,0.34957593972558776
2024-01-01 21:00:00,0.001,0.8894426063922545
2024-01-01 21:15:00,0.001,0.32464260639225445
2024-01-01 21:30:00,0.001,0.8554426063922546
2024-01-01 21:45:00,0.001,0.6203092730589213
2024-01-01 22:00:00,0.001,1.3565759397255879
2024-01-01 22:15:00,0.001,0.32237593972558776
2024-01-01 22:30:00,0.001,0.31606994379349523
2024-01-01 22:45:00,0.001,0.3105521973529143
2024-01-01 23:00:00,0.001,0.32321886401958094
2024-01-01 23:15:00,0.001,0.5005521973529142
2024-01-01 23:30:00,0.001,0.38570927305892105
2024-01-01 23:45:00,0.001,0.2929272221962011
2024-01-02 00:00:00,0.001,0.2908237423726735
2024-01-02 00:15:00,0.001,0.16175707570600684
2024-01-02 00:30:00,0.001,0.09949040903934017
2024-01-02 00:45:00,0.001,0.25354810113736687
2024-01-02 01:00:00,0.001,0.0970385286522939
2024-01-02 01:15:00,0.001,0.0685521973529143
2024-01-02 01:30:00,0.001,0.6016188640195811
2024-01-02 01:45:00,0.001,0.4683521973529144
2024-01-02 02:00:00,0.001,1.2233521973529142
2024-01-02 02:15:00,0.001,0.21433333333333335
2024-01-02 02:30:00,0.001,0.037
2024-01-02 02:45:00,0.001,0.5700666666666667
2024-01-02 03:00:00,0.001,0.037
2024-01-02 03:15:00,0.001,0.037
2024-01-02 03:30:00,0.001,0.16366666666666668
2024-01-02 03:45:00,0.001,0.17633333333333334
2024-01-02 04:00:00,0.001,0.037
2024-01-02 04:15:00,0.001,0.037
2024-01-02 04:30:00,0.001,0.037
2024-01-02 04:45:00,0.001,0.037
2024-01-02 05:00:00,0.001,0.20166666666666666
2024-01-02 05:15:00,0.001,0.5381333333333334
2024-01-02 05:30:00,0.001,0.037
2024-01-02 05:45:00,0.001,0.037
2024-01-02 06:00:00,0.001,0.037
2024-01-02 06:15:00,0.001,0.049666666666666665
2024-01-02 06:30:00,0.001,0.227
2024-01-02 06:45:00,0.001,0.10033333333333334
2024-01-02 07:00:00,0.001,0.037
2024-01-02 07:15:00,0.001,0.037
2024-01-02 07:30:00,0.001,0.1338
2024-01-02 07:45:00,0.001,0.7417333333333332
2024-01-02 08:00:00,0.001,0.348
2024-01-02 08:15:00,0.001,0.18333333333333332
2024-01-02 08:30:00,0.001,0.158
2024-01-02 08:45:00,0.001,0.158
2024-01-02 09:00:00,0.001,0.045066666666666665
2024-01-02 09:15:00,0.001,0.12566666666666668
2024-01-02 09:30:00,0.001,0.21433333333333335
2024-01-02 09:45:00,0.001,0.037
2024-01-02 10:00:00,0.001,0.037
2024-01-02 10:15:00,0.001,0.037
2024-01-02 10:30:00,0.001,0.037
2024-01-02 10:45:00,0.001,0.16366666666666668
2024-01-02 11:00:00,0.001,0.17633333333333334
2024-01-02 11:15:00,0.001,0.037
2024-01-02 11:30:00,0.001,0.037
2024-01-02 11:45:00,0.001,0.037
2024-01-02 12:00:00,0.001,0.037
2024-01-02 12:15:00,0.001,0.20166666666666666
2024-01-02 12:30:00,0.001,0.13833333333333334
2024-01-02 12:45:00,0.001,0.037
2024-01-02 13:00:00,0.001,0.037
2024-01-02 13:15:00,0.001,0.037
2024-01-02 13:30:00,0.001,0.049666666666666665
2024-01-02 13:45:00,0.001,0.227
2024-01-02 14:00:00,0.001,0.10033333333333334
2024-01-02 14:15:00,0.001,0.037
2024-01-02 14:30:00,0.001,0.037
2024-01-02 14:45:00,0.001,0.037
2024-01-02 15:00:00,0.001,0.08766666666666666
2024-01-02 15:15:00,0.001,0.227
2024-01-02 15:30:00,0.001,0.07593333333333334
2024-01-02 15:45:00,0.001,0.071
2024-01-02 16:00:00,0.001,0.0574
