,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.001,0.19069999999999998,0.0,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.001,0.19069999999999998,0.0,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.001,0.19069999999999998,0.0,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.001,0.19069999999999998,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.001,0.3680333333333333,0.0,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.001,0.2667,0.0,0.0,2.0
2024-01-01 01:30:00,0.001,0.001,0.001,0.19069999999999998,0.0,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.001,0.10023333333333333,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.001,0.14366666666666666,0.0,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.001,0.21966666666666665,0.0,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.001,0.055,0.0,0.0,1.2
2024-01-01 03:30:00,0.001,0.001,0.001,0.055,0.0,0.0,1.0
2024-01-01 03:45:00,0.001,0.001,0.001,0.245,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.001,0.11833333333333333,0.0,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.001,0.055,0.0,1.2,0.0
2024-01-01 04:30:00,0.001,0.001,0.001,0.4547999999999999,0.0,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.001,0.6198,0.0,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.001,0.19033333333333335,0.0,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.001,0.2138,0.0,0.9333333333333333,0.8
2024-01-01 05:30:00,0.001,0.001,0.001,1.303,0.0,1.8666666666666667,1.2
2024-01-01 05:45:00,0.001,0.001,0.001,1.303,0.0,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.001,0.16246666666666665,0.0,0.5333333333333333,0.0
2024-01-01 06:15:00,0.001,0.001,0.001,0.15866666666666665,0.0,1.4666666666666666,0.0
2024-01-01 06:30:00,0.001,0.001,0.001,0.336,0.0,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.001,0.19666666666666668,0.0,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.001,0.1278,0.0,1.3333333333333333,0.0
2024-01-01 07:15:00,0.001,0.001,0.001,0.08655219735291432,0.0,2.0,1.6
2024-01-01 07:30:00,0.001,0.001,0.001,0.08655219735291432,0.0,2.0,1.0
2024-01-01 07:45:00,0.001,0.001,0.001,0.20055219735291427,0.0,2.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.001,0.2293521973529143,0.0,2.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.001,0.0995521973529143,0.0,2.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.001,0.068,0.0,2.0,0.0
2024-01-01 08:45:00,0.001,0.001,0.001,0.068,0.0,2.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.001,0.09333333333333334,0.0,2.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.001,0.258,0.0,2.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.001,0.6286666666666666,0.0,2.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.001,0.09776882621449529,0.0,0.4,0.6
2024-01-01 10:00:00,0.001,0.001,0.001,0.10082374237267351,0.0,0.0,1.6
2024-01-01 10:15:00,0.001,0.001,0.001,0.07815707570600684,0.0,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.001,0.1934904090393402,0.0,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.001,0.19191391005631706,0.0,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 11:15:00,0.001,0.001,0.001,0.21633333333333332,0.0,0.0,0.0
2024-01-01 11:30:00,0.001,0.001,0.001,0.297,0.0,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.001,0.3358666666666667,0.0,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.001,0.5,0.0,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.001,0.32726666666666665,0.0,0.0,1.8
2024-01-01 12:30:00,0.001,0.001,0.001,0.12446666666666667,0.0,1.3333333333333333,0.2
2024-01-01 12:45:00,0.001,0.001,0.001,0.10833333333333334,0.0,1.7333333333333334,0.0
2024-01-01 13:00:00,0.001,0.001,0.001,0.176,0.0,0.0,0.0
2024-01-01 13:15:00,0.26467826201922107,0.001,0.001,0.3153333333333333,0.0,0.0,0.0
2024-01-01 13:30:00,0.7920347860576631,0.001,0.001,0.29,0.0,0.0,0.0
2024-01-01 13:45:00,0.7920347860576631,0.001,0.001,0.176,0.0,0.0,0.0
2024-01-01 14:00:00,0.7920347860576631,0.001,0.001,0.10339999999999999,0.0,0.0,0.0
2024-01-01 14:15:00,0.7920347860576631,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 14:30:00,0.7920347860576631,0.001,0.001,0.10566666666666666,0.0,0.0,1.2
2024-01-01 14:45:00,0.7920347860576631,0.001,0.001,0.245,0.0,0.0,0.8
2024-01-01 15:00:00,0.7920347860576631,0.001,0.001,0.06766666666666667,0.0,1.3333333333333333,0.0
2024-01-01 15:15:00,0.7920347860576631,0.001,0.001,0.055,0.0,2.0,0.0
2024-01-01 15:30:00,0.7920347860576631,0.001,0.001,0.055,0.0,0.4,0.0
2024-01-01 15:45:00,0.7920347860576631,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 16:00:00,0.7920347860576631,0.001,0.001,0.207,0.0,0.0,0.0
2024-01-01 16:15:00,0.7920347860576631,0.001,0.001,0.15633333333333332,0.0,0.0,0.0
2024-01-01 16:30:00,0.7920347860576631,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 16:45:00,0.7920347860576631,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 17:00:00,0.1064713048076884,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.001,0.11833333333333333,0.0,0.0,2.0
2024-01-01 17:30:00,0.001,0.001,0.001,0.245,0.0,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 18:15:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 18:30:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 18:45:00,0.001,0.001,0.001,0.21966666666666665,0.0,1.3333333333333333,0.0
2024-01-01 19:00:00,0.001,0.001,0.001,0.14366666666666666,0.0,1.8666666666666667,0.0
2024-01-01 19:15:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 19:30:00,0.001,0.001,0.001,0.055,0.0,0.0,0.0
2024-01-01 19:45:00,0.001,0.001,0.001,0.055,0.0,0.0,1.0
2024-01-01 20:00:00,0.001,0.001,0.001,0.13099999999999998,0.0,0.0,1.0
2024-01-01 20:15:00,0.001,0.001,0.001,0.2500431656496898,0.0,0.0,0.0
2024-01-01 20:30:00,0.001,0.001,0.001,0.18782374237267352,0.0,0.0,0.0
2024-01-01 20:45:00,0.001,0.001,0.001,0.18782374237267352,0.0,0.0,0.0
2024-01-01 21:00:00,0.001,0.001,0.001,0.23622374237267352,0.0,0.0,0.0
2024-01-01 21:15:00,0.001,0.001,0.001,0.3214446213138392,0.0,0.0,0.0
2024-01-01 21:30:00,0.001,0.001,0.001,0.49350927305892106,0.0,0.0,0.0
2024-01-01 21:45:00,0.001,0.001,0.001,0.40455219735291426,0.0,0.0,0.0
2024-01-01 22:00:00,0.001,0.001,0.001,0.3285521973529143,0.0,0.0,2.0
2024-01-01 22:15:00,0.001,0.001,0.001,0.2559521973529143,0.0,0.0,0.0
2024-01-01 22:30:00,0.001,0.001,0.001,0.31593131841174854,0.0,0.0,0.0
2024-01-01 22:45:00,0.001,0.001,0.001,0.27097266259875924,0.0,0.0,0.0
2024-01-01 23:00:00,0.001,0.001,0.001,0.3524904090393402,0.0,0.0,0.0
2024-01-01 23:15:00,0.001,0.001,0.001,0.18782374237267352,0.0,0.0,0.0
