,WasherDryer,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-05-30 00:00:00,0.001,0.001,0.001,0.06933333333333333,0.0,0.0,0.0
2024-05-30 00:15:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 00:30:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 00:45:00,0.001,0.001,0.001,0.056666666666666664,0.0,0.0,0.0
2024-05-30 01:00:00,0.001,0.001,0.001,0.234,0.0,0.0,0.0
2024-05-30 01:15:00,0.001,0.001,0.001,0.14533333333333334,0.0,0.0,0.0
2024-05-30 01:30:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 01:45:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 02:00:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 02:15:00,0.001,0.001,0.001,0.17066666666666666,0.0,0.0,0.0
2024-05-30 02:30:00,0.001,0.001,0.001,0.22133333333333335,0.0,0.0,0.0
2024-05-30 02:45:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 03:00:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 03:15:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 03:30:00,0.001,0.001,0.001,0.09466666666666666,0.0,0.0,0.0
2024-05-30 03:45:00,0.001,0.001,0.001,0.234,0.0,1.8,0.0
2024-05-30 04:00:00,0.001,0.001,0.001,0.10733333333333334,0.0,1.6,0.0
2024-05-30 04:15:00,0.001,0.001,0.001,0.044,0.0,3.0,0.0
2024-05-30 04:30:00,0.001,0.001,0.001,0.044,0.0,3.0,0.0
2024-05-30 04:45:00,0.001,0.001,0.001,0.044,0.0,1.6,0.0
2024-05-30 05:00:00,0.001,0.001,0.001,0.2086666666666667,0.0,0.6,0.0
2024-05-30 05:15:00,0.001,0.001,0.001,0.18333333333333332,0.0,0.0,0.0
2024-05-30 05:30:00,0.001,0.001,0.001,0.044,0.0,2.2,0.0
2024-05-30 05:45:00,0.001,0.001,0.001,0.044,0.0,2.4,0.0
2024-05-30 06:00:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 06:15:00,0.001,0.001,0.001,0.13266666666666665,0.0,0.0,0.0
2024-05-30 06:30:00,0.001,0.001,0.001,0.234,0.0,0.0,0.0
2024-05-30 06:45:00,0.001,0.001,0.001,0.06933333333333333,0.0,0.0,0.0
2024-05-30 07:00:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 07:15:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 07:30:00,0.001,0.001,0.001,0.056666666666666664,0.0,0.0,0.0
2024-05-30 07:45:00,0.001,0.001,0.001,0.234,0.0,0.0,0.0
2024-05-30 08:00:00,0.001,0.001,0.001,0.14533333333333334,0.0,0.0,0.0
2024-05-30 08:15:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 08:30:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 08:45:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 09:00:00,0.001,0.001,0.001,0.17066666666666666,0.0,0.0,0.0
2024-05-30 09:15:00,0.001,0.001,0.001,0.22133333333333335,0.0,0.0,0.0
2024-05-30 09:30:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 09:45:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
2024-05-30 10:00:00,0.001,0.001,0.001,0.044,0.0,0.0,0.0
