,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref,SoC_arr,Tset,Tref,Twall,Tout,Ploss,Power,Power_limited
2024-01-01 00:00:00,2.0,,,,,,11.0,11.001596198141423,11.007291512549248,12.0,-38.50898673829365,0.0,0.0
2024-01-01 01:00:00,2.0,,,,,,11.0,11.005100438341579,11.02170355181771,12.0,-37.523624670468664,0.0,0.0
2024-01-01 02:00:00,2.0,,,,,,11.0,11.00744360350827,11.028225997466027,11.0,2.512508980061375,0.0,0.0
2024-01-01 03:00:00,2.0,,,,,,11.0,11.008327554960797,11.02707905027139,11.0,2.933042480899727,0.0,0.0
2024-01-01 04:00:00,2.0,,,,,,11.0,11.009402855860547,11.026021088918066,11.0,2.681679710693522,534.8777777777779,534.8777777777779
2024-01-01 05:00:00,2.0,,,,,,11.0,11.009886307142347,11.017778253244078,10.0,40.856845799933005,416.01604938271606,416.01604938271606
2024-01-01 06:00:00,1.0,,,,,,20.0,11.010861412112975,11.002583756543565,10.0,39.3254892448322,1069.7555555555557,1069.7555555555557
2024-01-01 07:00:00,1.0,,,,,,20.0,11.01265510349896,10.9882151427275,10.0,37.15708136368152,0.0,0.0
2024-01-01 08:00:00,1.0,,,,,,20.0,11.018923887476435,10.974690775719585,10.0,34.68044161699426,159.43086419753087,159.43086419753087
2024-01-01 09:00:00,1.0,,,,,,20.0,11.035633496223321,10.962260276274485,10.0,31.329844871680578,375.446913580247,375.446913580247
2024-01-01 10:00:00,1.0,,,,,,20.0,11.075176935701368,10.958675722906996,11.0,-12.375046553244166,178.2925925925926,178.2925925925926
2024-01-01 11:00:00,1.0,,,,,,20.0,11.146496539084444,10.97194922788161,12.0,-57.55093950764164,772.6012345679013,772.6012345679013
2024-01-01 12:00:00,1.0,,,,,,20.0,11.225049633574988,10.99477469973957,12.0,-62.81949381684838,950.893827160494,950.893827160494
2024-01-01 13:00:00,1.0,1,1,,0.7450000000000009,0.6655555555555556,20.0,11.29503950727274,11.019084561550986,12.0,-66.35148032202778,178.2925925925926,178.2925925925926
2024-01-01 14:00:00,1.0,1,,,0.9283333333333362,,20.0,11.345498295370355,11.044443510247085,12.0,-67.8702051340808,656.5851851851852,656.5851851851852
2024-01-01 15:00:00,1.0,1,,,1.1116666666666715,,20.0,11.360463384367703,11.06968952161122,12.0,-65.90155387774068,829.1864197530865,829.1864197530865
2024-01-01 16:00:00,1.0,1,,,1.2950000000000068,,20.0,11.35686472453966,11.086498218852656,11.0,-23.856399574997834,0.0,0.0
2024-01-01 17:00:00,1.0,1,,,1.4783333333333422,,20.0,11.351768851730819,11.09489545144366,11.0,-21.52257787000223,0.0,0.0
2024-01-01 18:00:00,1.0,1,,,1.6616666666666775,,20.0,11.347152789417487,11.102691263132309,11.0,-19.986584109854594,0.0,0.0
2024-01-01 19:00:00,1.0,1,,,1.8450000000000129,,20.0,11.34297785250601,11.109932794987806,11.0,-18.57093450776895,2500.0,2500.0
2024-01-01 20:00:00,1.0,1,,,2.028333333333348,,20.0,11.33920842863835,11.116663454920126,11.0,-17.26609930182208,1184.7135802469138,1184.7135802469138
2024-01-01 21:00:00,2.0,1,,,2.2116666666666833,,11.0,11.33420036593351,11.115631691730213,10.0,22.44657838944751,297.1543209876544,297.1543209876544
2024-01-01 22:00:00,1.0,1,,,2.3950000000000187,,20.0,11.326714123225797,11.107028439414837,10.0,22.65875696078161,356.5851851851852,356.5851851851852
2024-01-01 23:00:00,1.0,1,,,2.578333333333354,,20.0,11.32010326069159,11.098606365715602,10.0,22.144069400845126,534.8777777777779,534.8777777777779
