,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.05091666666666667,0.0,0.0,0.0
2024-01-01 01:00:00,0.001,0.14958333333333332,0.0,0.0,0.0
2024-01-01 02:00:00,0.001,0.14983333333333335,0.0,0.00015000000000000001,0.0
2024-01-01 03:00:00,0.001,0.07908333333333334,0.0,0.0,0.0
2024-01-01 04:00:00,0.001,0.13408333333333333,0.0,0.00045,0.5348777777777778
2024-01-01 05:00:00,0.001,0.1245,0.0,0.0015,0.41601604938271614
2024-01-01 06:00:00,0.001,0.11991666666666667,0.0,0.0029000000000000002,1.0697555555555556
2024-01-01 07:00:00,0.001,0.11858333333333333,0.0,0.003,0.0
2024-01-01 08:00:00,0.001,0.20583333333333334,0.0,0.003,0.15943086419753086
2024-01-01 09:00:00,0.001,0.16318333333333335,0.0,0.003,0.37544691358024695
2024-01-01 10:00:00,0.001,0.11993333333333332,0.0,0.003,0.1782925925925926
2024-01-01 11:00:00,0.001,0.08966666666666666,0.0,0.003,0.7726012345679013
2024-01-01 12:00:00,0.001,0.1625,0.0,0.003,0.9508938271604939
2024-01-01 13:00:00,0.001,0.10966666666666666,4.766666666666667,0.003,0.1782925925925926
2024-01-01 14:00:00,0.001,0.09083333333333334,3.3,0.003,0.6565851851851853
2024-01-01 15:00:00,0.001,0.3189166666666667,0.0,0.003,0.8291864197530866
2024-01-01 16:00:00,0.001,0.16033333333333336,0.0,0.003,0.0
2024-01-01 17:00:00,0.001,0.10066666666666667,0.0,0.003,0.0
2024-01-01 18:00:00,0.001,0.1625,0.0,0.003,0.0
2024-01-01 19:00:00,0.001,0.11420000000000001,0.0,0.003,2.5
2024-01-01 20:00:00,0.001,0.21536666666666668,0.0,0.003,1.184713580246914
2024-01-01 21:00:00,0.001,0.16821480881345885,0.0,0.0028,0.2971543209876543
2024-01-01 22:00:00,0.001,0.200260256571318,0.0,0.00265,0.3565851851851852
2024-01-01 23:00:00,0.001,0.22367683848272962,0.0,0.003,0.5348777777777778
