,TumbleDryer,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.001,0.05541391929411048,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.07855219735291431,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.535018864019581,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.3512188640195809,0.0,0.0
2024-01-01 01:00:00,0.001,0.001,0.07855219735291431,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.06593131841174858,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.4468,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.13966666666666666,0.0,1.3333333333333333
2024-01-01 02:15:00,0.001,0.001,1.2165333333333335,0.0,1.6
2024-01-01 02:30:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.17566666666666667,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.23299999999999998,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.06166666666666667,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.047,0.0,3.7333333333333334
2024-01-01 04:30:00,0.001,0.001,0.047,0.0,4.0
2024-01-01 04:45:00,0.001,0.001,0.047,0.0,4.0
2024-01-01 05:00:00,0.001,0.001,0.21166666666666664,0.0,4.0
2024-01-01 05:15:00,0.001,0.001,0.18233333333333332,0.0,2.4
2024-01-01 05:30:00,0.001,0.001,0.07633333333333334,0.0,0.0
2024-01-01 05:45:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.3388666666666667,0.0,1.8666666666666667
2024-01-01 06:30:00,0.001,0.001,0.4782,0.0,1.6
2024-01-01 06:45:00,0.001,0.001,0.1423333333333333,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.091,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.047,0.0,0.0
