,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.7920347860576631,0.001,0.0,0.1737,0.0,0.0
2024-01-01 00:15:00,0.7920347860576631,0.001,0.0,0.33836666666666665,0.0,0.0
2024-01-01 00:30:00,0.7920347860576631,0.001,0.0,0.2750333333333333,0.0,0.0
2024-01-01 00:45:00,0.7920347860576631,0.001,0.0,0.1737,0.0,0.0
2024-01-01 01:00:00,0.7920347860576631,0.001,0.0,0.2877,0.0,0.0
2024-01-01 01:15:00,0.7920347860576631,0.001,0.0,0.22436666666666666,0.0,0.0
2024-01-01 01:30:00,0.7920347860576631,0.001,0.0,0.2750333333333333,3.6666666666666665,0.0
2024-01-01 01:45:00,0.7920347860576631,0.001,0.0,0.33836666666666665,0.0,0.0
2024-01-01 02:00:00,0.7920347860576631,0.001,0.0,0.1737,0.0,0.0
2024-01-01 02:15:00,0.31741391442306527,0.001,0.0,0.1737,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.3257,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.22436666666666666,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.36369999999999997,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.2117,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.1737,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.1737,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.33836666666666665,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.30218,0.0,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.266,7.333333333333333,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.152,0.0,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.31666666666666665,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.31666666666666665,0.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.19,0.0,0.6666666666666666
2024-01-01 08:45:00,0.001,0.001,0.0,0.038,0.0,1.6666666666666667
2024-01-01 09:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.3546666666666667,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.0,0.050666666666666665,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.228,0.0,1.3333333333333333
2024-01-01 11:15:00,0.001,0.001,0.0,0.24066666666666667,0.0,3.6666666666666665
2024-01-01 11:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.17733333333333334,0.0,0.0
2024-01-01 12:45:00,0.001,0.001,0.0,0.16466666666666668,0.0,0.0
2024-01-01 13:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.114,0.0,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.12666666666666668,0.0,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.228,0.0,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.07600000000000001,0.0,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.15200000000000002,2.933333333333333,0.0
2024-01-01 15:45:00,0.001,0.001,0.0,0.08866666666666667,0.0,0.0
2024-01-01 16:00:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.038,0.0,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.19,0.0,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.050666666666666665,0.0,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.13933333333333334,0.0,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.20266666666666666,0.0,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.038,0.0,0.0
