,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.21066666666666664
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.6804
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.10933333333333332
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.45846666666666663
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.19799999999999998
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.16
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.44580000000000003
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.09666666666666666
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.07133333333333333
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.18533333333333332
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.17266666666666666
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.050333333333333334
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.07162087894116571
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,1.476552197352914
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,2.2076855306862475
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.9468855306862475
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.524018864019581
2024-01-01 08:45:00,0.001,0.001,0.0,0.001,0.48404175788233145
2024-01-01 09:00:00,0.001,0.001,0.0,0.001,0.059000000000000004
2024-01-01 09:15:00,0.001,0.001,0.0,0.001,0.059000000000000004
2024-01-01 09:30:00,0.001,0.001,0.0,0.001,0.17873333333333333
2024-01-01 09:45:00,0.001,0.001,0.0,0.001,0.18533333333333332
2024-01-01 10:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 10:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 10:30:00,0.001,0.001,0.0,0.001,0.053799999999999994
2024-01-01 10:45:00,0.001,0.001,0.0,0.001,0.08433333333333333
2024-01-01 11:00:00,0.001,0.001,0.0,0.001,0.249
2024-01-01 11:15:00,0.4228852192307536,0.001,0.0,0.001,0.1062
2024-01-01 11:30:00,0.7920347860576631,0.001,0.0,0.001,0.44580000000000003
2024-01-01 11:45:00,0.7920347860576631,0.001,0.0,0.001,0.046
2024-01-01 12:00:00,0.7920347860576631,0.001,0.0,0.001,0.05553333333333333
2024-01-01 12:15:00,0.7920347860576631,0.001,0.0,0.001,0.173
2024-01-01 12:30:00,0.7920347860576631,0.001,0.0,0.001,0.25133333333333335
2024-01-01 12:45:00,0.7920347860576631,0.001,0.0,0.001,0.18
2024-01-01 13:00:00,0.7920347860576631,0.001,0.0,0.001,0.17133333333333337
2024-01-01 13:15:00,0.7920347860576631,0.001,0.0,0.001,0.167
2024-01-01 13:30:00,0.7920347860576631,0.001,0.0,0.001,0.1796666666666667
2024-01-01 13:45:00,0.7920347860576631,0.001,0.0,0.001,0.2844
2024-01-01 14:00:00,0.7920347860576631,0.001,0.0,0.001,0.10933333333333332
2024-01-01 14:15:00,0.7920347860576631,0.001,0.0,0.001,0.046
2024-01-01 14:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 14:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 15:00:00,0.001,0.001,0.0,0.001,0.14733333333333334
2024-01-01 15:15:00,0.001,0.001,0.0,0.001,0.21066666666666664
2024-01-01 15:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 15:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 16:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 16:15:00,0.001,0.001,0.0,0.001,0.44580000000000003
2024-01-01 16:30:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-01 16:45:00,0.001,0.001,0.0,0.001,0.12594124745755783
2024-01-01 17:00:00,0.001,0.001,0.0,0.001,0.1935237423726735
2024-01-01 17:15:00,0.001,0.001,0.0,0.001,0.1935237423726735
2024-01-01 17:30:00,0.001,0.001,0.0,0.001,0.1935237423726735
2024-01-01 17:45:00,0.001,0.001,0.0,0.001,0.2821904090393402
2024-01-01 18:00:00,0.001,0.001,0.0,0.001,0.3700688262144953
2024-01-01 18:15:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 18:30:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 18:45:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 19:00:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 19:15:00,0.001,0.001,0.0,0.001,0.3590333333333333
2024-01-01 19:30:00,0.001,0.001,0.0,0.001,0.27036666666666664
2024-01-01 19:45:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 20:00:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 20:15:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 20:30:00,0.001,0.001,0.0,0.001,0.2577
2024-01-01 20:45:00,0.001,0.001,0.0,0.001,0.3717
2024-01-01 21:00:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 21:15:00,0.001,0.001,0.0,0.001,0.1817
2024-01-01 21:30:00,0.001,0.001,0.0,0.001,0.17265333333333333
2024-01-01 21:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 22:00:00,0.001,0.001,0.0,0.001,0.21066666666666664
2024-01-01 22:15:00,0.001,0.001,0.0,0.001,0.14733333333333334
2024-01-01 22:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 22:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 23:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-01 23:15:00,0.001,0.001,0.0,0.001,0.10933333333333332
2024-01-01 23:30:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-01 23:45:00,0.001,0.001,0.0,0.001,0.058666666666666666
2024-01-02 00:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 00:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 00:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 00:45:00,0.001,0.001,0.0,0.001,0.19799999999999998
2024-01-02 01:00:00,0.001,0.001,0.0,0.001,0.17472435876469333
2024-01-02 01:15:00,0.001,0.001,0.0,0.001,0.07755219735291431
2024-01-02 01:30:00,0.001,0.001,0.0,0.001,0.07755219735291431
2024-01-02 01:45:00,0.001,0.001,0.0,0.001,0.07755219735291431
2024-01-02 02:00:00,0.001,0.001,0.0,0.001,0.128218864019581
2024-01-02 02:15:00,0.001,0.001,0.0,0.001,0.24020695964705524
2024-01-02 02:30:00,0.001,0.001,0.0,0.001,0.07133333333333333
2024-01-02 02:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 03:00:00,0.001,0.001,0.0,0.001,0.5790666666666666
2024-01-02 03:15:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 03:30:00,0.001,0.001,0.0,0.001,0.18533333333333332
2024-01-02 03:45:00,0.001,0.001,0.0,0.001,0.17266666666666666
2024-01-02 04:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 04:15:00,0.001,0.001,0.0,0.001,0.44580000000000003
2024-01-02 04:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 04:45:00,0.001,0.001,0.0,0.001,0.084
2024-01-02 05:00:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-02 05:15:00,0.001,0.001,0.0,0.001,0.6170666666666667
2024-01-02 05:30:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 05:45:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 06:00:00,0.001,0.001,0.0,0.001,0.046
2024-01-02 06:15:00,0.001,0.001,0.0,0.001,0.17266666666666666
2024-01-02 06:30:00,0.001,0.001,0.0,0.001,0.19636882621449528
2024-01-02 06:45:00,0.001,0.001,0.0,0.001,0.0578237423726735
2024-01-02 07:00:00,0.001,0.001,0.0,0.001,0.0578237423726735
2024-01-02 07:15:00,0.001,0.001,0.0,0.001,0.0578237423726735
2024-01-02 07:30:00,0.001,0.001,0.0,0.001,0.07527458079089117
2024-01-02 07:45:00,0.001,0.001,0.0,0.001,0.23600000000000002
2024-01-02 08:00:00,0.001,0.001,0.0,0.001,0.10793333333333334
2024-01-02 08:15:00,0.001,0.001,0.0,0.001,0.059000000000000004
2024-01-02 08:30:00,0.001,0.001,0.0,0.001,0.059000000000000004
2024-01-02 08:45:00,0.001,0.001,0.0,0.001,0.059000000000000004
2024-01-02 09:00:00,0.001,0.001,0.0,0.001,0.17126666666666665
2024-01-02 09:15:00,0.001,0.001,0.0,0.001,0.19799999999999998
2024-01-02 09:30:00,0.001,0.001,0.0,0.001,0.06409333333333334
2024-01-02 09:45:00,0.001,0.001,0.0,0.001,0.1817
2024-01-02 10:00:00,0.001,0.001,0.0,0.001,1.1203510797739142
2024-01-02 10:15:00,0.001,0.001,0.0,0.09392164779051025,2.20619040903934
2024-01-02 10:30:00,0.001,0.001,0.0,0.2165984273480836,0.3835237423726735
2024-01-02 10:45:00,0.001,0.001,0.0,1.1430523432723534,0.6566570757060067
2024-01-02 11:00:00,0.001,0.001,0.0,0.1447400146355617,0.6686043283334506
2024-01-02 11:15:00,0.001,0.001,0.0,0.1411019904780345,1.8187346922680299
2024-01-02 11:30:00,0.001,0.001,0.0,0.2720530160899676,0.7342521973529142
2024-01-02 11:45:00,0.001,0.001,0.0,0.6309848638715755,0.4355855306862476
2024-01-02 12:00:00,0.001,0.001,0.0,0.12937987831482983,0.4947119043725257
2024-01-02 12:15:00,0.001,0.001,0.0,0.27823892558351815,0.2953278385882209
2024-01-02 12:30:00,0.001,0.001,0.00013333333333333334,1.6536739716103108,0.21325219735291429
