,TumbleDryer,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.10546202966927076,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.2803759397255878,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.12842172745108874,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.2108237423726735,0.0,2.0
2024-01-01 01:00:00,0.001,0.001,0.0588237423726735,0.0,0.0
2024-01-01 01:15:00,0.001,0.001,0.18499616361573606,0.0,3.6666666666666665
2024-01-01 01:30:00,0.001,0.001,0.5988,0.0,0.3333333333333333
2024-01-01 01:45:00,0.001,0.001,0.13566666666666669,0.0,1.6666666666666667
2024-01-01 02:00:00,0.001,0.001,0.21166666666666664,1.0666666666666667,0.3333333333333333
2024-01-01 02:15:00,0.001,0.001,0.059666666666666666,2.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.047,0.13333333333333333,0.0
2024-01-01 02:45:00,0.001,0.001,0.13566666666666669,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.19899999999999998,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.161,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.11033333333333334,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.07233333333333333,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.237,1.3333333333333333,0.0
2024-01-01 04:30:00,0.001,0.001,0.13566666666666669,1.8666666666666667,0.0
2024-01-01 04:45:00,0.001,0.001,0.161,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.047,1.7333333333333334,0.0
2024-01-01 05:30:00,0.001,0.001,0.19899999999999998,1.6,0.0
2024-01-01 05:45:00,0.001,0.001,0.14833333333333334,2.0,0.0
2024-01-01 06:00:00,0.001,0.001,0.21166666666666664,1.6,0.0
2024-01-01 06:15:00,0.001,0.001,0.4467999999999999,2.0,0.3333333333333333
2024-01-01 06:30:00,0.001,0.001,0.047,2.0,2.3333333333333335
2024-01-01 06:45:00,0.001,0.001,0.13566666666666669,1.0666666666666667,0.0
2024-01-01 07:00:00,0.001,0.001,0.19899999999999998,0.0,0.0
2024-01-01 07:15:00,0.001,0.001,0.19899999999999998,0.0,0.0
2024-01-01 07:30:00,0.001,0.001,0.6053999999999999,0.0,2.0
2024-01-01 07:45:00,0.001,0.001,0.047,0.0,5.0
2024-01-01 08:00:00,0.001,0.001,0.07233333333333333,0.0,0.6666666666666666
2024-01-01 08:15:00,0.001,0.001,0.237,2.0,0.0
2024-01-01 08:30:00,0.001,0.001,0.17366666666666666,1.7333333333333334,0.0
2024-01-01 08:45:00,0.001,0.001,0.123,0.0,0.0
2024-01-01 09:00:00,0.001,0.001,0.18026666666666666,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.3135333333333333,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.7320666666666666,0.0,0.0
2024-01-01 09:45:00,0.001,0.001,0.18633333333333332,0.0,0.0
2024-01-01 10:00:00,0.001,0.001,0.17366666666666666,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 10:30:00,0.001,0.001,0.047,1.6,0.0
2024-01-01 10:45:00,0.001,0.001,0.13566666666666669,1.8666666666666667,0.0
2024-01-01 11:00:00,0.001,0.001,0.19899999999999998,0.0,2.0
2024-01-01 11:15:00,0.001,0.001,0.22433333333333333,0.0,0.3333333333333333
2024-01-01 11:30:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 11:45:00,0.001,0.001,0.047,0.0,0.0
2024-01-01 12:00:00,0.001,0.001,0.07233333333333333,0.0,2.6666666666666665
2024-01-01 12:15:00,0.001,0.001,0.237,0.0,0.0
2024-01-01 12:30:00,0.001,0.001,0.21166666666666664,0.0,0.3333333333333333
2024-01-01 12:45:00,0.001,0.001,0.1334,0.0,4.0
2024-01-01 13:00:00,0.001,0.001,0.168,0.0,2.6666666666666665
2024-01-01 13:15:00,0.001,0.001,0.17430599593209256,0.0,3.0
2024-01-01 13:30:00,0.001,0.001,0.33182374237267354,0.0,0.0
2024-01-01 13:45:00,0.001,0.001,0.35715707570600685,1.6,0.0
2024-01-01 14:00:00,0.001,0.001,0.2604237423726735,1.6,3.0
