,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.0,0.001,0.3438849142942278,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.2691237423726735,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.36755107977391427,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.29869999999999997,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.18469999999999998,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.18469999999999998,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.18469999999999998,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.23536666666666664,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.3747,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.23536666666666664,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.18469999999999998,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.18469999999999998,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.7177666666666666,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.29869999999999997,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.24442666666666665,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.5820666666666666,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.22633333333333333,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.16299999999999998,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.049,4.666666666666667
2024-01-01 05:45:00,0.001,0.0,0.001,0.44880000000000003,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.239,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.252,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.6457333333333334,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.486,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.17346666666666669,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.284,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.3473333333333333,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.17,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.11353333333333333,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.0516,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.23933333333333331,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.17600000000000002,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.057666666666666665,0.0
2024-01-01 10:00:00,0.001,0.0,0.001,0.056799999999999996,0.0
2024-01-01 10:15:00,0.001,0.0,0.001,0.11266666666666666,0.0
2024-01-01 10:30:00,0.001,0.0,0.001,0.252,0.0
2024-01-01 10:45:00,0.001,0.0,0.001,0.11266666666666666,0.0
2024-01-01 11:00:00,0.001,0.0,0.001,0.06199999999999999,3.2666666666666666
2024-01-01 11:15:00,0.001,0.0,0.001,0.06199999999999999,7.0
2024-01-01 11:30:00,0.001,0.0,0.001,0.0664942454236041,0.4666666666666667
2024-01-01 11:45:00,0.001,0.0,0.001,0.1748237423726735,0.0
2024-01-01 12:00:00,0.001,0.0,0.001,0.33013216692167163,0.0
2024-01-01 12:15:00,0.001,0.0,0.001,0.1833759397255878,0.0
2024-01-01 12:30:00,0.001,0.0,0.001,0.22649593972558782,0.0
2024-01-01 12:45:00,0.001,0.0003333333333333333,0.001,0.33207593972558785,0.0
2024-01-01 13:00:00,0.5144450257389442,2.25,0.001,0.6749111912510533,0.0
2024-01-01 13:15:00,1.8622016175697218,1.2004666666666668,0.001,0.4180840657843048,0.0
2024-01-01 13:30:00,1.86172679143735,1.2004666666666668,0.11920751533575101,0.5926333333333333,0.0
2024-01-01 13:45:00,0.9484501748831693,0.001,0.3770993350918567,0.41472374237267345,0.0
2024-01-01 14:00:00,0.9656081184889888,1.2004666666666668,0.7261964883268495,1.2094570757060068,0.0
2024-01-01 14:15:00,0.8266643162687463,0.001,0.13009393002600678,2.676057075706007,2.8
2024-01-01 14:30:00,0.9195143721962327,0.001,0.20773299504554338,0.42985707570600684,0.0
2024-01-01 14:45:00,0.7216514756392619,0.001,1.216813004506753,0.4759904090393402,0.0
2024-01-01 15:00:00,1.6984739823927635,0.001,0.5173311925843554,0.8779237423726735,0.0
2024-01-01 15:15:00,1.9571921555028464,0.001,0.11797423870073571,0.3526037423726735,0.0
2024-01-01 15:30:00,1.9777871676156922,0.001,0.10681042737621244,0.4211637423726735,0.0
2024-01-01 15:45:00,1.2913192803479392,0.0002666666666666667,0.23745119725150918,0.8444412474575578,0.0
2024-01-01 16:00:00,0.001,0.0,1.1517212860473274,0.5538333333333334,1.4
2024-01-01 16:15:00,0.001,0.0,0.11247319452245182,0.5064771061372495,0.0
2024-01-01 16:30:00,0.001,0.0,0.252807102289962,0.33825219735291434,0.0
2024-01-01 16:45:00,0.001,0.0,0.5250463032851831,0.3390404468444259,0.0
2024-01-01 17:00:00,0.001,0.0,0.27769471884134433,0.33354260639225447,0.0
2024-01-01 17:15:00,0.001,0.0,0.10995358341106361,0.4629426063922545,0.0
2024-01-01 17:30:00,0.001,0.0,0.028905143618079165,0.648409273058921,0.0
2024-01-01 17:45:00,0.001,0.0,0.001,0.5808689800785326,0.0
2024-01-01 18:00:00,0.001,0.0,0.001,0.4710759397255878,0.0
2024-01-01 18:15:00,0.001,0.0,0.001,0.8692994407425647,0.0
2024-01-01 18:30:00,0.001,0.0,0.001,0.402318864019581,0.0
2024-01-01 18:45:00,0.001,0.0,0.001,0.522718864019581,0.0
2024-01-01 19:00:00,0.001,0.0,0.001,0.6492521973529143,0.0
2024-01-01 19:15:00,0.001,0.0,0.001,0.5540445245843864,0.0
2024-01-01 19:30:00,0.001,0.0,0.001,0.5750759397255878,0.0
2024-01-01 19:45:00,0.001,0.0,0.001,0.5750759397255878,0.0
2024-01-01 20:00:00,0.001,0.0,0.001,0.9748759397255877,0.0
2024-01-01 20:15:00,0.001,0.0,0.001,0.6894492730589211,0.0
2024-01-01 20:30:00,1.2288399048342362,0.00046666666666666666,0.001,1.2256359397255878,0.0
2024-01-01 20:45:00,1.949257526753119,0.9006000000000001,0.001,0.5814759397255878,0.0
