,TumbleDryer,DishWasher,WashingMachine,BaseLoad
2024-01-01 00:00:00,0.001,0.0,0.001,0.226
2024-01-01 00:15:00,0.001,0.0,0.001,0.23
2024-01-01 00:30:00,0.001,0.0,0.001,0.13793333333333332
2024-01-01 00:45:00,0.001,0.0,0.001,0.161
2024-01-01 01:00:00,0.001,0.0,0.001,0.223
2024-01-01 01:15:00,0.001,0.0,0.001,0.3893333333333333
2024-01-01 01:30:00,0.001,0.0,0.001,0.3435333333333333
2024-01-01 01:45:00,0.001,0.0,0.001,0.2046666666666667
2024-01-01 02:00:00,0.001,0.0,0.001,0.04
2024-01-01 02:15:00,0.001,0.0,0.001,0.04
2024-01-01 02:30:00,0.001,0.0,0.001,0.093
2024-01-01 02:45:00,0.001,0.0,0.001,0.29766666666666663
2024-01-01 03:00:00,0.001,0.0,0.001,0.269
2024-01-01 03:15:00,0.001,0.0,0.001,0.154
2024-01-01 03:30:00,0.001,0.0,0.001,0.04
2024-01-01 03:45:00,0.001,0.0,0.001,0.04
2024-01-01 04:00:00,0.001,0.0,0.001,0.12066666666666667
2024-01-01 04:15:00,0.001,0.0,0.001,0.277
2024-01-01 04:30:00,0.001,0.0,0.001,0.3126666666666667
2024-01-01 04:45:00,0.001,0.0,0.001,0.10333333333333333
2024-01-01 05:00:00,0.001,0.0,0.001,0.04
2024-01-01 05:15:00,0.001,0.0,0.001,0.06933333333333333
2024-01-01 05:30:00,0.001,0.0,0.001,0.6684
2024-01-01 05:45:00,0.001,0.0,0.001,0.25266666666666665
2024-01-01 06:00:00,0.001,0.0,0.001,0.3436666666666667
2024-01-01 06:15:00,0.001,0.0,0.001,0.05266666666666667
2024-01-01 06:30:00,0.001,0.0,0.001,0.046066666666666665
2024-01-01 06:45:00,0.001,0.0,0.001,0.14100000000000001
2024-01-01 07:00:00,0.001,0.0,0.001,0.08966666666666666
2024-01-01 07:15:00,0.001,0.0,0.001,0.2853333333333333
2024-01-01 07:30:00,0.001,0.0,0.001,0.3707014649019429
2024-01-01 07:45:00,0.001,0.0,0.001,0.07328553068624764
2024-01-01 08:00:00,0.001,0.0,0.001,0.11428553068624764
2024-01-01 08:15:00,0.001,0.0,0.001,0.5723521973529143
2024-01-01 08:30:00,0.001,0.0,0.001,0.08034523770585907
2024-01-01 08:45:00,0.001,0.0,0.001,0.305
2024-01-01 09:00:00,0.001,0.0,0.001,0.3093333333333333
2024-01-01 09:15:00,0.001,0.0,0.001,0.06933333333333333
2024-01-01 09:30:00,0.001,0.0,0.001,0.13533333333333333
2024-01-01 09:45:00,0.001,0.0,0.001,0.06933333333333333
2024-01-01 10:00:00,0.001,0.0,0.001,0.09066666666666667
2024-01-01 10:15:00,0.001,0.0,0.001,0.261
2024-01-01 10:30:00,0.001,0.0,0.001,0.24566666666666667
2024-01-01 10:45:00,0.001,0.0,0.001,0.13566666666666669
2024-01-01 11:00:00,0.001,0.0,0.001,0.12066666666666667
2024-01-01 11:15:00,0.001,0.0,0.001,0.04
2024-01-01 11:30:00,0.001,0.0,0.001,0.6744000000000001
2024-01-01 11:45:00,0.001,0.0,0.001,0.2418237423726735
2024-01-01 12:00:00,0.001,0.0,0.001,0.2068237423726735
2024-01-01 12:15:00,0.001,0.0,0.001,0.23715707570600683
2024-01-01 12:30:00,0.001,0.0,0.001,0.0738237423726735
2024-01-01 12:45:00,0.001,0.0,0.001,0.07285854060794969
2024-01-01 13:00:00,0.001,0.0,0.001,0.22434044684442586
2024-01-01 13:15:00,0.001,0.0,0.001,0.21088553068624763
2024-01-01 13:30:00,0.001,0.0,0.001,0.2468855306862476
2024-01-01 13:45:00,0.001,0.0,0.001,0.25855219735291424
2024-01-01 14:00:00,0.001,0.0,0.001,0.04
2024-01-01 14:15:00,0.001,0.0,0.001,0.05266666666666667
2024-01-01 14:30:00,0.001,0.0,0.001,0.6298
