,TumbleDryer,DishWasher,BaseLoad,P_EV
2024-01-01 00:00:00,0.001,0.0,0.35779450525488765,0.0
2024-01-01 00:15:00,0.001,0.0,0.2806014649019429,0.0
2024-01-01 00:30:00,0.001,0.0,0.8623188640195809,0.0
2024-01-01 00:45:00,0.001,0.0,0.22658553068624762,0.0
2024-01-01 01:00:00,0.001,0.0,0.2915855306862476,0.0
2024-01-01 01:15:00,0.001,0.0,0.363918864019581,0.0
2024-01-01 01:30:00,0.001,0.0,0.19611391929411048,0.0
2024-01-01 01:45:00,0.001,0.0,0.18769999999999998,0.0
2024-01-01 02:00:00,0.001,0.0,0.21799333333333332,0.0
2024-01-01 02:15:00,0.001,0.0,0.074,0.0
2024-01-01 02:30:00,0.001,0.0,0.06233333333333333,0.0
2024-01-01 02:45:00,0.001,0.0,0.207,0.0
2024-01-01 03:00:00,0.001,0.0,0.10366666666666666,0.0
2024-01-01 03:15:00,0.001,0.0,0.052,0.0
2024-01-01 03:30:00,0.001,0.0,0.14,0.0
2024-01-01 03:45:00,0.001,0.0,0.08866666666666667,0.0
2024-01-01 04:00:00,0.001,0.0,0.052,0.0
2024-01-01 04:15:00,0.001,0.0,0.15533333333333335,0.0
2024-01-01 04:30:00,0.001,0.0,0.16566666666666666,0.0
2024-01-01 04:45:00,0.001,0.0,0.052,0.0
2024-01-01 05:00:00,0.001,0.0,0.12533333333333335,0.0
2024-01-01 05:15:00,0.001,0.0,0.10333333333333333,0.0
2024-01-01 05:30:00,0.001,0.0,0.052,0.0
2024-01-01 05:45:00,0.001,0.0,0.09333333333333332,0.0
2024-01-01 06:00:00,0.001,0.0,0.207,0.0
2024-01-01 06:15:00,0.001,0.0,0.07266666666666666,0.0
2024-01-01 06:30:00,0.001,0.0,0.11066666666666668,0.0
2024-01-01 06:45:00,0.001,0.0,0.11800000000000001,0.0
2024-01-01 07:00:00,0.001,0.0,0.052,0.0
2024-01-01 07:15:00,0.001,0.0,0.052,0.0
2024-01-01 07:30:00,0.001,0.0,0.18633333333333332,0.0
2024-01-01 07:45:00,0.001,0.0,0.13466666666666666,0.0
2024-01-01 08:00:00,0.001,0.0,0.096,0.0
2024-01-01 08:15:00,0.001,0.0,0.13266666666666665,0.0
2024-01-01 08:30:00,0.001,0.0,0.052,0.0
2024-01-01 08:45:00,0.001,0.0,0.052,0.0
2024-01-01 09:00:00,0.001,0.0,0.12433333333333334,0.0
2024-01-01 09:15:00,0.001,0.0,0.19666666666666666,0.0
2024-01-01 09:30:00,0.001,0.0,0.08133333333333333,0.0
2024-01-01 09:45:00,0.001,0.0,0.14733333333333334,0.0
2024-01-01 10:00:00,0.001,0.0,0.052,0.0
2024-01-01 10:15:00,0.001,0.0,0.052,0.0
2024-01-01 10:30:00,0.001,0.0,0.06233333333333333,0.0
2024-01-01 10:45:00,0.001,0.0,0.207,0.0
2024-01-01 11:00:00,0.001,0.0,0.11833333333333333,0.0
2024-01-01 11:15:00,0.001,0.0,0.162,0.0
2024-01-01 11:30:00,0.001,0.0,0.052,0.0
2024-01-01 11:45:00,0.001,0.0,0.052,5.0
2024-01-01 12:00:00,0.001,0.0,0.052,15.0
2024-01-01 12:15:00,0.001,0.0,0.15533333333333335,10.0
2024-01-01 12:30:00,0.001,0.0,0.16566666666666666,0.0
2024-01-01 12:45:00,0.001,0.0,0.162,0.0
2024-01-01 13:00:00,0.001,0.0,0.06666666666666667,0.0
2024-01-01 13:15:00,0.001,0.0,0.052,0.0
2024-01-01 13:30:00,0.001,0.0,0.052,0.0
2024-01-01 13:45:00,0.001,0.0,0.09333333333333332,2.0
2024-01-01 14:00:00,0.001,0.0,0.207,0.0
2024-01-01 14:15:00,0.001,0.0,0.168,0.0
2024-01-01 14:30:00,0.001,0.0,0.08133333333333333,0.0
2024-01-01 14:45:00,0.001,0.0,0.052,0.0
2024-01-01 15:00:00,0.001,0.0,0.052,0.0
2024-01-01 15:15:00,0.001,0.0,0.052,0.0
2024-01-01 15:30:00,0.001,0.0,0.18633333333333332,0.0
2024-01-01 15:45:00,0.001,0.0,0.21533333333333332,0.0
2024-01-01 16:00:00,0.001,0.0,0.096,0.0
2024-01-01 16:15:00,0.001,0.0,0.052,0.0
2024-01-01 16:30:00,0.001,0.0,0.12437333333333331,0.0
2024-01-01 16:45:00,0.001,0.0,0.18769999999999998,0.0
2024-01-01 17:00:00,0.001,0.0,0.2873785710391924,0.0
2024-01-01 17:15:00,0.001,0.0,0.496158864019581,0.0
2024-01-01 17:30:00,0.001,0.0,0.4553455306862476,0.0
2024-01-01 17:45:00,0.001,0.0,0.4952445245843864,0.0
2024-01-01 18:00:00,0.001,0.0,0.7674938888628678,0.0
2024-01-01 18:15:00,0.001,0.0,2.8548570757060068,0.0
2024-01-01 18:30:00,0.001,0.0,3.483057075706007,0.0
2024-01-01 18:45:00,0.001,0.0,1.2058570757060068,0.0
2024-01-01 19:00:00,0.001,0.0,0.3266491615817823,0.0
2024-01-01 19:15:00,0.001,0.0,0.3286023134118659,0.0
2024-01-01 19:30:00,0.001,0.0,0.36507593972558783,0.0
2024-01-01 19:45:00,0.001,0.0,0.36507593972558783,0.0
2024-01-01 20:00:00,0.001,0.0,0.36507593972558783,0.0
2024-01-01 20:15:00,0.001,0.0,0.49128361249411573,0.0
2024-01-01 20:30:00,0.001,0.0,0.5233347982352762,0.0
2024-01-01 20:45:00,0.001,0.0,0.18769999999999998,0.0
2024-01-01 21:00:00,0.001,0.0,0.18769999999999998,0.0
2024-01-01 21:15:00,0.001,0.0,0.18769999999999998,0.0
2024-01-01 21:30:00,0.001,0.0,0.052,0.0
2024-01-01 21:45:00,0.001,0.0,0.11533333333333333,0.0
2024-01-01 22:00:00,0.001,0.0,0.3096666666666667,0.0
2024-01-01 22:15:00,0.001,0.0,0.07266666666666666,0.0
2024-01-01 22:30:00,0.001,0.0,0.052,0.0
2024-01-01 22:45:00,0.001,0.0,0.052,0.0
2024-01-01 23:00:00,0.001,0.0,0.052,0.0
2024-01-01 23:15:00,0.001,0.0,0.05933333333333333,0.0
2024-01-01 23:30:00,0.001,0.0,0.29633333333333334,0.0
2024-01-01 23:45:00,0.001,0.0,0.142,0.0
