,BaseLoad,P_EV
2024-01-01 00:00:00,0.28270927305892113,0.0
2024-01-01 00:15:00,0.27537593972558777,0.0
2024-01-01 00:30:00,0.20937593972558782,0.0
2024-01-01 00:45:00,0.1851759397255878,0.0
2024-01-01 01:00:00,0.06313418184325635,0.0
2024-01-01 01:15:00,0.06336882621449527,0.0
2024-01-01 01:30:00,0.155,0.0
2024-01-01 01:45:00,0.06699999999999999,0.0
2024-01-01 02:00:00,0.045,0.0
2024-01-01 02:15:00,0.045,0.0
2024-01-01 02:30:00,0.045,0.0
2024-01-01 02:45:00,0.12053333333333334,0.0
2024-01-01 03:00:00,0.7870666666666666,0.0
2024-01-01 03:15:00,0.166,0.0
2024-01-01 03:30:00,0.166,0.0
2024-01-01 03:45:00,0.166,0.0
2024-01-01 04:00:00,0.1176,0.0
2024-01-01 04:15:00,0.14033333333333334,0.0
2024-01-01 04:30:00,0.089,0.0
2024-01-01 04:45:00,0.045,0.0
2024-01-01 05:00:00,0.045,0.0
2024-01-01 05:15:00,0.045,0.0
2024-01-01 05:30:00,0.07433333333333333,0.0
2024-01-01 05:45:00,0.155,0.0
2024-01-01 06:00:00,0.045,0.0
2024-01-01 06:15:00,0.045,0.0
2024-01-01 06:30:00,0.045,0.0
2024-01-01 06:45:00,0.5780666666666666,0.0
2024-01-01 07:00:00,0.11833333333333333,0.0
2024-01-01 07:15:00,0.111,0.0
2024-01-01 07:30:00,0.045,0.0
2024-01-01 07:45:00,0.045,0.0
2024-01-01 08:00:00,0.045,0.0
2024-01-01 08:15:00,0.05233333333333333,0.0
2024-01-01 08:30:00,0.155,0.0
2024-01-01 08:45:00,0.46853333333333336,0.0
2024-01-01 09:00:00,0.058,0.0
2024-01-01 09:15:00,0.058,0.0
2024-01-01 09:30:00,0.058,0.0
2024-01-01 09:45:00,0.1076,0.0
2024-01-01 10:00:00,0.13299999999999998,0.0
2024-01-01 10:15:00,0.4763521973529144,0.0
2024-01-01 10:30:00,0.07655219735291431,0.0
2024-01-01 10:45:00,0.07655219735291431,0.0
2024-01-01 11:00:00,0.07655219735291431,0.0
2024-01-01 11:15:00,0.1676785710391924,0.0
2024-01-01 11:30:00,0.089,0.0
2024-01-01 11:45:00,0.045,0.0
2024-01-01 12:00:00,0.045,0.0
2024-01-01 12:15:00,0.31153333333333333,10.266666666666667
2024-01-01 12:30:00,0.3408666666666667,11.0
2024-01-01 12:45:00,0.155,11.0
2024-01-01 13:00:00,0.045,11.0
2024-01-01 13:15:00,0.045,11.0
2024-01-01 13:30:00,0.045,6.6
2024-01-01 13:45:00,0.045,0.0
2024-01-01 14:00:00,0.11833333333333333,0.0
2024-01-01 14:15:00,0.111,0.0
2024-01-01 14:30:00,0.045,0.0
2024-01-01 14:45:00,0.045,0.0
2024-01-01 15:00:00,0.045,0.0
2024-01-01 15:15:00,0.05233333333333333,0.0
2024-01-01 15:30:00,0.155,0.0
2024-01-01 15:45:00,0.4668,0.0
2024-01-01 16:00:00,0.045,0.0
2024-01-01 16:15:00,0.045,0.0
2024-01-01 16:30:00,0.44480000000000003,10.266666666666667
2024-01-01 16:45:00,0.09633333333333334,0.0
2024-01-01 17:00:00,0.13299999999999998,0.0
2024-01-01 17:15:00,0.045,0.0
2024-01-01 17:30:00,0.045,0.0
2024-01-01 17:45:00,0.045,0.0
2024-01-01 18:00:00,0.045,0.0
2024-01-01 18:15:00,0.5401333333333334,0.0
2024-01-01 18:30:00,0.089,0.0
2024-01-01 18:45:00,0.045,0.0
2024-01-01 19:00:00,0.4448,0.0
2024-01-01 19:15:00,0.045,0.0
2024-01-01 19:30:00,0.07433333333333333,0.0
2024-01-01 19:45:00,0.17113333333333333,0.0
2024-01-01 20:00:00,0.7053726625987592,0.0
2024-01-01 20:15:00,0.18413418184325636,0.0
2024-01-01 20:30:00,0.20937593972558782,0.0
2024-01-01 20:45:00,0.8757092730589213,0.0
2024-01-01 21:00:00,0.3481610235674096,0.0
2024-01-01 21:15:00,0.3518721973529143,0.0
2024-01-01 21:30:00,0.19991694582744898,0.0
2024-01-01 21:45:00,0.10450927305892115,0.0
2024-01-01 22:00:00,0.4881759397255879,0.0
2024-01-01 22:15:00,0.09570927305892113,0.0
2024-01-01 22:30:00,0.2709759397255878,0.0
2024-01-01 22:45:00,0.23137593972558781,0.0
2024-01-01 23:00:00,0.20937593972558782,0.0
2024-01-01 23:15:00,0.20937593972558782,0.0
2024-01-01 23:30:00,0.6091759397255879,0.0
2024-01-01 23:45:00,0.1961759397255878,0.0
