,WasherDryer,TumbleDryer,DishWasher,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.001,0.0,0.28833333333333333,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.5708,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.12260000000000001,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.13799999999999998,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.12266666666666667,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.3846666666666667,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.18566666666666667,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.12333333333333334,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.15,1.3333333333333333
2024-01-01 02:45:00,0.001,0.001,0.0,0.35366666666666663,1.0666666666666667
2024-01-01 03:00:00,0.001,0.001,0.0,0.20400000000000001,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.10866666666666668,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.17733333333333334,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.32266666666666666,1.6
2024-01-01 04:30:00,0.001,0.001,0.0,0.6221333333333334,3.2
2024-01-01 04:45:00,0.001,0.001,0.0,0.05,4.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.05,4.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.09400000000000001,4.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.20466666666666666,1.3333333333333333
2024-01-01 05:45:00,0.001,0.001,0.0,0.2916666666666667,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.23033333333333333,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.060333333333333336,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.05157649898302314,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.09115707570600683,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.2438237423726735,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.2724904090393402,0.5333333333333333
2024-01-01 07:30:00,0.001,0.001,0.0,0.2294904090393402,2.6666666666666665
2024-01-01 07:45:00,0.001,0.001,0.0,0.10315707570600682,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.05394124745755783,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.06466666666666668,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.2593333333333333,0.0
2024-01-01 08:45:00,0.001,0.001,0.0,0.23999999999999996,0.0
2024-01-01 09:00:00,0.001,0.001,0.0,0.19466666666666665,0.0
2024-01-01 09:15:00,0.001,0.001,0.0,0.12233333333333334,0.0
2024-01-01 09:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 09:45:00,0.001,0.001,0.0,0.05,2.4
2024-01-01 10:00:00,0.001,0.001,0.0,0.2866666666666667,0.8
2024-01-01 10:15:00,0.001,0.001,0.0,0.2273333333333333,0.0
2024-01-01 10:30:00,0.001,0.001,0.0,0.16366666666666668,0.0
2024-01-01 10:45:00,0.001,0.001,0.0,0.15333333333333332,0.0
2024-01-01 11:00:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 11:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 11:30:00,0.001,0.001,0.0,0.2846666666666666,0.0
2024-01-01 11:45:00,0.001,0.001,0.0,0.22933333333333333,0.0
2024-01-01 12:00:00,0.001,0.001,0.0,0.13266666666666665,0.0
2024-01-01 12:15:00,0.001,0.001,0.0,0.18433333333333332,0.0
2024-01-01 12:30:00,0.001,0.001,0.0,0.05,0.8
2024-01-01 12:45:00,0.001,0.001,0.0,0.05,2.1333333333333333
2024-01-01 13:00:00,0.001,0.001,0.0,0.2826666666666667,0.0
2024-01-01 13:15:00,0.001,0.001,0.0,0.2313333333333333,0.0
2024-01-01 13:30:00,0.001,0.001,0.0,0.10166666666666666,0.0
2024-01-01 13:45:00,0.001,0.001,0.0,0.205,0.0
2024-01-01 14:00:00,0.001,0.001,0.0,0.060333333333333336,0.0
2024-01-01 14:15:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 14:30:00,0.001,0.001,0.0,0.2806666666666667,0.0
2024-01-01 14:45:00,0.001,0.001,0.0,0.23333333333333334,0.0
2024-01-01 15:00:00,0.001,0.001,0.0,0.07066666666666667,0.0
2024-01-01 15:15:00,0.001,0.001,0.0,0.205,0.0
2024-01-01 15:30:00,0.001,0.001,0.0,0.09133333333333332,2.4
2024-01-01 15:45:00,0.001,0.001,0.0,0.12260000000000001,0.5333333333333333
2024-01-01 16:00:00,0.001,0.001,0.0,0.39966666666666667,0.0
2024-01-01 16:15:00,0.001,0.001,0.0,0.35633333333333334,0.0
2024-01-01 16:30:00,0.001,0.001,0.0,0.171,0.0
2024-01-01 16:45:00,0.001,0.001,0.0,0.3156666666666667,0.0
2024-01-01 17:00:00,0.001,0.001,0.0,0.24333333333333335,0.0
2024-01-01 17:15:00,0.001,0.001,0.0,0.4498,0.0
2024-01-01 17:30:00,0.001,0.001,0.0,0.2766666666666666,0.0
2024-01-01 17:45:00,0.001,0.001,0.0,0.2373333333333333,0.0
2024-01-01 18:00:00,0.001,0.001,0.0,0.14679999999999999,0.0
2024-01-01 18:15:00,0.001,0.001,0.0,0.2846666666666667,0.0
2024-01-01 18:30:00,0.001,0.001,0.0,0.2743333333333334,2.933333333333333
2024-01-01 18:45:00,0.001,0.001,0.0,0.1836666666666667,0.0
2024-01-01 19:00:00,0.001,0.001,0.0,0.383,0.0
2024-01-01 19:15:00,0.001,0.001,0.0,0.2796666666666666,0.0
2024-01-01 19:30:00,0.001,0.001,0.0,0.05,0.0
2024-01-01 19:45:00,0.001,0.001,0.0,0.13266666666666665,0.0
2024-01-01 20:00:00,0.001,0.001,0.0,0.23273333333333335,0.0
2024-01-01 20:15:00,0.001,0.001,0.0,0.3296,0.0
