,BaseLoad,P_HP
2024-01-01 00:00:00,0.2439237423726735,0.0
2024-01-01 00:15:00,0.3095237423726735,0.0
2024-01-01 00:30:00,0.34915491615817823,0.0
2024-01-01 00:45:00,0.27248824949151157,0.0
2024-01-01 01:00:00,0.7579237423726735,0.0
2024-01-01 01:15:00,0.1955237423726735,0.0
2024-01-01 01:30:00,0.1955237423726735,0.0
2024-01-01 01:45:00,0.24619040903934017,0.0
2024-01-01 02:00:00,0.464613910056317,0.0
2024-01-01 02:15:00,0.25836666666666663,0.0
2024-01-01 02:30:00,0.10228,0.0
2024-01-01 02:45:00,0.048,0.0
2024-01-01 03:00:00,0.048,0.0
2024-01-01 03:15:00,0.5211333333333333,0.4
2024-01-01 03:30:00,0.2693333333333333,1.0
2024-01-01 03:45:00,0.2703333333333333,0.0
2024-01-01 04:00:00,0.169,0.6
2024-01-01 04:15:00,0.169,3.0
2024-01-01 04:30:00,0.23500000000000001,2.6
2024-01-01 04:45:00,0.15580000000000002,0.0
2024-01-01 05:00:00,0.16199999999999998,0.0
2024-01-01 05:15:00,0.21266666666666667,0.0
2024-01-01 05:30:00,0.048,0.0
2024-01-01 05:45:00,0.10666666666666667,0.0
2024-01-01 06:00:00,0.10666666666666667,0.0
2024-01-01 06:15:00,0.048,0.0
2024-01-01 06:30:00,0.49846666666666667,0.0
2024-01-01 06:45:00,0.24406666666666668,0.0
2024-01-01 07:00:00,0.15033333333333332,0.0
2024-01-01 07:15:00,3.0590666666666664,0.0
2024-01-01 07:30:00,1.022176498983023,0.0
2024-01-01 07:45:00,0.07282374237267351,0.0
2024-01-01 08:00:00,0.07282374237267351,0.0
2024-01-01 08:15:00,0.29415707570600685,0.0
2024-01-01 08:30:00,0.24315707570600684,0.0
2024-01-01 08:45:00,0.5850079141242245,0.0
2024-01-01 09:00:00,0.13846666666666665,0.0
2024-01-01 09:15:00,0.1932333333333333,0.0
2024-01-01 09:30:00,0.23336666666666664,0.0
2024-01-01 09:45:00,0.39136666666666664,0.0
2024-01-01 10:00:00,0.3605,0.0
2024-01-01 10:15:00,0.1837,0.0
2024-01-01 10:30:00,0.1837,0.0
2024-01-01 10:45:00,0.21563333333333332,0.6
2024-01-01 11:00:00,0.28469999999999995,1.2
2024-01-01 11:15:00,0.24736666666666665,0.0
2024-01-01 11:30:00,0.4593,0.0
2024-01-01 11:45:00,0.35569999999999996,0.0
2024-01-01 12:00:00,0.8597666666666666,0.0
2024-01-01 12:15:00,0.41303333333333325,0.0
2024-01-01 12:30:00,0.27736666666666665,0.0
2024-01-01 12:45:00,0.19669999999999999,0.0
2024-01-01 13:00:00,0.37403333333333333,0.0
2024-01-01 13:15:00,0.29969999999999997,0.0
2024-01-01 13:30:00,0.28636666666666666,0.0
2024-01-01 13:45:00,0.1837,0.0
2024-01-01 14:00:00,0.14751333333333333,0.0
2024-01-01 14:15:00,0.169,0.0
2024-01-01 14:30:00,0.2903333333333333,0.0
2024-01-01 14:45:00,0.4436666666666666,0.0
2024-01-01 15:00:00,0.169,0.0
2024-01-01 15:15:00,0.08026666666666667,0.0
2024-01-01 15:30:00,0.5810666666666667,0.0
2024-01-01 15:45:00,0.048,0.0
2024-01-01 16:00:00,0.32966666666666666,0.0
2024-01-01 16:15:00,0.7661333333333334,0.0
2024-01-01 16:30:00,0.207,0.0
2024-01-01 16:45:00,0.169,0.0
2024-01-01 17:00:00,0.169,0.0
2024-01-01 17:15:00,0.5259333333333334,0.0
2024-01-01 17:30:00,0.7044666666666667,0.0
2024-01-01 17:45:00,0.5939866666666667,0.0
2024-01-01 18:00:00,0.9268333333333333,0.0
2024-01-01 18:15:00,0.42569999999999997,0.0
2024-01-01 18:30:00,0.5210333333333333,0.0
2024-01-01 18:45:00,0.7506333333333333,0.0
2024-01-01 19:00:00,2.4101,1.6
2024-01-01 19:15:00,1.4433666666666665,0.4
2024-01-01 19:30:00,1.0941666666666665,0.0
2024-01-01 19:45:00,0.561213910056317,0.0
2024-01-01 20:00:00,0.7322570757060068,0.0
2024-01-01 20:15:00,0.46019040903934016,0.0
2024-01-01 20:30:00,1.9288570757060068,0.0
2024-01-01 20:45:00,1.4285237423726735,0.0
2024-01-01 21:00:00,0.7211904090393401,0.0
2024-01-01 21:15:00,1.0582570757060068,0.0
2024-01-01 21:30:00,0.8479589938981389,0.0
2024-01-01 21:45:00,0.9827237423726736,0.0
2024-01-01 22:00:00,0.5707904090393401,0.0
2024-01-01 22:15:00,0.9106570757060068,0.0
2024-01-01 22:30:00,0.6588570757060068,0.0
2024-01-01 22:45:00,0.5388570757060068,0.0
2024-01-01 23:00:00,0.4375237423726735,0.0
2024-01-01 23:15:00,0.9463904090393401,0.0
2024-01-01 23:30:00,0.3825237423726735,0.0
2024-01-01 23:45:00,0.2549237423726735,0.0
