,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP
2024-01-01 00:00:00,2.0,15.5,1.0947449954698578,15.48406893273738,13.756740058233303,12.0
2024-01-01 00:15:00,2.0,15.5,1.0947449954698578,15.450514377130018,13.770503449999987,12.0
2024-01-01 00:30:00,2.0,15.5,1.0947449954698578,15.417838644850507,13.78324705218627,12.0
2024-01-01 00:45:00,2.0,15.5,1.0947449954698578,15.386006778391303,13.795016639290855,12.0
2024-01-01 01:00:00,2.0,15.5,1.0947449954698578,15.354985305120397,13.805856014363542,12.0
2024-01-01 01:15:00,2.0,15.5,1.0947449954698578,15.324742173717995,13.815807093529385,12.0
2024-01-01 01:30:00,2.0,15.5,1.0947449954698578,15.295246693336571,13.824909986890846,12.0
2024-01-01 01:45:00,2.0,15.5,1.0947449954698578,15.266469475367582,13.833203075963086,12.0
2024-01-01 02:00:00,2.0,15.5,1.0947449954698578,15.23809298777271,13.835851875143257,11.0
2024-01-01 02:15:00,2.0,15.5,1.0947449954698578,15.209934108637258,13.832383440973874,11.0
2024-01-01 02:30:00,1.0,17.9,1.0947449954698578,15.28040379992878,13.828658767819173,11.0
2024-01-01 02:45:00,2.0,15.5,1.0947449954698578,15.991649581684625,13.833086823197318,11.0
2024-01-01 03:00:00,2.0,15.5,1.0947449954698578,15.98797663849279,13.844311977896274,11.0
2024-01-01 03:15:00,2.0,15.5,1.0947449954698578,15.945901340287131,13.854494902368454,11.0
2024-01-01 03:30:00,2.0,15.5,1.0947449954698578,15.904799891991054,13.863603676416465,11.0
2024-01-01 03:45:00,2.0,15.5,1.0947449954698578,15.864634568679215,13.871687407410642,11.0
2024-01-01 04:00:00,2.0,15.5,1.0947449954698578,15.825369242584427,13.878793083613466,11.0
2024-01-01 04:15:00,2.0,17.9,1.0947449954698578,16.19740313973968,13.887492243423234,11.0
2024-01-01 04:30:00,1.0,20.7,1.0947449954698578,16.83546681271074,13.9052770679346,11.0
2024-01-01 04:45:00,1.0,21.5,1.0947449954698578,18.221209444011148,13.941934523760839,11.0
2024-01-01 05:00:00,1.0,21.5,1.0947449954698578,19.600655865008772,13.998672507381666,10.0
2024-01-01 05:15:00,1.0,21.5,1.0947449954698578,20.954885295676156,14.073817354101859,10.0
2024-01-01 05:30:00,1.0,21.5,1.0947449954698578,21.925894923118076,14.170526294263963,10.0
2024-01-01 05:45:00,2.0,19.5,1.0947449954698578,21.842150146094678,14.271980976621654,10.0
2024-01-01 06:00:00,1.0,17.1,1.0947449954698578,21.697329405071745,14.367893980761561,10.0
2024-01-01 06:15:00,1.0,21.5,1.0947449954698578,21.556962861268456,14.45834982511458,10.0
2024-01-01 06:30:00,2.0,21.1,1.0947449954698578,21.420868112579942,14.543588853890848,10.0
2024-01-01 06:45:00,2.0,15.5,1.0947449954698578,21.288870531902475,14.62384108122504,10.0
2024-01-01 07:00:00,2.0,15.5,1.0947449954698578,21.160805477445777,14.699326647835713,10.0
2024-01-01 07:15:00,1.0,19.5,1.0947449954698578,21.056170764921333,14.770264567656202,10.0
2024-01-01 07:30:00,1.0,21.5,1.0947449954698578,21.794233755214808,14.843336195060958,10.0
2024-01-01 07:45:00,3.0,21.5,1.0947449954698578,21.95145510357195,14.92599131858174,10.0
2024-01-01 08:00:00,3.0,21.5,1.0947449954698578,21.81681248468899,15.005020014368707,10.0
2024-01-01 08:15:00,3.0,21.5,1.0947449954698578,21.686557982950706,15.079273460747459,10.0
2024-01-01 08:30:00,3.0,21.5,1.0947449954698578,21.560092120304386,15.14896599935271,10.0
2024-01-01 08:45:00,1.0,21.5,1.0947449954698578,21.43726121348367,15.214299724207487,10.0
2024-01-01 09:00:00,1.0,21.5,1.0947449954698578,21.318366639003298,15.275470483241147,10.0
2024-01-01 09:15:00,1.0,21.5,1.0947449954698578,21.203319995712395,15.33267513824567,10.0
2024-01-01 09:30:00,1.0,21.5,1.0947449954698578,21.09146789722833,15.386093698262961,10.0
2024-01-01 09:45:00,1.0,21.5,1.0947449954698578,21.27667380970321,15.436883281141625,10.0
2024-01-01 10:00:00,1.0,21.5,1.0947449954698578,22.02376035416785,15.502500562594362,11.0
2024-01-01 10:15:00,3.0,21.5,1.0947449954698578,21.923638636889176,15.576966315645503,11.0
2024-01-01 10:30:00,1.0,21.5,1.0947449954698578,21.807414847558643,15.647090668916764,11.0
2024-01-01 10:45:00,1.0,21.5,1.0947449954698578,21.694641668224403,15.713033516259928,11.0
2024-01-01 11:00:00,1.0,21.5,1.0947449954698578,21.587282074068806,15.779860821137955,12.0
2024-01-01 11:15:00,1.0,21.5,1.0947449954698578,21.485569991888447,15.848305221052524,12.0
2024-01-01 11:30:00,1.0,21.5,1.0947449954698578,21.387005820536793,15.91288560865016,12.0
2024-01-01 11:45:00,3.0,21.5,1.0947449954698578,21.29146051931875,15.973772052655953,12.0
2024-01-01 12:00:00,1.0,21.5,1.0947449954698578,21.19804791355912,16.03112315411827,12.0
