,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,SoC_ref_EV,EV_arrival,EV_departure,EV_plugged,SoC_arr_EV
2024-01-01 00:00:00,2.0,15.0,0.2902089102591438,14.993774134904092,13.50269188450009,12.0,0.0,0,0,0,0.0
2024-01-01 00:15:00,2.0,15.0,0.2902089102591438,14.980531394801918,13.508350699136765,12.0,0.0,0,0,0,0.0
2024-01-01 00:30:00,2.0,15.0,0.2902089102591438,14.967439490764201,13.51384189454309,12.0,0.0,0,0,0,0.0
2024-01-01 00:45:00,2.0,15.0,0.2902089102591438,14.954495931321294,13.519168575287273,12.0,0.0,0,0,0,0.0
2024-01-01 01:00:00,2.0,15.0,0.2902089102591438,14.941698268675067,13.52433379076527,12.0,0.0,0,0,0,0.0
2024-01-01 01:15:00,2.0,15.0,0.2902089102591438,14.92904409792779,13.529340536176619,12.0,0.0,0,0,0,0.0
2024-01-01 01:30:00,2.0,15.0,0.2902089102591438,14.916531056324589,13.534191753482991,12.0,0.0,0,0,0,0.0
2024-01-01 01:45:00,2.0,15.0,0.2902089102591438,14.904156822509327,13.538890332349832,12.0,0.0,0,0,0,0.0
2024-01-01 02:00:00,2.0,15.0,0.2902089102591438,14.891599346251041,13.541624738870471,11.0,0.0,0,0,0,0.0
2024-01-01 02:15:00,2.0,15.0,0.2902089102591438,14.878795507760184,13.542164230958496,11.0,0.0,0,0,0,0.0
2024-01-01 02:30:00,2.0,15.0,0.2902089102591438,14.866100532404362,13.542598803591302,11.0,0.0,0,0,0,0.0
2024-01-01 02:45:00,2.0,15.0,0.2902089102591438,14.853512742388926,13.542930511385622,11.0,0.0,0,0,0,0.0
2024-01-01 03:00:00,2.0,15.0,0.2902089102591438,14.841030489058081,13.543161372222013,11.0,0.0,0,0,0,0.0
2024-01-01 03:15:00,2.0,15.0,0.2902089102591438,14.8286521523809,13.543293367895084,11.0,0.0,0,0,0,0.0
2024-01-01 03:30:00,2.0,16.4,0.2902089102591438,15.382040549351506,13.544337865568606,11.0,0.0,0,0,0,0.0
2024-01-01 03:45:00,2.0,15.7,0.2902089102591438,16.38072106828164,13.553000342039237,11.0,0.0,0,0,0,0.0
2024-01-01 04:00:00,1.0,15.466666666666667,0.2902089102591438,16.480954825280268,13.56563497878974,11.0,0.0,0,0,0,0.0
2024-01-01 04:15:00,1.0,18.5,0.2902089102591438,18.100568053191797,13.582460695334218,11.0,0.0,0,0,0,0.0
2024-01-01 04:30:00,1.0,18.5,0.2902089102591438,19.03859021130402,13.61248407434052,11.0,0.0,0,0,0,0.0
2024-01-01 04:45:00,1.0,18.5,0.2902089102591438,18.99236829883453,13.64415987536741,11.0,0.0,0,0,0,0.0
2024-01-01 05:00:00,1.0,18.5,0.2902089102591438,18.946442487531133,13.673298083821727,10.0,0.0,0,0,0,0.0
2024-01-01 05:15:00,1.0,18.5,0.2902089102591438,18.900741434495874,13.69967829572684,10.0,0.0,0,0,0,0.0
2024-01-01 05:30:00,1.0,18.5,0.2902089102591438,18.855612286811795,13.725400661013827,10.0,0.0,0,0,0,0.0
2024-01-01 05:45:00,1.0,18.5,0.2902089102591438,18.81104543066481,13.750477209335248,10.0,0.0,0,0,0,0.0
2024-01-01 06:00:00,1.0,18.5,0.2902089102591438,18.76703142113125,13.774919756870663,10.0,0.0,0,0,0,0.0
2024-01-01 06:15:00,1.0,18.5,0.2902089102591438,18.72356097919486,13.798739910101661,10.0,0.0,0,0,0,0.0
2024-01-01 06:30:00,1.0,18.5,0.2902089102591438,18.680624988816476,13.821949069520121,10.0,0.0,0,0,0,0.0
2024-01-01 06:45:00,1.0,18.5,0.2902089102591438,18.638214494055457,13.844558433270945,10.0,0.0,0,0,0,0.0
2024-01-01 07:00:00,3.0,18.5,0.2902089102591438,18.59632752259614,13.866579016044652,10.0,0.0,0,0,0,0.0
2024-01-01 07:15:00,1.0,18.5,0.2902089102591438,18.554956328335745,13.888021696680106,10.0,0.0,0,0,0,0.0
2024-01-01 07:30:00,1.0,18.5,0.2902089102591438,18.514084576104526,13.908897108378913,10.0,0.7633333333333336,1,0,1,0.7388888888888889
2024-01-01 07:45:00,1.0,17.8,0.2902089102591438,18.473703924375076,13.929215672857474,10.0,0.8000000000000007,0,0,1,0.0
2024-01-01 08:00:00,1.0,18.5,0.2902089102591438,18.434283184539915,13.948988696912613,10.0,0.8000000000000007,0,0,1,0.0
2024-01-01 08:15:00,1.0,18.5,0.2902089102591438,18.395877060202302,13.968231456415063,10.0,0.8000000000000007,0,0,1,0.0
2024-01-01 08:30:00,1.0,18.5,0.2902089102591438,18.357929611431338,13.986955286730623,10.0,0.8000000000000007,0,0,1,0.0
2024-01-01 08:45:00,1.0,18.5,0.2902089102591438,18.32043319283994,14.005169735310886,10.0,0.0,0,1,0,0.0
2024-01-01 09:00:00,1.0,18.5,0.2902089102591438,18.283840926807255,14.022885213451511,10.0,0.0,0,0,0,0.0
2024-01-01 09:15:00,1.0,18.5,0.2902089102591438,18.248206034771226,14.04011597426825,10.0,0.0,0,0,0,0.0
2024-01-01 09:30:00,1.0,18.5,0.2902089102591438,18.21299204755533,14.05687247444984,10.0,0.0,0,0,0,0.0
2024-01-01 09:45:00,3.0,18.5,0.2902089102591438,18.178191963865206,14.073163452806641,10.0,0.0,0,0,0,0.0
2024-01-01 10:00:00,1.0,18.5,0.2902089102591438,18.145744193315757,14.090815511833553,11.0,0.0,0,0,0,0.0
2024-01-01 10:15:00,1.0,18.5,0.2902089102591438,18.11591671003928,14.110088404296283,11.0,0.0,0,0,0,0.0
2024-01-01 10:30:00,1.0,18.5,0.2902089102591438,18.086477899255257,14.128908126761324,11.0,0.0,0,0,0,0.0
