,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 00:00:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.5,13.75,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.498656858615165,13.750760070820863,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:02:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.497315182822506,13.751518510355659,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:03:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.495974970490593,13.75227532113476,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:04:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.494636219491206,13.753030505684714,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.49329892769932,13.753784066528246,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:06:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.491963092993105,13.754536006184262,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:07:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.490628713253924,13.755286327167862,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:08:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.489295786366325,13.75603503199034,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:09:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.487964310218036,13.756782123159189,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:10:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.486634282699958,13.757527603178112,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:11:00,2.0,0.0,0.0,60.0,60.0,15.5,0.5790360513319585,15.485305701706167,13.75827147454702,12.0,3.85112,0.0,0.0,0.0,0.0
2024-01-01 00:12:00,2.0,0.0,0.0,59.724,60.0,15.5,0.5790360513319585,15.483978565133903,13.759013739762047,12.0,3.85112,0.0,0.0,0.0,0.0
2024-01-01 00:13:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.482652870883566,13.759754401315547,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:14:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.481328616858717,13.760493461696107,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:15:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.480005800966063,13.761230923388547,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:16:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.478684421115464,13.761966788873929,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:17:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.477364475219916,13.76270106062956,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:18:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.47604596119556,13.763433741129,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:19:00,2.0,0.0,0.0,59.44799999999999,60.0,15.5,0.5790360513319585,15.474728876961663,13.76416483284207,12.0,3.85112,0.0,0.0,0.0,0.0
2024-01-01 00:20:00,2.0,0.0,0.0,59.17199999999999,60.0,15.5,0.5790360513319585,15.473413220440627,13.76489433823485,12.0,3.85112,0.0,0.0,0.0,0.0
