,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 00:00:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,15.0,13.5,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.999060409981803,13.500433010043402,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:02:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.99812158601571,13.50086517119933,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:03:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.99718352721804,13.50129648455164,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:04:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.996246232706184,13.501726951182853,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.995309701598611,13.502156572174162,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:06:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.994373933014854,13.502585348605425,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:07:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.993438926075521,13.503013281555177,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:08:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.992504679902288,13.503440372100624,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:09:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.991571193617895,13.503866621317648,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:10:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.990638466346155,13.504292030280808,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:11:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.98970649721194,13.504716600063341,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:12:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.988775285341186,13.505140331737165,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:13:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.987844829860896,13.505563226372876,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:14:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.986915129899128,13.50598528503976,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:15:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.985986184585004,13.506406508805782,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:16:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.985057993048704,13.506826898737595,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:17:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.984130554421462,13.507246455900543,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:18:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.983203867835572,13.507665181358654,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:19:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.982277932424378,13.508083076174653,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:20:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.98135274732228,13.508500141409955,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:21:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.980428311664731,13.508916378124672,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:22:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.979504624588232,13.50933178737761,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:23:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.978581685230335,13.50974637022627,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:24:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.977659492729638,13.51016012772686,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:25:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.976738046225789,13.51057306093428,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:26:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.975817344859479,13.51098517090214,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:27:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.974897387772444,13.51139645868275,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:28:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.973978174107463,13.511806925327127,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:29:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.973059703008358,13.512216571884995,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:30:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.972141973619989,13.512625399404786,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:31:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.971224985088256,13.513033408933644,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:32:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.970308736560098,13.513440601517425,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:33:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.969393227183488,13.513846978200696,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:34:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.968478456107439,13.514252540026742,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:35:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.967564422481994,13.514657288037565,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:36:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.966651125458228,13.515061223273882,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:37:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.965738564188252,13.515464346775135,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:38:00,2.0,0.0,0.0,60.0,60.0,15.0,0.30411293812092444,14.964826737825202,13.515866659579482,12.0,0.0,0.0,0.0,0.0,0.0
