,Occupancy,EV_plugged,SoC_ref_EV,T_ref_WB,T_set_WB,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,P_use_WB,P_loss_WB,EV_arrival,EV_departure,SoC_arr_EV
2024-01-01 00:00:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,15.0,13.5,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:01:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.998761479623301,13.500741550851574,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:02:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.997524452863534,13.501481440528325,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:03:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.996288917365863,13.502219671797212,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:04:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.995054870779272,13.502956247420679,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:05:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.993822310756558,13.50369117015667,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:06:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.992591234954325,13.504424442758637,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:07:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.991361641032977,13.50515606797554,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:08:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.990133526656715,13.505886048551858,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:09:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.988906889493524,13.506614387227602,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:10:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.987681727215177,13.507341086738313,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:11:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.986458037497218,13.508066149815074,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:12:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.985235818018964,13.508789579184517,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:13:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.984015066463495,13.509511377568831,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:14:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.98279578051765,13.510231547685768,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:15:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.981577957872018,13.510950092248647,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:16:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.980361596220934,13.511667013966369,12.0,0.0,0.0,0.0,0.0,0.0
2024-01-01 00:17:00,2.0,0.0,0.0,60.0,60.0,15.0,0.5018927509639478,14.979146693262473,13.512382315543416,12.0,0.0,0.0,0.0,0.0,0.0
