,WasherDryer,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.23254666666666665,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.3807,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.2287,0.0,0.7
2024-01-01 00:45:00,0.001,0.001,0.19069999999999998,0.0,1.5
2024-01-01 01:00:00,0.001,0.001,0.19069999999999998,0.0,1.5
2024-01-01 01:15:00,0.001,0.001,0.19069999999999998,0.0,0.9
2024-01-01 01:30:00,0.001,0.001,0.34235333333333334,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.3807,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.21603333333333333,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.19069999999999998,0.0,1.3
2024-01-01 02:30:00,0.001,0.001,0.19069999999999998,0.0,0.7
2024-01-01 02:45:00,0.001,0.001,0.5905,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.7997666666666665,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.38701043947058283,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.23491886401958098,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.2222521973529143,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.2222521973529143,0.26666666666666666,0.6
2024-01-01 04:15:00,0.001,0.001,0.2222521973529143,4.0,1.5
2024-01-01 04:30:00,0.001,0.001,0.31091886401958096,3.7333333333333334,0.0
2024-01-01 04:45:00,0.001,0.001,0.3807,0.0,0.0
2024-01-01 05:00:00,0.001,0.001,0.19069999999999998,0.26666666666666666,0.9
2024-01-01 05:15:00,0.001,0.001,0.19069999999999998,4.0,1.5
2024-01-01 05:30:00,0.001,0.001,0.14546666666666666,2.1333333333333333,1.5
2024-01-01 05:45:00,0.001,0.001,0.055,0.0,1.5
2024-01-01 06:00:00,0.001,0.001,0.15633333333333332,0.0,1.5
2024-01-01 06:15:00,0.001,0.001,0.7654,0.0,1.5
2024-01-01 06:30:00,0.001,0.001,0.055,0.0,1.5
2024-01-01 06:45:00,0.001,0.001,0.055,0.0,1.5
2024-01-01 07:00:00,0.001,0.001,0.055,0.0,1.5
2024-01-01 07:15:00,0.001,0.001,0.06193333333333333,0.0,1.5
2024-01-01 07:30:00,0.001,0.001,0.182,0.0,1.5
2024-01-01 07:45:00,0.001,0.001,0.2326666666666667,0.0,1.5
2024-01-01 08:00:00,0.001,0.001,0.068,0.0,1.5
2024-01-01 08:15:00,0.001,0.001,0.068,0.0,1.5
2024-01-01 08:30:00,0.001,0.001,0.060200000000000004,0.0,1.5
2024-01-01 08:45:00,0.001,0.001,0.4547999999999999,0.0,1.2
2024-01-01 09:00:00,0.001,0.001,0.3811733333333333,0.0,0.0
2024-01-01 09:15:00,0.001,0.001,0.23775074440662725,0.0,0.0
2024-01-01 09:30:00,0.001,0.001,0.06682374237267351,0.8,0.0
2024-01-01 09:45:00,0.001,0.001,0.06682374237267351,0.8,0.0
2024-01-01 10:00:00,0.001,0.001,0.06682374237267351,0.0,0.0
2024-01-01 10:15:00,0.001,0.001,0.06603549288116194,0.0,1.2
2024-01-01 10:30:00,0.001,0.001,0.2153681315686095,0.0,1.5
2024-01-01 10:45:00,0.001,0.001,0.5586855306862476,0.0,1.5
2024-01-01 11:00:00,0.001,0.001,4.1146855306862475,0.0,1.5
2024-01-01 11:15:00,0.001,0.001,3.2819521973529144,0.0,1.1
2024-01-01 11:30:00,0.001,0.001,0.08655219735291432,0.0,1.5
2024-01-01 11:45:00,0.6865634812499747,0.001,0.08444871752938668,0.0,1.5
2024-01-01 12:00:00,0.7920347860576631,0.001,0.25580754560783237,0.0,0.2
2024-01-01 12:15:00,0.7920347860576631,0.001,0.34891886401958094,0.0,0.0
2024-01-01 12:30:00,0.7920347860576631,0.001,0.7553188640195809,0.0,0.0
2024-01-01 12:45:00,0.7920347860576631,0.001,0.2222521973529143,0.0,0.0
2024-01-01 13:00:00,0.7920347860576631,0.001,0.3835855306862477,2.6666666666666665,0.2
2024-01-01 13:15:00,0.7920347860576631,0.001,0.997318864019581,0.0,1.5
2024-01-01 13:30:00,0.7920347860576631,0.001,0.628918864019581,0.0,1.5
2024-01-01 13:45:00,0.7920347860576631,0.001,0.5782521973529142,0.0,0.4
2024-01-01 14:00:00,0.7920347860576631,0.001,0.9889049447254705,0.0,0.0
2024-01-01 14:15:00,0.7920347860576631,0.001,0.2794333333333333,0.0,0.0
2024-01-01 14:30:00,0.7920347860576631,0.001,0.19069999999999998,0.0,0.0
2024-01-01 14:45:00,0.7920347860576631,0.001,0.19069999999999998,0.0,0.0
2024-01-01 15:00:00,0.7920347860576631,0.001,0.7678333333333333,0.0,1.2
2024-01-01 15:15:00,0.05373565240384421,0.001,0.2920333333333333,0.0,0.9
2024-01-01 15:30:00,0.001,0.001,0.19069999999999998,0.0,0.0
2024-01-01 15:45:00,0.001,0.001,0.2222521973529143,0.0,0.0
