,TumbleDryer,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.161,0.26666666666666666
2024-01-01 00:15:00,0.001,0.073,2.1333333333333333
2024-01-01 00:30:00,0.001,0.051,0.0
2024-01-01 00:45:00,0.001,0.051,0.0
2024-01-01 01:00:00,0.001,0.15233333333333335,0.0
2024-01-01 01:15:00,0.001,0.211,0.0
2024-01-01 01:30:00,0.001,0.13899999999999998,0.0
2024-01-01 01:45:00,0.001,0.051,0.0
2024-01-01 02:00:00,0.001,0.051,0.0
2024-01-01 02:15:00,0.001,0.051,0.0
2024-01-01 02:30:00,0.001,0.165,0.0
2024-01-01 02:45:00,0.001,0.24233333333333332,0.0
2024-01-01 03:00:00,0.001,0.095,0.0
2024-01-01 03:15:00,0.001,0.051,0.0
2024-01-01 03:30:00,0.001,0.051,0.0
2024-01-01 03:45:00,0.001,0.051,0.0
2024-01-01 04:00:00,0.001,0.21433333333333332,0.0
2024-01-01 04:15:00,0.001,0.237,0.0
2024-01-01 04:30:00,0.001,0.051,0.0
2024-01-01 04:45:00,0.001,0.051,0.0
2024-01-01 05:00:00,0.001,0.051,1.3333333333333333
2024-01-01 05:15:00,0.001,0.051,1.0666666666666667
2024-01-01 05:30:00,0.001,0.6708,0.0
2024-01-01 05:45:00,0.001,0.18033333333333335,0.0
2024-01-01 06:00:00,0.001,0.051,0.0
2024-01-01 06:15:00,0.001,0.051,0.0
2024-01-01 06:30:00,0.001,0.051,0.0
2024-01-01 06:45:00,0.001,0.06566666666666666,0.0
2024-01-01 07:00:00,0.001,0.31299999999999994,0.0
2024-01-01 07:15:00,0.001,0.13146666666666668,0.0
2024-01-01 07:30:00,0.001,0.064,0.0
2024-01-01 07:45:00,0.001,0.064,0.0
2024-01-01 08:00:00,0.001,0.064,0.0
2024-01-01 08:15:00,0.001,0.11053333333333333,0.0
2024-01-01 08:30:00,0.001,0.30366666666666664,0.0
2024-01-01 08:45:00,0.001,0.089,0.0
2024-01-01 09:00:00,0.001,0.051,0.0
2024-01-01 09:15:00,0.001,0.051,0.0
2024-01-01 09:30:00,0.001,0.0615173991176381,0.0
2024-01-01 09:45:00,0.047599999999999996,0.185218864019581,0.0
2024-01-01 10:00:00,1.6749872683640312,0.30388553068624763,0.0
2024-01-01 10:15:00,1.938184883948303,0.10788553068624764,2.1333333333333333
2024-01-01 10:30:00,1.4662601493572336,0.47814523770585904,0.0
2024-01-01 10:45:00,0.3818595141041135,0.051,0.0
2024-01-01 11:00:00,1.0926026347692794,0.20866666666666667,0.0
2024-01-01 11:15:00,1.0674127282709998,0.7064,0.0
2024-01-01 11:30:00,1.3841265979895119,2.484,0.0
2024-01-01 11:45:00,0.001,2.1652,0.0
2024-01-01 12:00:00,0.001,2.294,0.0
2024-01-01 12:15:00,0.001,1.7200666666666669,0.0
2024-01-01 12:30:00,0.001,0.13166666666666668,0.0
2024-01-01 12:45:00,0.001,0.22726666666666664,0.0
2024-01-01 13:00:00,0.001,0.40061886401958097,0.0
2024-01-01 13:15:00,0.001,0.2207051953189606,0.0
2024-01-01 13:30:00,0.001,0.2293759397255878,0.0
2024-01-01 13:45:00,0.001,0.1952426063922545,0.0
2024-01-01 14:00:00,0.001,0.2069759397255878,0.0
2024-01-01 14:15:00,0.001,0.2500057932353935,0.0
2024-01-01 14:30:00,0.001,0.23463932926542588,0.0
2024-01-01 14:45:00,0.001,0.051,0.0
2024-01-01 15:00:00,0.001,0.051,0.0
2024-01-01 15:15:00,0.001,0.10966666666666666,0.0
2024-01-01 15:30:00,0.001,0.15113333333333331,0.0
