,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.243,0.0,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.08918666666666666,0.0,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.19421774644058096,0.0,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.2005237423726735,0.0,2.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.2005237423726735,0.0,1.4
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.21319040903934017,0.0,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.3905237423726735,0.0,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.2891904090393402,0.0,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.1926412474575578,0.0,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.30269999999999997,0.0,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.3660333333333333,0.0,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.2,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.21403333333333333,3.0,2.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.3787,1.6,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.2647,0.0,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.18869999999999998,0.0,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.13441999999999998,1.8,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.053,0.0,0.0
