,TumbleDryer,BaseLoad,P_HP,P_WB
2024-01-01 00:00:00,0.001,0.11033333333333334,0.0,0.0
2024-01-01 00:15:00,0.001,0.237,0.0,0.0
2024-01-01 00:30:00,0.001,0.08499999999999999,0.0,0.0
2024-01-01 00:45:00,0.001,0.047,0.0,0.0
2024-01-01 01:00:00,0.001,0.047,0.0,0.0
2024-01-01 01:15:00,0.001,0.047,0.0,0.0
2024-01-01 01:30:00,0.001,0.09766666666666665,0.0,0.0
2024-01-01 01:45:00,0.001,0.237,0.0,0.0
2024-01-01 02:00:00,0.001,0.09766666666666665,0.5333333333333333,0.0
2024-01-01 02:15:00,0.001,0.047,1.8666666666666667,0.0
2024-01-01 02:30:00,0.001,0.047,0.0,0.0
2024-01-01 02:45:00,0.001,0.047,0.0,0.0
2024-01-01 03:00:00,0.001,0.08499999999999999,0.0,1.6
2024-01-01 03:15:00,0.001,0.237,0.0,0.4
2024-01-01 03:30:00,0.001,0.11033333333333334,0.0,0.0
2024-01-01 03:45:00,0.001,0.047,0.0,0.0
2024-01-01 04:00:00,0.001,0.047,0.0,0.0
2024-01-01 04:15:00,0.001,0.047,1.2,0.0
2024-01-01 04:30:00,0.001,0.07233333333333333,2.0,0.0
2024-01-01 04:45:00,0.001,0.237,2.0,0.0
2024-01-01 05:00:00,0.001,0.123,2.0,0.0
2024-01-01 05:15:00,0.001,0.047,0.0,0.0
2024-01-01 05:30:00,0.001,0.047,0.0,0.0
2024-01-01 05:45:00,0.001,0.047,0.0,0.0
2024-01-01 06:00:00,0.001,0.059666666666666666,0.0,0.0
2024-01-01 06:15:00,0.001,0.237,0.0,0.0
2024-01-01 06:30:00,0.001,0.13566666666666669,0.0,2.8
2024-01-01 06:45:00,0.001,0.047,0.0,1.4
2024-01-01 07:00:00,0.001,0.047,0.4,1.0
2024-01-01 07:15:00,0.001,0.047,2.0,0.0
2024-01-01 07:30:00,0.001,0.047,1.6,0.0
2024-01-01 07:45:00,0.001,0.237,1.2,0.0
2024-01-01 08:00:00,0.001,0.14833333333333334,0.0,0.0
2024-01-01 08:15:00,0.001,0.047,0.0,0.6
2024-01-01 08:30:00,0.001,0.047,0.0,1.8
2024-01-01 08:45:00,0.001,0.047,0.26666666666666666,0.0
2024-01-01 09:00:00,0.001,0.047,2.0,0.0
2024-01-01 09:15:00,0.001,0.22433333333333333,0.4,2.0
2024-01-01 09:30:00,0.001,0.17053333333333331,0.0,0.6
2024-01-01 09:45:00,0.001,0.05999999999999999,0.0,3.0
2024-01-01 10:00:00,0.001,1.9266666666666667,0.0,3.0
2024-01-01 10:15:00,0.001,1.2600000000000002,0.0,0.8
2024-01-01 10:30:00,0.001,0.05999999999999999,0.0,0.0
2024-01-01 10:45:00,0.001,0.21166666666666664,0.0,0.0
2024-01-01 11:00:00,0.001,0.17886666666666665,0.0,0.0
2024-01-01 11:15:00,0.001,0.05999999999999999,1.3333333333333333,2.0
2024-01-01 11:30:00,0.001,0.05999999999999999,1.2,0.4
2024-01-01 11:45:00,0.001,0.05999999999999999,0.0,0.0
2024-01-01 12:00:00,0.001,0.054799999999999995,0.0,0.0
2024-01-01 12:15:00,0.001,0.19899999999999998,0.0,1.0
2024-01-01 12:30:00,0.001,0.18633333333333332,0.0,3.0
2024-01-01 12:45:00,0.001,0.047,0.0,1.2
2024-01-01 13:00:00,0.001,0.047,0.0,0.0
2024-01-01 13:15:00,0.001,0.06286666666666667,0.0,0.0
2024-01-01 13:30:00,0.001,0.181,0.0,0.0
2024-01-01 13:45:00,0.001,0.4342,0.0,0.0
2024-01-01 14:00:00,0.001,0.855,0.0,0.0
2024-01-01 14:15:00,0.001,2.301510439470583,0.0,0.0
2024-01-01 14:30:00,0.001,0.6489521973529143,0.5333333333333333,0.0
2024-01-01 14:45:00,0.001,0.20055219735291427,2.0,0.0
2024-01-01 15:00:00,0.001,0.19241886401958094,0.0,3.0
2024-01-01 15:15:00,0.001,0.20521886401958098,0.0,3.0
2024-01-01 15:30:00,0.001,0.23480494472547048,0.0,0.4
2024-01-01 15:45:00,0.001,0.5800666666666666,0.0,0.0
2024-01-01 16:00:00,0.001,0.047,0.0,0.0
2024-01-01 16:15:00,0.001,0.047,0.0,1.6
2024-01-01 16:30:00,0.001,0.047,0.0,0.6
2024-01-01 16:45:00,0.001,0.161,0.0,0.0
2024-01-01 17:00:00,0.001,0.22433333333333333,0.0,0.0
2024-01-01 17:15:00,0.001,0.047,0.0,0.0
2024-01-01 17:30:00,0.001,0.047,0.0,0.0
2024-01-01 17:45:00,0.001,0.3668666666666667,1.2,0.0
2024-01-01 18:00:00,0.001,2.4712417578823316,1.3333333333333333,0.8
2024-01-01 18:15:00,0.001,0.17988553068624763,0.0,1.4
2024-01-01 18:30:00,0.001,0.2685521973529143,0.0,0.0
2024-01-01 18:45:00,0.001,0.07855219735291431,0.0,0.0
2024-01-01 19:00:00,0.001,0.06382783858822096,0.0,0.0
2024-01-01 19:15:00,0.001,0.047,0.0,0.0
2024-01-01 19:30:00,0.001,0.047,0.0,0.0
2024-01-01 19:45:00,0.001,0.13566666666666669,0.0,0.0
2024-01-01 20:00:00,0.001,0.237,0.0,0.0
2024-01-01 20:15:00,0.001,0.059666666666666666,0.0,0.0
2024-01-01 20:30:00,0.001,0.047,0.0,2.6
2024-01-01 20:45:00,0.001,0.047,0.0,0.0
2024-01-01 21:00:00,0.001,0.047,1.6,0.0
2024-01-01 21:15:00,0.001,0.13926666666666668,0.9333333333333333,2.8
2024-01-01 21:30:00,0.001,0.359,0.0,0.8
2024-01-01 21:45:00,0.001,0.19433333333333333,0.0,2.2
2024-01-01 22:00:00,0.001,0.5688,0.0,0.0
2024-01-01 22:15:00,0.001,0.18082374237267348,0.0,1.8
2024-01-01 22:30:00,0.001,0.18082374237267348,0.0,0.8
2024-01-01 22:45:00,0.001,0.16282374237267352,0.0,0.0
2024-01-01 23:00:00,0.001,0.28915707570600685,0.0,0.0
2024-01-01 23:15:00,0.001,0.21782374237267352,0.0,0.0
2024-01-01 23:30:00,0.001,0.16878824949151158,0.0,0.0
2024-01-01 23:45:00,0.001,0.7010666666666666,0.0,0.0
2024-01-02 00:00:00,0.001,0.168,0.0,0.0
2024-01-02 00:15:00,0.001,0.20253333333333334,0.0,0.0
2024-01-02 00:30:00,0.001,0.237,0.0,0.0
2024-01-02 00:45:00,0.001,0.09766666666666665,0.0,0.0
2024-01-02 01:00:00,0.001,0.047,0.0,0.0
2024-01-02 01:15:00,0.001,0.047,0.0,0.4
2024-01-02 01:30:00,0.001,0.047,0.0,1.6
2024-01-02 01:45:00,0.001,0.08499999999999999,0.0,0.0
2024-01-02 02:00:00,0.001,0.237,0.0,0.0
2024-01-02 02:15:00,0.001,0.11033333333333334,0.0,0.0
2024-01-02 02:30:00,0.001,0.047,0.0,0.0
2024-01-02 02:45:00,0.001,0.047,0.0,0.0
2024-01-02 03:00:00,0.001,0.047,0.0,0.0
2024-01-02 03:15:00,0.001,0.07233333333333333,0.0,0.0
2024-01-02 03:30:00,0.001,0.237,0.0,0.0
2024-01-02 03:45:00,0.001,0.123,0.0,0.0
2024-01-02 04:00:00,0.001,0.047,0.0,0.0
2024-01-02 04:15:00,0.001,0.047,0.9333333333333333,0.0
2024-01-02 04:30:00,0.001,0.047,1.0666666666666667,0.0
2024-01-02 04:45:00,0.001,0.059666666666666666,0.8,0.0
2024-01-02 05:00:00,0.001,0.237,0.0,0.0
2024-01-02 05:15:00,0.001,0.13566666666666669,1.7333333333333334,0.0
2024-01-02 05:30:00,0.001,0.047,1.0666666666666667,0.0
2024-01-02 05:45:00,0.001,0.047,0.0,0.4
2024-01-02 06:00:00,0.001,0.047,0.0,2.6
2024-01-02 06:15:00,0.001,0.047,0.0,0.0
2024-01-02 06:30:00,0.001,0.237,0.0,2.4
2024-01-02 06:45:00,0.001,0.14833333333333334,0.0,0.4
2024-01-02 07:00:00,0.001,0.047,0.0,0.0
2024-01-02 07:15:00,0.001,0.047,0.0,0.0
2024-01-02 07:30:00,0.001,0.047,0.0,0.0
2024-01-02 07:45:00,0.001,0.047,1.8666666666666667,0.0
2024-01-02 08:00:00,0.001,0.22433333333333333,0.6666666666666666,0.0
2024-01-02 08:15:00,0.001,0.17053333333333331,0.0,0.2
2024-01-02 08:30:00,0.001,0.05999999999999999,0.0,2.0
2024-01-02 08:45:00,0.001,0.05999999999999999,0.0,0.0
2024-01-02 09:00:00,0.001,0.1332,0.0,0.0
2024-01-02 09:15:00,0.001,0.17766666666666667,0.0,1.8
2024-01-02 09:30:00,0.001,0.33366666666666667,0.0,3.0
2024-01-02 09:45:00,0.001,0.29566666666666663,0.0,3.0
2024-01-02 10:00:00,0.001,0.169,0.0,1.2
2024-01-02 10:15:00,0.001,0.169,0.0,0.0
2024-01-02 10:30:00,0.001,0.05513333333333333,1.2,0.0
2024-01-02 10:45:00,0.001,0.047,1.3333333333333333,0.0
2024-01-02 11:00:00,0.001,0.2111333333333333,0.0,0.0
