,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,15.5,0.24794112679343444,15.489435018652184,13.755571945946466,12.0,59.87911767719672,60.0,0.2567413333333333,0.07575823535439344
2024-01-01 00:15:00,2.0,15.5,0.2608800963607195,15.467067682973326,13.767201367277046,12.0,59.60481398683854,60.0,0.0,0.07520962797367708
2024-01-01 00:30:00,2.0,15.5,0.256069240510963,15.445114264291105,13.778358918926056,12.0,59.55123130756596,60.0,0.7702240000000001,0.07510246261513193
2024-01-01 00:45:00,2.0,15.5,0.2513826156511759,15.423564068375185,13.789057789616963,12.0,61.09822372985905,60.0,0.0,0.0781964474597181
2024-01-01 01:00:00,2.0,15.5,0.24681687529266158,15.402406689088156,13.799310810005958,12.0,61.038087166569845,60.0,0.0,0.0780761743331397
2024-01-01 01:15:00,2.0,15.5,0.24236876347872427,15.381632000591749,13.809130462376167,12.0,60.95423850782254,60.0,0.0,0.07790847701564507
2024-01-01 01:30:00,2.0,15.5,0.23803511233449387,15.361230149764,13.818528890069445,12.0,60.84297126360868,60.0,0.2567413333333333,0.07768594252721737
2024-01-01 01:45:00,2.0,15.5,0.23381283968306452,15.34119154882163,13.827517906662903,12.0,60.483821076390925,60.0,0.12837066666666666,0.07696764215278185
2024-01-01 02:00:00,2.0,15.5,0.23555654882512336,15.321261783687845,13.833630811026048,11.0,59.95981598640897,60.0,0.7702240000000001,0.07591963197281792
2024-01-01 02:15:00,2.0,15.5,0.23260418287733706,15.301360385557242,13.83658022038389,11.0,59.299442363300884,60.0,0.12837066666666666,0.07459888472660177
2024-01-01 02:30:00,2.0,15.5,0.22933841434185628,15.281739805755164,13.839238236396959,11.0,59.070306776985966,60.0,0.7702240000000001,0.07414061355397195
2024-01-01 02:45:00,2.0,15.5,0.22615298687668917,15.262393128698086,13.841613307766076,11.0,60.76356387303216,60.0,0.0,0.07752712774606434
2024-01-01 03:00:00,2.0,15.5,0.2230457473956871,15.243313624156428,13.843713653031346,11.0,60.826498909940064,60.0,0.385112,0.07765299781988014
2024-01-01 03:15:00,2.0,15.5,0.22001460103012235,15.224494742242667,13.845547266805493,11.0,60.54101306144814,60.0,0.0,0.07708202612289629
2024-01-01 03:30:00,2.0,15.5,0.21705750955316275,15.205930108535158,13.84712192583853,11.0,60.45823205227175,60.0,0.0,0.07691646410454349
2024-01-01 03:45:00,2.0,15.5,0.21417248984698023,15.187613519333842,13.84844519491825,11.0,60.1081813980215,60.0,1.5404480000000003,0.076216362796043
