,BaseLoad
2024-01-01 00:00:00,0.361
2024-01-01 00:15:00,0.11033333333333334
2024-01-01 00:30:00,0.047
2024-01-01 00:45:00,0.047
2024-01-01 01:00:00,0.047
2024-01-01 01:15:00,0.08833333333333335
2024-01-01 01:30:00,0.392
2024-01-01 01:45:00,0.192
2024-01-01 02:00:00,0.047
2024-01-01 02:15:00,0.047
2024-01-01 02:30:00,0.047
2024-01-01 02:45:00,0.4467999999999999
2024-01-01 03:00:00,0.3206666666666667
2024-01-01 03:15:00,0.3046666666666667
2024-01-01 03:30:00,0.047
2024-01-01 03:45:00,0.047
2024-01-01 04:00:00,0.047
2024-01-01 04:15:00,0.047
2024-01-01 04:30:00,0.20800000000000002
2024-01-01 04:45:00,0.392
2024-01-01 05:00:00,0.07233333333333333
2024-01-01 05:15:00,0.047
2024-01-01 05:30:00,0.047
2024-01-01 05:45:00,0.047
2024-01-01 06:00:00,0.09533333333333333
2024-01-01 06:15:00,0.392
2024-01-01 06:30:00,0.185
2024-01-01 06:45:00,0.047
2024-01-01 07:00:00,0.047
2024-01-01 07:15:00,0.047
2024-01-01 07:30:00,0.45546666666666663
2024-01-01 07:45:00,0.3406666666666667
2024-01-01 08:00:00,0.3106666666666667
2024-01-01 08:15:00,0.05999999999999999
2024-01-01 08:30:00,0.04873333333333333
2024-01-01 08:45:00,0.047
2024-01-01 09:00:00,0.0669374110732939
2024-01-01 09:15:00,0.2398237423726735
2024-01-01 09:30:00,0.4041570757060068
2024-01-01 09:45:00,0.6358904090393404
2024-01-01 10:00:00,0.06749040903934019
2024-01-01 10:15:00,0.0544863312993796
2024-01-01 10:30:00,0.05999999999999999
2024-01-01 10:45:00,0.136
2024-01-01 11:00:00,0.6508666666666667
2024-01-01 11:15:00,0.32426666666666665
2024-01-01 11:30:00,0.14745333333333333
2024-01-01 11:45:00,0.05306666666666667
2024-01-01 12:00:00,0.3265333333333334
2024-01-01 12:15:00,0.46693333333333337
2024-01-01 12:30:00,0.5658855306862477
2024-01-01 12:45:00,0.5472188640195809
2024-01-01 13:00:00,0.30749344481047214
2024-01-01 13:15:00,0.4851159397255878
2024-01-01 13:30:00,0.45107593972558785
2024-01-01 13:45:00,0.8508759397255878
2024-01-01 14:00:00,0.5593426063922544
2024-01-01 14:15:00,0.6062759397255878
2024-01-01 14:30:00,0.2880759397255878
2024-01-01 14:45:00,0.23269152661834017
2024-01-01 15:00:00,0.1978034798235276
2024-01-01 15:15:00,0.19569999999999999
2024-01-01 15:30:00,0.30970000000000003
2024-01-01 15:45:00,0.4769
2024-01-01 16:00:00,0.30670000000000003
2024-01-01 16:15:00,0.1827
2024-01-01 16:30:00,0.1827
2024-01-01 16:45:00,0.1827
2024-01-01 17:00:00,0.24603333333333335
2024-01-01 17:15:00,0.4140333333333333
2024-01-01 17:30:00,0.38836666666666664
2024-01-01 17:45:00,0.21369999999999997
2024-01-01 18:00:00,0.15556
2024-01-01 18:15:00,0.047
2024-01-01 18:30:00,0.059666666666666666
2024-01-01 18:45:00,0.237
2024-01-01 19:00:00,0.2826666666666667
2024-01-01 19:15:00,0.14
2024-01-01 19:30:00,0.047
2024-01-01 19:45:00,0.047
2024-01-01 20:00:00,0.05330599593209253
2024-01-01 20:15:00,0.2108237423726735
2024-01-01 20:30:00,0.2992904090393402
2024-01-01 20:45:00,0.3348237423726735
2024-01-01 21:00:00,0.18716212639872357
2024-01-01 21:15:00,0.21255219735291433
2024-01-01 21:30:00,0.21255219735291433
2024-01-01 21:45:00,0.2896855306862476
2024-01-01 22:00:00,0.29188553068624756
2024-01-01 22:15:00,0.24671538419605335
2024-01-01 22:30:00,0.109
2024-01-01 22:45:00,0.047
2024-01-01 23:00:00,0.047
2024-01-01 23:15:00,0.09766666666666665
2024-01-01 23:30:00,0.237
2024-01-01 23:45:00,0.21366666666666667
2024-01-02 00:00:00,0.5708
2024-01-02 00:15:00,0.168
2024-01-02 00:30:00,0.168
2024-01-02 00:45:00,0.168
2024-01-02 01:00:00,0.3643059959320925
2024-01-02 01:15:00,0.33515707570600684
