,WasherDryer,DishWasher,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.25066666666666665,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.8240666666666667,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.2821805767229837,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.2918237423726735,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.18915707570600684,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.13342374237267351,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.14955707570600685,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.19200000000000003,0.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.28,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.18466666666666667,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.17,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.057066666666666675,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.06366666666666668,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.4255333333333333,2.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.20426666666666668,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.44880000000000003,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.05633333333333333,2.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.159,1.2
2024-01-01 04:45:00,0.001,0.0,0.001,0.07833333333333334,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.18226666666666666,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.4255333333333333,0.2
2024-01-01 06:00:00,0.001,0.0,0.001,0.08566666666666668,2.2
2024-01-01 06:15:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 06:30:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 06:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.15166666666666667,3.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.093,2.2
2024-01-01 07:30:00,0.001,0.0,0.001,0.44880000000000003,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 08:00:00,0.001,0.0,0.001,0.049,0.0
2024-01-01 08:15:00,0.001,0.0,0.001,0.14433333333333334,0.0
2024-01-01 08:30:00,0.001,0.0,0.001,0.10466666666666667,0.0
2024-01-01 08:45:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-01 09:00:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-01 09:15:00,0.001,0.0,0.001,0.06199999999999999,0.0
2024-01-01 09:30:00,0.001,0.0,0.001,0.1474,0.0
2024-01-01 09:45:00,0.001,0.0,0.001,0.10766666666666666,0.0
