,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP,P_WB
2024-01-01 00:00:00,0.0,0.001,0.0567294969490694,0.0,0.0,2.2
2024-01-01 00:15:00,0.0,0.001,0.11800000000000001,0.0,0.0,0.4
2024-01-01 00:30:00,0.0,0.001,0.4490666666666667,0.0,0.0,0.0
2024-01-01 00:45:00,0.0,0.001,0.43953333333333333,0.0,0.0,0.0
2024-01-01 01:00:00,0.0,0.001,0.173,0.0,0.0,0.0
2024-01-01 01:15:00,0.0,0.001,0.1777294969490694,0.0,0.0,0.0
2024-01-01 01:30:00,0.0,0.001,0.2214904090393402,0.0,0.0,2.6
2024-01-01 01:45:00,0.0,0.001,0.28015707570600684,0.0,0.0,0.8
2024-01-01 02:00:00,0.0,0.001,0.0638237423726735,0.0,0.0,0.0
2024-01-01 02:15:00,0.0,0.001,0.062247243389650375,0.0,4.0,0.8
2024-01-01 02:30:00,0.0,0.001,0.052,0.0,0.0,3.0
2024-01-01 02:45:00,0.0,0.001,0.05933333333333333,0.0,0.0,2.8
2024-01-01 03:00:00,0.0,0.001,0.162,0.0,0.0,0.0
2024-01-01 03:15:00,0.0,0.001,0.06666666666666667,0.0,0.0,0.0
2024-01-01 03:30:00,0.0,0.001,0.052,0.0,0.0,1.6
2024-01-01 03:45:00,0.0,0.001,0.4518000000000001,0.0,0.0,3.0
2024-01-01 04:00:00,0.0,0.001,0.3185333333333334,0.0,0.0,0.8
2024-01-01 04:15:00,0.0,0.001,0.27326666666666666,0.0,1.3333333333333333,0.0
2024-01-01 04:30:00,0.0,0.001,0.096,0.0,5.0,0.0
2024-01-01 04:45:00,0.0,0.001,0.052,0.0,4.0,1.8
2024-01-01 05:00:00,0.0,0.001,0.052,0.0,2.0,0.2
2024-01-01 05:15:00,0.0,0.001,0.052,0.0,1.0,0.0
2024-01-01 05:30:00,0.0,0.001,0.5104666666666666,0.0,0.0,1.6
2024-01-01 05:45:00,0.0,0.001,0.2586,0.0,0.0,0.4
2024-01-01 06:00:00,0.0,0.001,0.45180000000000003,0.0,0.0,0.0
2024-01-01 06:15:00,0.0,0.001,0.052,0.0,3.3333333333333335,1.2
2024-01-01 06:30:00,0.0,0.001,0.45180000000000003,0.0,1.6666666666666667,2.2
2024-01-01 06:45:00,0.0,0.001,0.08133333333333333,0.0,1.3333333333333333,0.0
2024-01-01 07:00:00,0.0,0.001,0.15466666666666667,0.0,5.0,0.0
2024-01-01 07:15:00,0.0,0.001,0.052,0.0,2.6666666666666665,0.0
2024-01-01 07:30:00,0.0,0.001,0.052,0.0,0.0,2.8
