,DishWasher,BaseLoad,P_HP
2024-01-01 00:00:00,0.0,0.35390927305892117,0.0
2024-01-01 00:15:00,0.0,0.3539092730589211,0.0
2024-01-01 00:30:00,0.0,0.16804260639225446,0.0
2024-01-01 00:45:00,0.0,0.12404260639225446,0.0
2024-01-01 01:00:00,0.0,0.07555219735291431,0.0
2024-01-01 01:15:00,0.0,0.07555219735291431,0.0
2024-01-01 01:30:00,0.0,0.14604871752938667,0.0
2024-01-01 01:45:00,0.0,0.165,0.0
2024-01-01 02:00:00,0.0,0.23833333333333334,0.0
2024-01-01 02:15:00,0.0,0.21924724338965038,0.0
2024-01-01 02:30:00,0.0,0.7098904090393403,0.0
2024-01-01 02:45:00,0.0,0.09615707570600683,0.0
2024-01-01 03:00:00,0.0,0.0558237423726735,0.0
2024-01-01 03:15:00,0.0,0.04951774644058096,0.0
2024-01-01 03:30:00,0.0,0.11,0.0
2024-01-01 03:45:00,0.0,0.09533333333333333,0.0
2024-01-01 04:00:00,0.0,0.044,2.4
2024-01-01 04:15:00,0.0,0.044,1.6
2024-01-01 04:30:00,0.0,0.5770666666666667,0.0
2024-01-01 04:45:00,0.0,0.044,0.0
2024-01-01 05:00:00,0.0,0.10266666666666667,0.0
2024-01-01 05:15:00,0.0,0.10266666666666667,2.1333333333333333
2024-01-01 05:30:00,0.0,0.044,4.0
2024-01-01 05:45:00,0.0,0.44380000000000003,1.0666666666666667
2024-01-01 06:00:00,0.0,0.044,0.0
2024-01-01 06:15:00,0.0,0.044,0.0
2024-01-01 06:30:00,0.0,0.09533333333333333,0.0
2024-01-01 06:45:00,0.0,0.11,0.0
2024-01-01 07:00:00,0.0,0.044,0.0
2024-01-01 07:15:00,0.0,0.044,0.0
2024-01-01 07:30:00,0.0,0.9768666666666667,0.0
2024-01-01 07:45:00,0.0,0.044,0.0
2024-01-01 08:00:00,0.0,0.08800000000000001,0.0
2024-01-01 08:15:00,0.0,0.11733333333333333,0.8
2024-01-01 08:30:00,0.0,0.0518,2.1333333333333333
2024-01-01 08:45:00,0.0,0.057,0.0
2024-01-01 09:00:00,0.0,0.057,0.0
2024-01-01 09:15:00,0.0,0.054400000000000004,0.0
2024-01-01 09:30:00,0.0,0.08066666666666666,0.0
2024-01-01 09:45:00,0.0,0.12466666666666666,0.0
2024-01-01 10:00:00,0.0,0.044,0.0
2024-01-01 10:15:00,0.0,0.11113333333333333,0.0
2024-01-01 10:30:00,0.0,0.178,0.0
2024-01-01 10:45:00,0.0,0.5778,0.0
2024-01-01 11:00:00,0.0,2.4737999999999998,0.0
2024-01-01 11:15:00,0.0,1.3067333333333333,0.0
2024-01-01 11:30:00,0.0,0.044,0.0
2024-01-01 11:45:00,0.0,0.044,0.0
2024-01-01 12:00:00,0.0,0.05662087894116572,0.0
2024-01-01 12:15:00,0.0,0.08161886401958098,0.0
2024-01-01 12:30:00,0.0,0.24381886401958097,0.0
2024-01-01 12:45:00,0.0,0.5836855306862476,0.0
2024-01-01 13:00:00,0.0,0.0932816943019837,0.0
2024-01-01 13:15:00,0.0,0.09319883358833828,0.0
2024-01-01 13:30:00,0.0,0.1662237423726735,0.0
2024-01-01 13:45:00,0.0,0.0558237423726735,0.0
2024-01-01 14:00:00,0.0,0.42534374237267353,0.0
2024-01-01 14:15:00,0.0,0.2901805767229837,0.0
2024-01-01 14:30:00,0.0,0.044,0.0
2024-01-01 14:45:00,0.0,0.044,0.26666666666666666
2024-01-01 15:00:00,0.0,0.046599999999999996,2.6666666666666665
