,Occupancy,EV_plugged,EV_arrival,EV_departure,SoC_ref_EV,SoC_arr_EV,T_set_HP,T_ref_HP,T_wall_HP,T_out_HP,P_loss_HP,P_use_WB,P_loss_WB,T_set_WB,T_ref_WB,Water_use
0,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,13.75,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
1,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.49902756668638,13.750515807661634,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
2,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.498055838438322,13.75103086463325,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
3,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.497084814581125,13.75154517168748,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
4,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.496114494440757,13.752058729596179,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
5,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.495144877343854,13.752571539130432,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
6,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.49417596261772,13.753083601060554,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
7,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.493207749590324,13.75359491615609,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
8,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.492240237590307,13.75410548518581,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
9,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.491273425946972,13.754615308917728,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
10,2.0,0.0,0.0,0.0,0.0,0.0,15.5,15.490307313990286,13.755124388119079,12.0,0.43580582469624074,0.0,0.0,60.0,60.0,0.0
