,WashingMachine,BaseLoad,P_HP
2024-01-01 00:00:00,0.001,0.052,0.0
2024-01-01 00:15:00,0.001,0.052,0.0
2024-01-01 00:30:00,0.001,0.052,0.0
2024-01-01 00:45:00,0.001,0.052,0.0
2024-01-01 01:00:00,0.001,0.13266666666666665,0.0
2024-01-01 01:15:00,0.001,0.08866666666666667,0.0
2024-01-01 01:30:00,0.001,0.052,0.0
2024-01-01 01:45:00,0.001,0.052,0.0
2024-01-01 02:00:00,0.001,0.052,0.0
2024-01-01 02:15:00,0.001,0.052,0.0
2024-01-01 02:30:00,0.001,0.162,0.0
2024-01-01 02:45:00,0.001,0.059333333333333335,0.0
2024-01-01 03:00:00,0.001,0.052,0.0
2024-01-01 03:15:00,0.001,0.052,0.0
2024-01-01 03:30:00,0.001,0.052,0.0
2024-01-01 03:45:00,0.001,0.08133333333333333,0.0
2024-01-01 04:00:00,0.001,0.14,0.0
2024-01-01 04:15:00,0.001,0.052,4.333333333333333
2024-01-01 04:30:00,0.001,0.052,0.0
2024-01-01 04:45:00,0.001,0.052,0.0
2024-01-01 05:00:00,0.001,0.052,1.0
2024-01-01 05:15:00,0.001,0.11066666666666668,0.0
2024-01-01 05:30:00,0.001,0.11066666666666666,0.0
2024-01-01 05:45:00,0.001,0.052,0.0
2024-01-01 06:00:00,0.001,0.052,1.0
2024-01-01 06:15:00,0.001,0.14032,0.0
2024-01-01 06:30:00,0.001,0.052,0.0
2024-01-01 06:45:00,0.001,0.1426,5.0
2024-01-01 07:00:00,0.001,0.09433333333333334,5.0
2024-01-01 07:15:00,0.001,0.5374,5.0
2024-01-01 07:30:00,0.001,0.20072435876469333,0.3333333333333333
2024-01-01 07:45:00,0.001,0.2071521973529143,0.0
2024-01-01 08:00:00,0.001,0.21188553068624763,0.0
2024-01-01 08:15:00,0.001,0.3145521973529143,0.0
2024-01-01 08:30:00,0.001,0.21788553068624764,0.0
2024-01-01 08:45:00,0.001,0.09862087894116572,0.0
2024-01-01 09:00:00,0.001,0.0656,0.0
2024-01-01 09:15:00,0.001,0.18526666666666666,0.0
2024-01-01 09:30:00,0.001,0.3552,0.0
2024-01-01 09:45:00,0.001,0.13266666666666665,0.0
2024-01-01 10:00:00,0.001,0.45180000000000003,0.0
2024-01-01 10:15:00,0.001,0.5850666666666666,0.0
2024-01-01 10:30:00,0.001,0.052,3.3333333333333335
2024-01-01 10:45:00,0.001,0.052,0.0
2024-01-01 11:00:00,0.001,0.11800000000000001,0.0
2024-01-01 11:15:00,0.001,0.10333333333333333,0.0
2024-01-01 11:30:00,0.001,0.052,0.0
2024-01-01 11:45:00,0.001,0.052,0.0
2024-01-01 12:00:00,0.001,0.052,0.0
2024-01-01 12:15:00,0.001,0.052,0.0
2024-01-01 12:30:00,0.001,0.5471333333333334,0.0
2024-01-01 12:45:00,0.001,0.6070666666666666,0.0
2024-01-01 13:00:00,0.001,0.052,0.0
2024-01-01 13:15:00,0.001,0.052,0.0
2024-01-01 13:30:00,0.001,0.052,0.0
2024-01-01 13:45:00,0.001,0.06666666666666667,0.0
2024-01-01 14:00:00,0.001,0.15466666666666667,0.0
2024-01-01 14:15:00,0.001,0.052,0.0
2024-01-01 14:30:00,0.001,0.45180000000000003,0.0
2024-01-01 14:45:00,0.001,0.052,3.0
2024-01-01 15:00:00,0.001,0.052,0.0
2024-01-01 15:15:00,0.001,0.096,0.0
2024-01-01 15:30:00,0.001,0.12533333333333335,0.0
2024-01-01 15:45:00,0.001,0.052,0.0
2024-01-01 16:00:00,0.001,0.052,0.0
2024-01-01 16:15:00,0.001,0.5850666666666666,0.0
2024-01-01 16:30:00,0.001,0.052,0.0
2024-01-01 16:45:00,0.001,1.2513866666666666,0.0
2024-01-01 17:00:00,0.001,0.32739999999999997,0.0
2024-01-01 17:15:00,0.001,0.173,0.0
2024-01-01 17:30:00,0.001,0.18982783858822094,0.0
2024-01-01 17:45:00,0.001,0.18035219735291427,0.0
2024-01-01 18:00:00,0.001,0.1077521973529143,0.0
2024-01-01 18:15:00,0.001,1.009818864019581,1.3333333333333333
2024-01-01 18:30:00,0.001,0.44421886401958094,1.6666666666666667
2024-01-01 18:45:00,0.001,0.4295521973529143,0.0
2024-01-01 19:00:00,0.001,0.5112917293150392,0.0
2024-01-01 19:15:00,0.001,0.3320904090393402,0.0
2024-01-01 19:30:00,0.001,0.2408237423726735,0.0
2024-01-01 19:45:00,0.001,0.30055707570600687,0.0
2024-01-01 20:00:00,0.001,0.18482374237267354,0.0
2024-01-01 20:15:00,0.001,0.19389040903934018,0.0
2024-01-01 20:30:00,0.001,0.21488249491511568,0.0
2024-01-01 20:45:00,0.001,0.7680237423726735,0.0
2024-01-01 21:00:00,0.001,0.2764904090393402,0.0
2024-01-01 21:15:00,0.001,0.41999707570600686,0.0
2024-01-01 21:30:00,0.001,0.4415237423726735,0.0
2024-01-01 21:45:00,0.001,0.4443217274510888,0.0
2024-01-01 22:00:00,0.001,0.34734644277651844,0.0
2024-01-01 22:15:00,0.001,0.348318864019581,0.0
2024-01-01 22:30:00,0.001,0.6814915266183401,0.0
2024-01-01 22:45:00,0.001,0.7885426063922545,0.0
2024-01-01 23:00:00,0.001,0.34786898007853256,0.0
2024-01-01 23:15:00,0.001,0.3205237423726735,0.0
2024-01-01 23:30:00,0.001,0.3205237423726735,0.0
2024-01-01 23:45:00,0.001,0.6453589938981388,1.0
