,WasherDryer,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.032,0.0
2024-01-01 00:15:00,0.001,0.001,0.032,0.0
2024-01-01 00:30:00,0.001,0.001,0.032,0.0
2024-01-01 00:45:00,0.001,0.001,0.11413333333333334,0.0
2024-01-01 01:00:00,0.001,0.001,0.32033333333333336,1.1
2024-01-01 01:15:00,0.001,0.001,0.343,1.4
2024-01-01 01:30:00,0.001,0.001,0.153,0.0
2024-01-01 01:45:00,0.001,0.001,0.153,0.0
2024-01-01 02:00:00,0.001,0.001,0.41953333333333337,0.0
2024-01-01 02:15:00,0.001,0.001,0.3953333333333333,0.1
2024-01-01 02:30:00,0.001,0.001,0.13399999999999998,1.5
2024-01-01 02:45:00,0.001,0.001,0.222,0.7
2024-01-01 03:00:00,0.001,0.001,0.08266666666666667,0.0
2024-01-01 03:15:00,0.001,0.001,0.032,0.0
2024-01-01 03:30:00,0.001,0.001,0.032,0.0
2024-01-01 03:45:00,0.001,0.001,0.12733333333333333,0.0
2024-01-01 04:00:00,0.001,0.001,0.06866666666666667,0.0
2024-01-01 04:15:00,0.001,0.001,0.222,0.0
2024-01-01 04:30:00,0.001,0.001,0.13333333333333333,0.0
2024-01-01 04:45:00,0.001,0.001,0.032,0.0
2024-01-01 05:00:00,0.001,0.001,0.032,0.0
2024-01-01 05:15:00,0.001,0.001,0.142,0.0
2024-01-01 05:30:00,0.001,0.001,0.054,0.0
2024-01-01 05:45:00,0.001,0.001,0.1713333333333333,0.0
2024-01-01 06:00:00,0.001,0.001,0.18400000000000002,0.0
2024-01-01 06:15:00,0.001,0.001,0.032,0.0
2024-01-01 06:30:00,0.001,0.001,0.04666666666666666,0.0
2024-01-01 06:45:00,0.001,0.001,0.142,0.0
2024-01-01 07:00:00,0.001,0.001,0.03933333333333333,0.0
2024-01-01 07:15:00,0.001,0.001,0.12066666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.222,0.0
2024-01-01 07:45:00,0.001,0.001,0.04466666666666667,0.0
2024-01-01 08:00:00,0.001,0.001,0.06133333333333333,0.0
2024-01-01 08:15:00,0.001,0.001,0.13466666666666666,0.0
2024-01-01 08:30:00,0.001,0.001,0.032,0.0
2024-01-01 08:45:00,0.001,0.001,0.07,0.0
2024-01-01 09:00:00,0.001,0.001,0.222,0.0
2024-01-01 09:15:00,0.001,0.001,0.09533333333333333,0.0
2024-01-01 09:30:00,0.001,0.001,0.076,0.0
2024-01-01 09:45:00,0.001,0.001,0.11999999999999998,0.0
2024-01-01 10:00:00,0.001,0.001,0.032,0.0
2024-01-01 10:15:00,0.001,0.001,0.032,0.0
2024-01-01 10:30:00,0.001,0.001,0.20933333333333334,0.0
2024-01-01 10:45:00,0.001,0.001,0.146,0.0
2024-01-01 11:00:00,0.001,0.001,0.09066666666666666,0.0
2024-01-01 11:15:00,0.001,0.001,0.10533333333333332,0.0
2024-01-01 11:30:00,0.001,0.001,0.032,0.0
2024-01-01 11:45:00,0.001,0.001,0.032,0.0
2024-01-01 12:00:00,0.001,0.001,0.15866666666666665,0.0
2024-01-01 12:15:00,0.001,0.001,0.19666666666666668,0.0
2024-01-01 12:30:00,0.001,0.001,0.10533333333333332,0.0
2024-01-01 12:45:00,0.001,0.001,0.09066666666666666,0.0
2024-01-01 13:00:00,0.001,0.001,0.032,1.3
2024-01-01 13:15:00,0.001,0.001,0.0424,1.0
2024-01-01 13:30:00,0.001,0.001,0.121,0.1
2024-01-01 13:45:00,0.001,0.001,0.235,1.5
2024-01-01 14:00:00,0.001,0.001,0.15746666666666667,1.5
2024-01-01 14:15:00,0.001,0.001,0.47580000000000006,1.5
2024-01-01 14:30:00,0.001,0.001,0.032,1.5
2024-01-01 14:45:00,0.001,0.001,1.7653333333333334,1.5
2024-01-01 15:00:00,0.001,0.001,0.724,1.5
2024-01-01 15:15:00,0.001,0.001,0.222,1.5
2024-01-01 15:30:00,0.001,0.001,0.21066666666666667,0.0
2024-01-01 15:45:00,0.001,0.001,0.06133333333333333,0.0
2024-01-01 16:00:00,0.001,0.001,0.032,0.0
2024-01-01 16:15:00,0.001,0.001,0.032,0.0
2024-01-01 16:30:00,0.001,0.001,0.032,0.0
2024-01-01 16:45:00,0.001,0.001,0.20400000000000001,0.0
2024-01-01 17:00:00,0.001,0.001,0.26866666666666666,0.0
