,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,14.5,1.068985439745209,14.48775307937308,13.256210394453117,12.0,59.926399999999994,60.0,0.2567413333333333,0.0
2024-01-01 00:15:00,2.0,14.5,1.068985439745209,14.462015462381437,13.26893117817445,12.0,59.6136,60.0,1.5404480000000003,0.0
2024-01-01 00:30:00,2.0,14.5,1.068985439745209,14.437038246750259,13.280771713251202,12.0,59.65921911132344,60.0,0.2567413333333333,0.0
2024-01-01 00:45:00,2.0,14.5,1.068985439745209,14.412789275022687,13.291772690067727,12.0,59.58183583373145,60.0,1.5404480000000003,0.0
2024-01-01 01:00:00,2.0,14.5,1.068985439745209,14.38923781625211,13.30197297735178,12.0,57.767846344959345,60.0,3.0808960000000005,0.0
2024-01-01 01:15:00,2.0,14.5,1.068985439745209,14.366354502402487,13.311409703467467,12.0,60.09108074534153,60.0,0.0,0.0
2024-01-01 01:30:00,2.0,14.5,1.068985439745209,14.344111267585731,13.320118334081599,12.0,61.209093167701766,60.0,0.0,0.0
2024-01-01 01:45:00,2.0,14.5,1.068985439745209,14.32248129000945,13.328132746365224,12.0,60.43629316770177,60.0,2.053930666666667,0.0
2024-01-01 02:00:00,2.0,14.5,1.068985439745209,14.301063494040104,13.331124878795709,11.0,59.00109316770176,60.0,0.0,0.0
2024-01-01 02:15:00,2.0,14.5,1.068985439745209,14.279673963711993,13.328668369034611,11.0,59.00109316770176,60.0,0.0,0.0
2024-01-01 02:30:00,2.0,14.5,1.068985439745209,14.258666050007722,13.325859579270212,11.0,59.00109316770176,60.0,0.2567413333333333,0.0
2024-01-01 02:45:00,2.0,14.5,1.068985439745209,14.238025333641907,13.322716325548265,11.0,59.92950941232668,60.0,0.2567413333333333,0.0
2024-01-01 03:00:00,2.0,14.5,1.068985439745209,14.2177380267212,13.319255619589711,11.0,61.02912183468691,60.0,0.0,0.0
2024-01-01 03:15:00,2.0,14.5,1.068985439745209,14.19779094463197,13.315493704714816,11.0,60.82672183468692,60.0,0.5134826666666666,0.0
2024-01-01 03:30:00,2.0,14.5,1.068985439745209,14.178171479181866,13.311446090164544,11.0,60.47712183468691,60.0,0.0,0.0
2024-01-01 03:45:00,1.0,15.6,1.068985439745209,14.185054632117662,13.307139391551582,11.0,60.47712183468691,60.0,0.0,0.0
2024-01-01 04:00:00,2.0,18.9,1.068985439745209,15.414033292351307,13.312044051375809,11.0,60.47712183468691,60.0,0.0,0.0
2024-01-01 04:15:00,2.0,15.6,1.068985439745209,16.3279120982531,13.34349152707305,11.0,59.33032279025308,60.0,3.594378666666667,0.0
2024-01-01 04:30:00,2.0,14.5,1.068985439745209,16.369177101038435,13.382558715942787,11.0,58.426148112756636,60.0,1.5404480000000003,0.0
2024-01-01 04:45:00,1.0,15.6,1.068985439745209,16.333501487126206,13.41959225030601,11.0,60.40384902054446,60.0,0.0,0.0
2024-01-01 05:00:00,2.0,16.7,1.068985439745209,16.974998225581665,13.455484358703046,10.0,60.971391113234375,60.0,1.0269653333333333,0.0
2024-01-01 05:15:00,1.0,17.8,1.068985439745209,17.654299195705324,13.500046199661785,10.0,60.08819111323435,60.0,0.0,0.0
2024-01-01 05:30:00,2.0,18.9,1.068985439745209,19.30795667093121,13.565130725180461,10.0,59.57919159101745,60.0,3.0808960000000005,0.0
2024-01-01 05:45:00,2.0,14.5,1.068985439745209,19.861568635963238,13.655123066004647,10.0,58.48461500238866,60.0,1.5404480000000003,0.0
2024-01-01 06:00:00,1.0,18.166666666666668,1.068985439745209,19.73409372771755,13.74410737686244,10.0,60.35191591017649,60.0,0.0,0.0
2024-01-01 06:15:00,1.0,20.0,1.068985439745209,19.61088416028673,13.827975642802556,10.0,60.68025800286639,60.0,0.5134826666666666,0.0
2024-01-01 06:30:00,1.0,18.0,1.068985439745209,19.544106491949904,13.907008495267336,10.0,59.749468514094275,60.0,2.053930666666667,0.0
2024-01-01 06:45:00,3.0,16.666666666666668,1.068985439745209,20.41455931051296,13.991121593689899,10.0,61.1609555661726,60.0,0.0,0.0
2024-01-01 07:00:00,3.0,15.0,1.068985439745209,20.411226212170813,14.083480946427345,10.0,61.17528905876697,60.0,0.0,0.0
2024-01-01 07:15:00,3.0,15.0,1.068985439745209,20.28096583794901,14.170885895970153,10.0,60.43928905876696,60.0,1.0269653333333333,0.0
2024-01-01 07:30:00,3.0,15.0,1.068985439745209,20.154996301703406,14.253165588346018,10.0,59.783089536550044,60.0,1.5404480000000003,0.0
2024-01-01 07:45:00,3.0,15.0,1.068985439745209,20.033133104985552,14.330554237159449,10.0,60.02551247013818,60.0,0.5134826666666666,0.0
2024-01-01 08:00:00,3.0,15.0,1.068985439745209,19.9155615361332,14.403277692248176,10.0,60.628324892498405,60.0,0.5134826666666666,0.0
2024-01-01 08:15:00,3.0,15.0,1.068985439745209,19.802154794436607,14.471559841306906,10.0,60.33392489249841,60.0,0.5134826666666666,0.0
2024-01-01 08:30:00,1.0,17.0,1.068985439745209,19.69233358725751,14.535607330106943,10.0,59.855524892498394,60.0,0.2567413333333333,0.0
2024-01-01 08:45:00,3.0,17.0,1.068985439745209,19.58594466783599,14.595614472278282,10.0,59.708324892498396,60.0,0.0,0.0
2024-01-01 09:00:00,3.0,15.0,1.068985439745209,19.48323948067184,14.651769210175267,10.0,58.81433540372628,60.0,2.5674133333333335,0.0
2024-01-01 09:15:00,3.0,15.0,1.068985439745209,19.384123935101492,14.704260032767765,10.0,60.46683535594795,60.0,0.5134826666666666,0.0
2024-01-01 09:30:00,3.0,15.0,1.068985439745209,19.28800400264805,14.7532590412985,10.0,61.12637744863786,60.0,0.0,0.0
2024-01-01 09:45:00,1.0,16.0,1.068985439745209,19.220939595383978,14.798939044258256,10.0,59.56237744863786,60.0,1.7971893333333335,0.0
2024-01-01 10:00:00,3.0,19.666666666666668,1.068985439745209,20.22404705173336,14.85488243268005,11.0,59.19437744863786,60.0,0.0,0.0
2024-01-01 10:15:00,3.0,15.0,1.068985439745209,20.428656087891326,14.930345944745454,11.0,59.20677840420403,60.0,0.2567413333333333,0.0
2024-01-01 10:30:00,3.0,15.0,1.068985439745209,20.321147377985678,15.002797559603708,11.0,60.74899799331055,60.0,0.5134826666666666,0.0
2024-01-01 10:45:00,3.0,15.0,1.068985439745209,20.217186070895007,15.07100999619018,11.0,60.516401337792146,60.0,0.0,0.0
2024-01-01 11:00:00,3.0,15.0,1.068985439745209,20.119016528553296,15.139549160243945,12.0,60.31400133779214,60.0,0.770224,0.0
2024-01-01 11:15:00,3.0,15.0,1.068985439745209,20.026885314751816,15.209114118323345,12.0,59.688401337792136,60.0,0.0,0.0
2024-01-01 11:30:00,3.0,15.0,1.068985439745209,19.937937753016694,15.274828604546956,12.0,59.24680133779213,60.0,1.0269653333333333,0.0
2024-01-01 11:45:00,3.0,15.0,1.068985439745209,19.852036035245188,15.336867786099926,12.0,60.2184194935494,60.0,0.0,0.0
2024-01-01 12:00:00,1.0,17.333333333333332,1.068985439745209,19.768369688630628,15.395395039927722,12.0,61.16443000477729,60.0,0.0,0.0
2024-01-01 12:15:00,1.0,18.666666666666668,1.068985439745209,19.686734671893806,15.450551161905258,12.0,61.16443000477729,60.0,0.0,0.0
2024-01-01 12:30:00,1.0,20.0,1.068985439745209,19.60779603067586,15.502484222841685,12.0,60.09336493072091,60.0,3.0808960000000005,0.0
2024-01-01 12:45:00,3.0,16.0,1.068985439745209,19.531437780750682,15.551341471215876,12.0,60.28912374581883,60.0,0.0,0.0
2024-01-01 13:00:00,1.0,17.0,1.068985439745209,19.58868326291181,15.59750133144224,12.0,61.077465838508736,60.0,0.0,0.0
2024-01-01 13:15:00,1.0,20.0,1.068985439745209,20.500963269932736,15.653058739807353,12.0,61.077465838508736,60.0,0.0,0.0
2024-01-01 13:30:00,3.0,15.0,1.068985439745209,20.46185857912192,15.71616186796897,12.0,61.077465838508736,60.0,0.0,0.0
2024-01-01 13:45:00,1.0,17.0,1.068985439745209,20.37328817027229,15.775727937964009,12.0,60.89346583850873,60.0,0.5134826666666666,0.0
2024-01-01 14:00:00,1.0,16.333333333333332,1.068985439745209,20.285489151740684,15.83179262228356,12.0,60.52546583850873,60.0,0.0,0.0
2024-01-01 14:15:00,1.0,20.0,1.068985439745209,20.198088347012444,15.884455000186831,12.0,60.52546583850873,60.0,0.0,0.0
2024-01-01 14:30:00,1.0,20.0,1.068985439745209,20.11345159539989,15.933852673948307,12.0,59.78946583850872,60.0,1.0269653333333333,0.0
