,Occupancy,T_ref_WB,T_set_WB,P_use_WB,P_loss_WB
2024-01-01 00:00:00,2.0,60.0,60.0,0.0,0.0
2024-01-01 00:15:00,2.0,60.0,60.0,0.2567413333333333,0.0
2024-01-01 00:30:00,2.0,59.46639999999999,60.0,0.2567413333333333,0.0
2024-01-01 00:45:00,2.0,59.44799999999999,60.0,0.2567413333333333,0.0
2024-01-01 01:00:00,2.0,59.40097391304347,60.0,0.5134826666666666,0.0
2024-01-01 01:15:00,2.0,58.559125083612074,60.0,3.0808960000000005,0.0
2024-01-01 01:30:00,2.0,58.920443000477846,60.0,0.2567413333333333,0.0
2024-01-01 01:45:00,2.0,60.293760917343626,60.0,0.2567413333333333,0.0
2024-01-01 02:00:00,2.0,60.54657047300537,60.0,1.5404480000000003,0.0
2024-01-01 02:15:00,2.0,59.44257047300537,60.0,0.0,0.0
2024-01-01 02:30:00,2.0,55.72037572861934,60.0,6.161792000000001,0.0
2024-01-01 02:45:00,2.0,53.81229316770202,60.0,2.053930666666667,0.0
2024-01-01 03:00:00,2.0,52.83041108456779,60.0,1.5404480000000003,0.0
2024-01-01 03:15:00,2.0,51.16772900143358,60.0,3.337637333333334,0.0
2024-01-01 03:30:00,2.0,52.24664691829935,60.0,0.0,0.0
2024-01-01 03:45:00,2.0,53.859164835165124,60.0,0.0,0.0
2024-01-01 04:00:00,2.0,55.4716827520309,60.0,0.0,0.0
2024-01-01 04:15:00,1.0,57.08420066889668,60.0,0.0,0.0
2024-01-01 04:30:00,1.0,58.163118585762454,60.0,0.770224,0.0
2024-01-01 04:45:00,1.0,59.48123650262822,60.0,0.0,0.0
2024-01-01 05:00:00,1.0,60.796254180602446,60.0,0.5134826666666666,0.0
2024-01-01 05:15:00,1.0,60.80326039178258,60.0,0.5134826666666666,0.0
2024-01-01 05:30:00,1.0,60.527260391782576,60.0,0.0,0.0
2024-01-01 05:45:00,1.0,59.605327854754385,60.0,3.0808960000000005,0.0
2024-01-01 06:00:00,1.0,58.3396747252752,60.0,1.7971893333333335,0.0
2024-01-01 06:15:00,1.0,57.87299264214097,60.0,0.5134826666666666,0.0
2024-01-01 06:30:00,1.0,59.117510559006746,60.0,0.5134826666666666,0.0
2024-01-01 06:45:00,1.0,60.306828475872514,60.0,0.0,0.0
2024-01-01 07:00:00,1.0,61.05933683707654,60.0,0.0,0.0
2024-01-01 07:15:00,1.0,61.05933683707654,60.0,0.0,0.0
2024-01-01 07:30:00,1.0,61.05933683707654,60.0,0.0,0.0
2024-01-01 07:45:00,1.0,61.05933683707654,60.0,0.0,0.0
2024-01-01 08:00:00,1.0,61.05933683707654,60.0,0.0,0.0
2024-01-01 08:15:00,1.0,60.70973683707654,60.0,2.310672,0.0
2024-01-01 08:30:00,1.0,57.78224519828056,60.0,1.5404480000000003,0.0
2024-01-01 08:45:00,1.0,58.511563115146345,60.0,3.0808960000000005,0.0
2024-01-01 09:00:00,1.0,57.364081032012116,60.0,0.5134826666666666,0.0
2024-01-01 09:15:00,1.0,58.64539894887789,60.0,0.0,0.0
2024-01-01 09:30:00,1.0,60.05551686574367,60.0,0.5134826666666666,0.0
2024-01-01 09:45:00,1.0,60.86016588628836,60.0,0.2567413333333333,0.0
2024-01-01 10:00:00,1.0,61.04243478260943,60.0,0.0,0.0
2024-01-01 10:15:00,1.0,60.380034782609435,60.0,1.5404480000000003,0.0
2024-01-01 10:30:00,1.0,59.22083478260944,60.0,0.2567413333333333,0.0
2024-01-01 10:45:00,1.0,59.11043478260943,60.0,0.0,0.0
2024-01-01 11:00:00,1.0,59.11043478260943,60.0,0.0,0.0
2024-01-01 11:15:00,1.0,59.11043478260943,60.0,0.0,0.0
2024-01-01 11:30:00,1.0,59.11043478260943,60.0,0.0,0.0
2024-01-01 11:45:00,1.0,58.00353597706715,60.0,3.0808960000000005,0.0
2024-01-01 12:00:00,1.0,57.19595031055977,60.0,0.0,0.0
2024-01-01 12:15:00,1.0,56.25086822742555,60.0,5.134826666666667,0.0
2024-01-01 12:30:00,1.0,54.62498614429132,60.0,0.770224,0.0
