,Occupancy,T_set_HP,P_loss_HP,T_ref_HP,T_wall_HP,T_out_HP
2024-01-01 00:00:00,2.0,15.5,1.3994854257253757,15.485268121466351,13.755485504443735,12.0
2024-01-01 00:15:00,2.0,15.5,1.3994854257253757,15.45418207236099,13.766679993000775,12.0
2024-01-01 00:30:00,2.0,15.5,1.3994854257253757,15.423824080665272,13.777032346063981,12.0
2024-01-01 00:45:00,2.0,15.5,1.3994854257253757,15.394167358537253,13.786578319003402,12.0
2024-01-01 01:00:00,2.0,15.5,1.3994854257253757,15.365186183837407,13.795352219755891,12.0
2024-01-01 01:15:00,2.0,15.5,1.3994854257253757,15.336855857312433,13.80338696709884,12.0
2024-01-01 01:30:00,2.0,15.5,1.3994854257253757,15.309152661501306,13.810714146579311,12.0
2024-01-01 01:45:00,2.0,15.5,1.3994854257253757,15.282053821294262,13.81736406419296,12.0
2024-01-01 02:00:00,2.0,15.5,1.3994854257253757,15.255277553655118,13.81843839349517,11.0
2024-01-01 02:15:00,2.0,15.5,1.3994854257253757,15.22865728033823,13.81344369428276,11.0
2024-01-01 02:30:00,2.0,15.5,1.3994854257253757,15.20241568752173,13.808130910440713,11.0
2024-01-01 02:45:00,2.0,15.5,1.3994854257253757,15.176540855583562,13.802515323901787,11.0
2024-01-01 03:00:00,2.0,16.7,1.3994854257253757,15.196193109843652,13.796646735079692,11.0
2024-01-01 03:15:00,2.0,15.5,1.3994854257253757,15.94762199363584,13.797373806091652,11.0
2024-01-01 03:30:00,2.0,15.5,1.3994854257253757,15.982826804129493,13.805947413611515,11.0
2024-01-01 03:45:00,2.0,15.5,1.3994854257253757,15.943355554048336,13.813765045271113,11.0
2024-01-01 04:00:00,2.0,15.5,1.3994854257253757,15.90470136499149,13.820690203855612,11.0
2024-01-01 04:15:00,1.0,18.3,1.3994854257253757,16.024750679224866,13.82706837841742,11.0
2024-01-01 04:30:00,2.0,15.9,1.3994854257253757,16.716346217897968,13.841882237551433,11.0
2024-01-01 04:45:00,2.0,15.5,1.3994854257253757,16.67214544220307,13.86139652645645,11.0
2024-01-01 05:00:00,2.0,15.5,1.3994854257253757,16.62136814093888,13.874565871525764,10.0
2024-01-01 05:15:00,2.0,16.7,1.3994854257253757,16.840858994425126,13.882652470659332,10.0
2024-01-01 05:30:00,1.0,19.5,1.3994854257253757,17.19197017226688,13.894595826055033,10.0
2024-01-01 05:45:00,1.0,21.5,1.3994854257253757,18.702476159232138,13.922200804692205,10.0
2024-01-01 06:00:00,1.0,21.5,1.3994854257253757,20.29855594900137,13.97656709749993,10.0
2024-01-01 06:15:00,1.0,21.5,1.3994854257253757,21.754975293816734,14.056604932945907,10.0
2024-01-01 06:30:00,1.0,21.5,1.3994854257253757,21.953419565926758,14.150306572144274,10.0
2024-01-01 06:45:00,1.0,21.5,1.3994854257253757,21.815402250578746,14.24040702357154,10.0
2024-01-01 07:00:00,1.0,21.5,1.3994854257253757,21.681296451818888,14.325651763997179,10.0
2024-01-01 07:15:00,2.0,16.3,1.3994854257253757,21.550952803710878,14.406242055135213,10.0
2024-01-01 07:30:00,2.0,15.5,1.3994854257253757,21.424226842572335,14.48237101910038,10.0
2024-01-01 07:45:00,2.0,15.5,1.3994854257253757,21.300980813977084,14.5542239743269,10.0
2024-01-01 08:00:00,1.0,17.1,1.3994854257253757,21.181265253638383,14.62197967648835,10.0
2024-01-01 08:15:00,1.0,21.5,1.3994854257253757,21.06497492943304,14.685813217754403,10.0
2024-01-01 08:30:00,1.0,21.5,1.3994854257253757,21.58904008167067,14.749028241037164,10.0
2024-01-01 08:45:00,1.0,21.5,1.3994854257253757,21.9514948134526,14.822309911942689,10.0
2024-01-01 09:00:00,1.0,21.5,1.3994854257253757,21.825386085653175,14.893805016277515,10.0
2024-01-01 09:15:00,1.0,21.5,1.3994854257253757,21.7028975083109,14.961165266612037,10.0
2024-01-01 09:30:00,3.0,21.5,1.3994854257253757,21.583668029543706,15.024564517070305,10.0
2024-01-01 09:45:00,3.0,21.5,1.3994854257253757,21.46757452492602,15.084168110608342,10.0
2024-01-01 10:00:00,3.0,21.5,1.3994854257253757,21.355797289896177,15.145067345059172,11.0
2024-01-01 10:15:00,3.0,21.5,1.3994854257253757,21.248491903509677,15.207961035065786,11.0
2024-01-01 10:30:00,3.0,21.5,1.3994854257253757,21.14410682102957,15.267277370822764,11.0
2024-01-01 10:45:00,3.0,21.5,1.3994854257253757,21.042531245265128,15.323165284483736,11.0
2024-01-01 11:00:00,3.0,21.5,1.3994854257253757,21.73131778432712,15.385400340742832,12.0
2024-01-01 11:15:00,3.0,21.5,1.3994854257253757,21.958886062444666,15.463022280316023,12.0
2024-01-01 11:30:00,3.0,21.5,1.3994854257253757,21.849216773781528,15.537986591357669,12.0
2024-01-01 11:45:00,3.0,21.5,1.3994854257253757,21.74271150324419,15.608999366137336,12.0
2024-01-01 12:00:00,3.0,21.5,1.3994854257253757,21.638857130676005,15.676222083370554,12.0
2024-01-01 12:15:00,1.0,21.5,1.3994854257253757,21.537490606186843,15.739802082187033,12.0
2024-01-01 12:30:00,1.0,21.5,1.3994854257253757,21.43895271869881,15.799887521042828,12.0
2024-01-01 12:45:00,3.0,21.5,1.3994854257253757,21.343135653694482,15.856623472589506,12.0
2024-01-01 13:00:00,3.0,21.5,1.3994854257253757,21.250080414960657,15.910149879514819,12.0
2024-01-01 13:15:00,1.0,21.5,1.3994854257253757,21.159704815389535,15.960603844326444,12.0
2024-01-01 13:30:00,1.0,21.5,1.3994854257253757,21.071746524544505,16.00811443628194,12.0
2024-01-01 13:45:00,1.0,21.5,1.3994854257253757,21.324108378507614,16.05385398376013,12.0
2024-01-01 14:00:00,1.0,21.5,1.3994854257253757,22.016731577087178,16.109660417380265,12.0
2024-01-01 14:15:00,1.0,21.5,1.3994854257253757,21.914048094824047,16.167717280099048,12.0
2024-01-01 14:30:00,1.0,21.5,1.3994854257253757,21.814123409736037,16.222409695086448,12.0
