,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_EV,P_HP
2024-01-01 00:00:00,0.001,0.0,0.001,0.093,0.0,0.0
2024-01-01 00:15:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 00:30:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 00:45:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 01:00:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 01:15:00,0.001,0.0,0.001,0.207,0.0,0.0
2024-01-01 01:30:00,0.001,0.0,0.001,0.7020666666666666,0.0,0.0
2024-01-01 01:45:00,0.001,0.0,0.001,0.16793333333333332,0.0,2.0
2024-01-01 02:00:00,0.001,0.0,0.001,0.19213333333333332,0.0,0.0
2024-01-01 02:15:00,0.001,0.0,0.001,0.297,0.0,0.0
2024-01-01 02:30:00,0.001,0.0,0.001,0.30962087894116574,0.0,0.0
2024-01-01 02:45:00,0.001,0.0,0.001,0.40455219735291426,0.0,0.0
2024-01-01 03:00:00,0.001,0.0,0.001,0.4298188640195809,0.0,0.0
2024-01-01 03:15:00,0.001,0.0,0.001,0.2075521973529143,0.0,0.0
2024-01-01 03:30:00,0.001,0.0,0.001,0.14301886401958097,0.0,0.0
2024-01-01 03:45:00,0.001,0.0,0.001,0.5922736263137218,0.0,0.0
2024-01-01 04:00:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 04:15:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 04:30:00,0.001,0.0,0.001,0.245,4.666666666666667,0.0
2024-01-01 04:45:00,0.001,0.0,0.001,0.131,0.0,0.0
2024-01-01 05:00:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 05:15:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 05:30:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 05:45:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 06:00:00,0.001,0.0,0.001,0.169,0.0,0.0
2024-01-01 06:15:00,0.001,0.0,0.001,0.207,0.0,1.3333333333333333
2024-01-01 06:30:00,0.001,0.0,0.001,0.4547999999999999,0.0,0.6666666666666666
2024-01-01 06:45:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 07:00:00,0.001,0.0,0.001,0.055,0.0,0.0
2024-01-01 07:15:00,0.001,0.0,0.001,0.068,0.0,0.0
2024-01-01 07:30:00,0.001,0.0,0.001,0.5058,0.0,0.0
2024-01-01 07:45:00,0.001,0.0,0.001,0.258,0.0,0.0
