,WasherDryer,TumbleDryer,DishWasher,WashingMachine,BaseLoad,P_WB
2024-01-01 00:00:00,0.001,0.001,0.0,0.001,0.09066666666666666,0.0
2024-01-01 00:15:00,0.001,0.001,0.0,0.001,0.08333333333333333,0.0
2024-01-01 00:30:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 00:45:00,0.001,0.001,0.0,0.001,0.24733333333333332,0.0
2024-01-01 01:00:00,0.001,0.001,0.0,0.001,0.2853333333333333,0.0
2024-01-01 01:15:00,0.001,0.001,0.0,0.001,0.14333333333333334,0.0
2024-01-01 01:30:00,0.001,0.001,0.0,0.001,0.06866666666666667,0.0
2024-01-01 01:45:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 02:00:00,0.001,0.001,0.0,0.001,0.04466666666666667,0.0
2024-01-01 02:15:00,0.001,0.001,0.0,0.001,0.36133333333333334,0.0
2024-01-01 02:30:00,0.001,0.001,0.0,0.001,0.2846666666666666,0.0
2024-01-01 02:45:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 03:00:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 03:15:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 03:30:00,0.001,0.001,0.0,0.001,0.146,0.0
2024-01-01 03:45:00,0.001,0.001,0.0,0.001,0.48933333333333334,0.0
2024-01-01 04:00:00,0.001,0.001,0.0,0.001,0.07733333333333334,0.0
2024-01-01 04:15:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 04:30:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 04:45:00,0.001,0.001,0.0,0.001,0.06466666666666666,0.0
2024-01-01 05:00:00,0.001,0.001,0.0,0.001,0.32466666666666666,0.0
2024-01-01 05:15:00,0.001,0.001,0.0,0.001,0.3233333333333333,0.0
2024-01-01 05:30:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 05:45:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 06:00:00,0.001,0.001,0.0,0.001,0.054,0.0
2024-01-01 06:15:00,0.001,0.001,0.0,0.001,0.24666666666666667,0.0
2024-01-01 06:30:00,0.001,0.001,0.0,0.001,0.24733333333333332,0.0
2024-01-01 06:45:00,0.001,0.001,0.0,0.001,0.19666666666666668,0.0
2024-01-01 07:00:00,0.001,0.001,0.0,0.001,0.032,0.0
2024-01-01 07:15:00,0.001,0.001,0.0,0.001,0.06866666666666667,0.0
2024-01-01 07:30:00,0.001,0.001,0.0,0.001,0.14333333333333334,0.0
2024-01-01 07:45:00,0.001,0.001,0.0,0.001,0.222,0.0
2024-01-01 08:00:00,0.001,0.001,0.0,0.001,0.18400000000000002,0.0
2024-01-01 08:15:00,0.001,0.001,0.0,0.001,0.15866666666666665,0.0
2024-01-01 08:30:00,0.001,0.001,0.0,0.001,0.08333333333333333,0.0
