,WashingMachine,BaseLoad,P_EV,P_WB
2024-01-01 00:00:00,0.001,0.5542576920980267,0.0,0.0
2024-01-01 00:15:00,0.001,0.311,0.0,0.0
2024-01-01 00:30:00,0.001,0.4436666666666667,0.0,0.0
2024-01-01 00:45:00,0.001,0.36833333333333335,0.0,0.0
2024-01-01 01:00:00,0.001,0.152,0.0,1.5
2024-01-01 01:15:00,0.001,0.1032,0.0,0.5
2024-01-01 01:30:00,0.001,0.07033333333333333,0.0,0.0
2024-01-01 01:45:00,0.001,0.4500666666666666,0.0,0.0
2024-01-01 02:00:00,0.001,0.7888666666666667,0.0,0.0
2024-01-01 02:15:00,0.001,0.32766666666666666,0.0,0.0
2024-01-01 02:30:00,0.001,0.273,0.0,0.0
2024-01-01 02:45:00,0.001,0.24880000000000002,0.0,1.2
2024-01-01 03:00:00,0.001,0.08693333333333333,0.0,1.5
2024-01-01 03:15:00,0.001,0.09600000000000002,0.0,1.5
2024-01-01 03:30:00,0.001,0.154,0.0,1.5
2024-01-01 03:45:00,0.001,0.14400000000000002,0.0,1.5
2024-01-01 04:00:00,0.001,0.029999999999999995,0.0,0.5
2024-01-01 04:15:00,0.001,0.029999999999999995,0.0,0.0
2024-01-01 04:30:00,0.001,0.052000000000000005,0.0,0.0
2024-01-01 04:45:00,0.001,0.14,0.0,0.0
2024-01-01 05:00:00,0.001,0.037333333333333336,0.0,0.0
2024-01-01 05:15:00,0.001,0.182,0.0,0.1
2024-01-01 05:30:00,0.001,0.042666666666666665,0.0,1.5
2024-01-01 05:45:00,0.001,0.029999999999999995,0.0,0.7
2024-01-01 06:00:00,0.001,0.5177999999999999,0.0,0.2
2024-01-01 06:15:00,0.001,0.08133333333333334,0.0,1.5
2024-01-01 06:30:00,0.001,0.029999999999999995,10.266666666666667,1.5
2024-01-01 06:45:00,0.001,0.09506666666666666,3.6666666666666665,1.5
2024-01-01 07:00:00,0.001,1.8419333333333334,0.0,1.5
2024-01-01 07:15:00,0.001,2.067533333333333,0.0,1.5
2024-01-01 07:30:00,0.001,0.13833333333333334,0.0,0.3
2024-01-01 07:45:00,0.001,0.04213333333333333,0.0,1.4
2024-01-01 08:00:00,0.001,0.036066666666666664,0.0,1.5
2024-01-01 08:15:00,0.001,0.043,0.0,0.9
2024-01-01 08:30:00,0.04455419540545832,0.2076666666666667,0.0,0.0
2024-01-01 08:45:00,0.20731554370726968,0.153,0.0,0.0
2024-01-01 09:00:00,0.8902552693618025,0.060200000000000004,0.0,0.0
2024-01-01 09:15:00,0.42325419234686357,0.5630666666666666,0.0,0.0
