,TumbleDryer,BaseLoad,P_EV,P_HP,P_WB
2024-05-30 00:00:00,0.001,0.10033333333333334,0.0,5.2,0.0
2024-05-30 00:15:00,0.001,0.037,0.0,6.0,0.0
2024-05-30 00:30:00,0.001,0.037,0.0,6.0,0.4
2024-05-30 00:45:00,0.001,0.2048049447254705,0.0,6.0,3.0
2024-05-30 01:00:00,0.001,0.17888553068624763,0.0,6.0,3.0
2024-05-30 01:15:00,0.001,0.2585521973529143,0.0,6.0,3.0
2024-05-30 01:30:00,0.001,0.08121886401958098,0.0,6.0,3.0
2024-05-30 01:45:00,0.001,0.0685521973529143,0.0,6.0,3.0
2024-05-30 02:00:00,0.001,0.13439102543136,0.0,6.0,3.0
2024-05-30 02:15:00,0.001,0.1713333333333333,0.0,6.0,3.0
2024-05-30 02:30:00,0.001,0.12566666666666668,0.0,6.0,3.0
2024-05-30 02:45:00,0.001,0.189,0.0,6.0,3.0
2024-05-30 03:00:00,0.001,0.037,0.0,6.0,3.0
2024-05-30 03:15:00,0.001,0.057666666666666665,0.0,6.0,3.0
2024-05-30 03:30:00,0.001,0.192,0.0,6.0,3.0
2024-05-30 03:45:00,0.001,0.07833333333333334,0.0,6.0,3.0
2024-05-30 04:00:00,0.001,0.17633333333333334,0.0,6.0,3.0
2024-05-30 04:15:00,0.001,0.13833333333333334,0.0,6.0,3.0
2024-05-30 04:30:00,0.001,0.5700666666666667,0.0,6.0,3.0
2024-05-30 04:45:00,0.001,0.15066666666666667,0.0,6.0,3.0
2024-05-30 05:00:00,0.001,0.14033333333333334,0.0,6.0,3.0
2024-05-30 05:15:00,0.001,0.037,5.866666666666666,6.0,3.0
2024-05-30 05:30:00,0.001,0.227,8.8,6.0,3.0
2024-05-30 05:45:00,0.001,0.08766666666666666,0.0,6.0,3.0
2024-05-30 06:00:00,0.001,0.48846666666666666,0.0,6.0,3.0
2024-05-30 06:15:00,0.001,0.192,0.0,6.0,3.0
2024-05-30 06:30:00,0.001,0.04733333333333333,0.0,6.0,3.0
2024-05-30 06:45:00,0.001,0.08766666666666666,0.0,6.0,3.0
2024-05-30 07:00:00,0.001,0.227,0.0,6.0,3.0
2024-05-30 07:15:00,0.001,0.037,0.0,6.0,3.0
2024-05-30 07:30:00,0.001,0.18166666666666667,0.0,6.0,3.0
2024-05-30 07:45:00,0.001,0.10933333333333334,0.0,6.0,3.0
2024-05-30 08:00:00,0.001,0.037,1.4666666666666666,6.0,3.0
2024-05-30 08:15:00,0.001,0.13833333333333334,8.8,6.0,3.0
2024-05-30 08:30:00,0.001,0.17633333333333334,0.0,6.0,3.0
2024-05-30 08:45:00,0.001,0.6527333333333333,0.0,6.0,3.0
2024-05-30 09:00:00,0.001,0.1713333333333333,0.0,6.0,3.0
2024-05-30 09:15:00,0.001,0.037,0.0,6.0,3.0
2024-05-30 09:30:00,0.001,0.04393333333333334,0.0,6.0,3.0
2024-05-30 09:45:00,0.001,0.7350666666666666,0.0,6.0,3.0
2024-05-30 10:00:00,0.001,1.7154666666666667,0.0,6.0,3.0
2024-05-30 10:15:00,1.349903287396694,1.9025999999999998,0.0,6.0,3.0
2024-05-30 10:30:00,1.9543692345505406,1.822933333333333,0.0,6.0,3.0
2024-05-30 10:45:00,1.6781960525128936,0.9833333333333332,0.0,6.0,3.0
2024-05-30 11:00:00,0.29146574527918295,0.06266666666666668,0.0,6.0,3.0
2024-05-30 11:15:00,0.513146850606488,0.26493333333333335,0.0,6.0,3.0
2024-05-30 11:30:00,0.001,0.34,0.0,6.0,3.0
2024-05-30 11:45:00,0.001,0.2346,0.0,6.0,3.0
2024-05-30 12:00:00,0.001,0.158,0.0,6.0,3.0
2024-05-30 12:15:00,0.001,0.158,0.0,6.0,3.0
2024-05-30 12:30:00,0.001,0.22133333333333333,0.0,6.0,3.0
2024-05-30 12:45:00,0.001,0.38699999999999996,0.0,6.0,3.0
2024-05-30 13:00:00,0.001,0.23180000000000003,0.0,6.0,3.0
2024-05-30 13:15:00,0.001,0.08133333333333333,0.0,6.0,3.0
2024-05-30 13:30:00,0.001,0.08796,5.866666666666666,6.0,3.0
2024-05-30 13:45:00,0.001,1.4958266666666664,2.2,6.0,3.0
2024-05-30 14:00:00,0.001,2.5668785710391924,0.0,6.0,3.0
2024-05-30 14:15:00,0.001,1.1722855306862476,0.0,6.0,3.0
2024-05-30 14:30:00,0.001,0.14088553068624765,0.0,6.0,3.0
2024-05-30 14:45:00,0.001,0.0685521973529143,0.0,6.0,3.0
2024-05-30 15:00:00,0.001,0.0685521973529143,0.0,6.0,3.0
2024-05-30 15:15:00,0.001,0.1789521973529143,0.0,6.0,3.0
2024-05-30 15:30:00,0.001,0.29695421227449903,0.0,6.0,3.0
2024-05-30 15:45:00,0.001,0.24733333333333332,0.0,6.0,3.0
2024-05-30 16:00:00,0.001,0.037,0.0,6.0,3.0
2024-05-30 16:15:00,0.001,0.158,0.0,6.0,3.0
2024-05-30 16:30:00,0.001,0.158,0.0,6.0,3.0
2024-05-30 16:45:00,0.001,0.21662087894116572,0.0,6.0,3.0
2024-05-30 17:00:00,0.001,0.5345521973529143,5.866666666666666,6.0,3.0
2024-05-30 17:15:00,0.001,0.656018864019581,3.6666666666666665,6.0,3.0
2024-05-30 17:30:00,0.001,0.18955219735291431,0.0,6.0,3.0
2024-05-30 17:45:00,0.001,0.08468553068624765,0.0,6.0,3.0
2024-05-30 18:00:00,0.001,0.04962087894116572,0.0,6.0,3.0
2024-05-30 18:15:00,0.001,0.3154,0.0,6.0,3.0
2024-05-30 18:30:00,0.001,1.4897333333333334,0.0,6.0,3.0
2024-05-30 18:45:00,0.001,2.521533333333333,0.0,6.0,3.0
2024-05-30 19:00:00,0.001,0.3109313184117486,0.0,6.0,3.0
2024-05-30 19:15:00,0.001,0.32355219735291435,0.0,6.0,3.0
2024-05-30 19:30:00,0.001,0.37521886401958093,0.0,6.0,3.0
2024-05-30 19:45:00,0.001,0.6052188640195809,0.0,6.0,3.0
2024-05-30 20:00:00,0.001,0.43538205086271997,0.0,3.2,3.0
2024-05-30 20:15:00,0.001,0.279,0.0,6.0,3.0
2024-05-30 20:30:00,0.001,0.279,0.0,6.0,3.0
2024-05-30 20:45:00,0.001,0.279,0.0,6.0,3.0
2024-05-30 21:00:00,0.001,0.2542666666666667,0.0,3.2,3.0
2024-05-30 21:15:00,0.001,0.3350666666666667,0.0,0.0,3.0
2024-05-30 21:30:00,0.001,0.6211333333333333,0.0,0.0,3.0
2024-05-30 21:45:00,0.001,0.158,0.0,0.0,3.0
2024-05-30 22:00:00,0.001,0.158,0.0,0.4,3.0
2024-05-30 22:15:00,0.001,0.24066666666666667,0.0,6.0,3.0
2024-05-30 22:30:00,0.001,0.3303333333333333,0.0,6.0,3.0
